"","gene_name","Babacic","Di","Geyer","Messner-Discovery","Messner-Validation","Overmyer","Shen","Shu","Sullivan","Suvarna","Zhang","nstud"
"1","IGHV3-64",0,1,1,1,1,1,0,0,1,0,1,7
"2","IGHV6-1",1,1,0,1,1,1,1,1,1,0,1,9
"3","IGHV3-73",0,0,0,0,1,1,1,1,1,0,1,6
"4","IGHV3-72",1,1,1,1,1,1,1,1,1,0,1,10
"5","IGHV3-35",1,0,0,0,0,0,0,1,1,0,1,4
"6","IGHV3-38",1,1,0,0,0,1,0,1,1,0,1,6
"7","IGHV3-66",0,0,0,0,0,0,0,0,0,0,1,1
"8","IGKV2-24",0,1,0,1,1,0,1,1,0,0,1,6
"9","IGKV1-9",0,0,0,0,0,0,0,0,0,0,1,1
"10","IGHV7-4-1",0,1,0,0,0,0,1,0,1,0,1,4
"11","PABPN1L",0,0,0,0,0,0,0,0,0,0,1,1
"12","TCAF2",0,0,0,0,0,0,0,0,0,0,1,1
"13","C15orf61",0,0,0,0,0,0,0,0,0,0,1,1
"14","ARHGAP33",0,0,0,0,0,0,0,0,0,0,1,1
"15","CIT",0,0,0,0,0,0,0,0,0,0,1,1
"16","SART1",0,0,0,0,0,0,0,0,0,0,1,1
"17","MSI1",0,0,0,0,0,0,0,0,0,0,1,1
"18","COCH",0,0,0,0,0,0,0,0,0,0,1,1
"19","CD5L",1,1,1,1,1,1,1,1,1,1,1,11
"20","KLRC4",0,0,0,0,0,0,0,0,0,0,1,1
"21","KIAA0513",0,0,0,0,0,0,0,0,0,0,1,1
"22","OR1I1",0,0,0,0,0,0,0,0,0,0,1,1
"23","NPHS1",0,0,0,0,0,0,0,0,0,0,1,1
"24","FCMR",1,0,0,0,0,0,0,0,0,0,1,2
"25","JAK2",0,0,0,0,0,0,0,0,0,0,1,1
"26","OPHN1",0,0,0,0,0,0,0,0,0,0,1,1
"27","B4GALT2",0,0,0,0,0,0,0,0,0,0,1,1
"28","UGT2B11",0,0,0,0,0,0,0,0,0,0,1,1
"29","FCN3",1,1,1,1,1,1,1,1,1,1,1,11
"30","ATRN",1,1,1,1,1,1,1,1,1,1,1,11
"31","FRYL",0,0,0,0,0,0,0,0,0,0,1,1
"32","FAM13A",0,0,0,0,0,0,0,0,0,0,1,1
"33","TSPOAP1",0,0,0,0,0,0,0,0,0,0,1,1
"34","APOM",1,1,1,1,1,1,1,1,1,1,1,11
"35","FTCD",0,0,0,0,0,0,0,0,0,0,1,1
"36","CP",1,1,1,1,1,1,1,1,1,1,1,11
"37","F2",1,1,1,1,1,1,1,1,1,1,1,11
"38","C1R",1,1,1,1,1,1,1,1,1,0,1,10
"39","HP",1,1,1,1,1,1,1,1,1,1,1,11
"40","F9",1,1,1,1,1,1,1,1,1,1,1,11
"41","F10",1,1,1,1,1,1,1,1,1,1,1,11
"42","PLG",1,1,1,1,1,1,1,1,1,1,1,11
"43","F12",1,1,1,1,1,1,1,1,1,1,1,11
"44","CFB",1,0,1,1,1,1,1,1,1,1,1,10
"45","CA1",1,1,1,0,0,1,1,1,1,1,1,9
"46","SERPINC1",1,1,1,1,1,1,1,1,1,1,1,11
"47","SERPINA1",1,1,1,1,1,1,1,1,1,1,1,11
"48","SERPINA3",1,1,1,1,1,1,1,1,1,1,1,11
"49","AGT",1,1,1,1,1,1,1,1,1,1,1,11
"50","A2M",1,1,1,1,1,1,1,1,1,1,1,11
"51","C3",1,1,1,1,1,1,1,1,1,1,1,11
"52","C5",1,1,1,1,1,1,1,1,1,1,1,11
"53","KNG1",1,1,1,1,1,1,1,1,1,1,1,11
"54","IGF2",1,1,0,1,0,1,1,0,0,1,1,7
"55","JCHAIN",1,1,0,1,1,0,0,1,1,1,1,8
"56","IGKV3-20",1,0,1,1,1,1,1,1,1,1,1,10
"57","IGLV1-47",0,0,0,0,0,1,1,1,1,1,1,6
"58","IGLV3-19",1,1,1,1,0,1,1,1,1,1,1,10
"59","IGHV3-13",1,1,1,1,1,1,1,1,1,0,1,10
"60","IGHV4-39",0,0,1,0,0,0,0,0,1,0,1,3
"61","IGKC",1,0,1,1,1,1,1,1,1,0,1,9
"62","IGHG3",1,1,1,1,1,1,1,1,1,0,1,10
"63","IGHG4",1,0,1,1,1,1,1,1,1,1,1,10
"64","IGHM",1,1,1,1,1,1,1,1,1,1,1,11
"65","IGHA1",1,0,1,1,1,1,1,1,1,1,1,10
"66","COL2A1",1,0,0,0,0,0,0,0,0,1,1,3
"67","APOA1",1,1,1,1,1,1,1,1,1,1,1,11
"68","APOE",1,1,1,1,1,1,1,1,1,1,1,11
"69","APOA2",1,1,1,1,1,1,1,1,1,1,1,11
"70","APOC1",1,1,1,1,1,0,1,1,1,1,1,10
"71","APOC2",0,0,0,1,1,0,1,1,1,1,1,7
"72","APOC3",1,1,1,1,1,1,1,1,1,1,1,11
"73","FGA",1,1,1,1,1,1,1,1,1,1,1,11
"74","FGG",1,0,1,1,1,1,1,1,0,1,1,9
"75","APCS",1,1,1,0,1,1,1,1,1,1,1,10
"76","C1QA",1,1,1,1,1,1,1,0,1,1,1,10
"77","C1QB",1,1,1,1,1,1,1,1,1,0,1,10
"78","C1QC",1,1,1,1,1,1,1,1,1,1,1,11
"79","C9",1,1,1,1,1,1,1,1,1,1,1,11
"80","APOH",1,1,1,1,1,1,1,1,1,1,1,11
"81","LRG1",1,1,1,1,1,1,1,1,1,1,1,11
"82","FN1",1,1,1,1,1,1,1,1,1,1,1,11
"83","RBP4",1,1,1,1,1,1,1,1,1,1,1,11
"84","AMBP",1,1,1,1,1,1,1,1,1,1,1,11
"85","ORM1",1,1,1,1,1,1,1,1,1,1,1,11
"86","AHSG",1,1,1,1,1,1,1,1,1,1,1,11
"87","TTR",1,1,1,1,1,1,1,1,1,1,1,11
"88","GC",1,1,1,1,1,1,1,1,1,1,1,11
"89","PPBP",0,1,1,1,1,1,1,1,1,1,1,10
"90","PF4",0,1,0,1,1,0,1,1,1,1,1,8
"91","TF",1,0,1,1,1,1,1,1,1,1,1,10
"92","HPX",1,1,1,1,1,1,1,1,1,1,1,11
"93","KLKB1",1,1,1,1,1,1,1,1,1,1,1,11
"94","C4BPA",1,1,1,1,1,1,1,1,1,1,1,11
"95","VTN",1,1,1,1,1,1,1,1,1,1,1,11
"96","PROC",1,1,1,0,0,1,1,1,1,1,1,9
"97","APOB",1,1,1,1,1,1,1,1,1,1,1,11
"98","LCAT",1,1,1,0,1,1,1,1,1,1,1,10
"99","HRG",1,1,1,1,1,1,1,1,1,1,1,11
"100","A1BG",1,1,1,1,1,1,1,1,1,1,1,11
"101","VWF",1,1,1,1,1,1,1,1,1,1,1,11
"102","SHBG",1,1,1,1,1,1,1,1,1,1,1,11
"103","APOD",1,1,1,1,1,1,1,1,1,1,1,11
"104","SERPING1",1,1,1,1,1,1,1,1,1,1,1,11
"105","CFI",1,1,1,1,1,1,1,1,1,1,1,11
"106","F13B",1,1,1,1,1,1,1,1,1,1,1,11
"107","SERPINA7",1,1,1,1,1,1,1,1,1,1,1,11
"108","SERPIND1",1,1,1,1,1,1,1,1,1,1,1,11
"109","FYN",0,0,0,0,0,0,0,0,0,0,1,1
"110","BCHE",1,1,1,1,0,1,1,1,1,1,1,10
"111","IGKV4-1",1,1,0,1,1,1,1,1,1,1,1,10
"112","IGHV4-34",1,0,1,0,0,1,0,1,1,0,1,6
"113","GSN",1,1,1,1,1,1,1,1,1,1,1,11
"114","C2",1,1,1,1,1,1,1,1,1,1,1,11
"115","APOA4",1,1,1,1,1,1,1,1,1,1,1,11
"116","PROS1",1,1,1,1,1,1,1,1,1,1,1,11
"117","C8A",1,1,1,1,1,1,1,1,1,1,1,11
"118","C8B",1,1,1,1,1,1,1,1,1,1,1,11
"119","GP1BA",1,0,1,0,1,1,1,1,1,1,1,9
"120","C8G",1,1,1,1,1,1,1,1,1,1,1,11
"121","THBS1",1,1,1,1,1,0,1,1,1,1,1,10
"122","SERPINA6",1,1,1,1,1,1,1,1,1,1,1,11
"123","LPA",1,1,1,1,1,1,1,1,1,1,1,11
"124","CFH",1,1,1,1,1,1,1,1,1,1,1,11
"125","SERPINF2",1,1,1,1,1,1,1,1,1,1,1,11
"126","C1S",1,1,1,1,1,1,1,1,1,1,1,11
"127","C4A",1,1,1,1,1,1,0,1,1,1,1,10
"128","C4B_2",0,0,0,0,0,0,0,0,0,1,1,2
"129","SAA1",1,1,1,1,1,1,1,1,1,1,1,11
"130","SAA2",1,1,1,1,1,1,1,1,1,1,1,11
"132","DLAT",0,0,0,0,0,0,0,0,0,0,1,1
"133","C7",1,1,1,1,1,1,1,1,1,1,1,11
"134","CLU",1,1,1,1,1,1,1,1,1,1,1,11
"135","F5",1,1,1,1,1,1,1,1,1,1,1,11
"136","CDH1",1,1,0,0,0,0,1,1,0,0,1,5
"137","NCAM1",1,0,0,0,0,1,1,1,0,1,1,6
"138","C6",1,1,1,1,1,1,1,1,1,1,1,11
"139","SELL",1,1,1,1,1,1,1,1,1,1,1,11
"140","SI",0,0,0,0,0,0,0,0,0,0,1,1
"141","ACYP2",0,0,0,0,0,0,0,0,0,0,1,1
"142","CPN1",1,1,1,1,1,1,1,1,1,1,1,11
"143","ZNF25",0,0,0,0,0,0,0,0,0,0,1,1
"144","LBP",1,1,1,1,1,1,1,1,1,1,1,11
"145","ORM2",1,1,1,1,1,1,1,1,1,1,1,11
"146","ITIH2",1,1,1,1,1,1,1,1,1,1,1,11
"147","ITIH1",1,1,1,1,1,1,1,1,1,1,1,11
"148","ITGAL",1,0,0,0,0,0,0,0,0,0,1,2
"149","PZP",1,0,1,1,1,1,1,1,1,1,1,10
"150","C4BPB",1,1,1,1,1,1,1,1,1,1,1,11
"151","GPX3",1,1,1,1,1,1,1,1,1,1,1,11
"152","CPN2",1,1,1,1,1,1,1,1,1,1,1,11
"153","PROZ",1,0,1,1,0,1,1,1,1,1,1,9
"154","MRC1",1,0,0,0,0,1,1,0,0,0,1,4
"155","FBLN1",1,1,1,1,1,1,1,1,1,1,1,11
"156","CFL1",1,0,1,0,0,1,1,1,1,1,1,8
"157","PRPH2",0,0,0,0,0,0,0,0,0,0,1,1
"158","AZGP1",1,1,1,1,1,1,1,1,1,1,1,11
"159","IVD",0,0,0,0,0,0,0,0,0,0,1,1
"160","PON1",1,1,1,1,1,1,1,1,1,1,1,11
"161","COL8A1",0,0,0,0,0,0,0,0,0,0,1,1
"162","CFP",1,1,0,1,1,1,1,1,1,1,1,10
"163","SERPINA4",1,1,1,1,1,1,1,1,1,1,1,11
"164","PEBP1",1,0,0,0,0,1,0,0,0,1,1,4
"165","PPP2R1A",1,0,0,0,0,0,0,0,0,0,1,2
"166","RFC1",0,0,0,0,0,0,0,0,0,0,1,1
"167","SAA4",0,0,0,1,1,0,1,1,1,1,1,7
"168","GCK",0,0,0,0,0,0,0,0,0,0,1,1
"169","IGFALS",1,1,1,1,1,1,1,1,1,1,1,11
"170","SERPINB5",0,0,0,0,0,0,0,0,0,0,1,1
"171","SERPINF1",1,1,1,1,1,1,1,1,1,1,1,11
"172","CFHR2",1,1,0,1,1,1,1,1,1,1,1,10
"173","CASR",0,0,0,0,0,0,0,0,0,0,1,1
"174","BTD",1,1,1,1,1,1,1,1,1,1,1,11
