Analyte,Fold Change (Positive/Negative),p-value,Positive Median,Negative Median,log2 Fold Change,#NAME?,Statistical test
ISG15.14151.4,3.483459732,1.26E-10,12.8126809,11.01216002,1.800520886,9.899372913,Linear Model
MX1.17460.51,8.04156317,1.61E-10,11.98267151,8.975195544,3.007475969,9.793407767,Linear Model
MXRA8.10521.10,0.688082985,1.97E-09,7.74572012,8.285065646,-0.539345526,8.704969905,Linear Model
DSC2.13126.52,0.635545291,3.14E-08,9.454320446,10.1082536,-0.653933155,7.502565254,Linear Model
KLRC3.7795.14,0.67543994,4.77E-08,10.03666704,10.60276765,-0.566100603,7.321513085,Linear Model
CCL16.4913.78,0.396838867,6.71E-08,13.11242383,14.44579859,-1.333374761,7.173415684,Linear Model
WARS.9870.17,1.936986537,8.04E-08,13.98909761,13.03528368,0.953813927,7.094742453,Linear Model
APOC1.15364.101,0.742895153,1.23E-07,16.51005969,16.93882917,-0.428769482,6.908954481,Linear Model
CRTAC1.5632.6,0.674280247,1.36E-07,8.601911877,9.170491637,-0.56857976,6.866516274,Linear Model
CD93.14136.234,0.673044267,3.33E-07,12.33567616,12.90690286,-0.571226699,6.477787545,Linear Model
TCN2.5584.21,1.539054148,3.46E-07,13.01872519,12.3966812,0.622043991,6.460759821,Linear Model
ANTXR2.15559.5,0.570240783,3.58E-07,10.73227282,11.54262969,-0.810356873,6.445695491,Linear Model
GBP1.15326.64,1.87842624,3.70E-07,15.1119187,14.20239423,0.909524467,6.431944087,Linear Model
CXCL11.3038.9,2.609847361,4.58E-07,12.22326194,10.83929651,1.383965432,6.33932485,Linear Model
SCGB3A1.6252.62,0.398696374,4.70E-07,10.79243446,12.11907207,-1.326637609,6.327979489,Linear Model
THBS4.3340.53,0.562610047,4.88E-07,13.45104121,14.28083399,-0.829792779,6.311847234,Linear Model
IFIT3.13642.90,2.199008722,5.11E-07,9.71392371,8.577070383,1.136853326,6.291436272,Linear Model
STAT1.10370.21,2.527536496,6.71E-07,12.35274919,11.01501726,1.337731924,6.173130561,Linear Model
CRABP2.11696.7,0.448682352,6.96E-07,12.31107173,13.46730539,-1.156233656,6.157230747,Linear Model
OAF.6414.8,1.329401776,9.88E-07,13.49860895,13.08783176,0.410777186,6.005277647,Linear Model
CXCL10.4141.79,2.508273799,9.94E-07,11.25978398,9.933089144,1.326694839,6.002680979,Linear Model
ANTXR1.10464.6,0.670136853,1.0902E-06,9.251314626,9.828786974,-0.577472348,5.962493446,Linear Model
SFRP4.17447.52,0.591034533,1.61904E-06,12.16086206,12.91954773,-0.758685667,5.790742008,Linear Model
NT5C.12560.9,0.619616588,2.02343E-06,10.36117208,11.05172441,-0.690552328,5.693911,Linear Model
IL22RA2.5087.5,0.686655933,2.15612E-06,9.70626526,10.24860598,-0.542340716,5.666326798,Linear Model
VOPP1.14618.26,0.751181481,2.1801E-06,10.25519827,10.66796486,-0.412766598,5.661523898,Linear Model
CDON.4541.49,0.588331238,2.1832E-06,11.8963976,12.66169706,-0.765299456,5.660907137,Linear Model
UNC5C.5139.32,0.690075131,2.21676E-06,13.32851137,13.86368602,-0.535174654,5.654282184,Linear Model
PYY.3727.35,0.617874611,2.31706E-06,9.144236443,9.838850446,-0.694614002,5.635063602,Linear Model
