"mean_covid","mean_healthy","sd_covid","sd_healthy","number_covid","number_healthy","uniprot","gene_name","gene_id","prot_id","entrez_id"
NA,NA,NA,NA,0,0,"P13929","ENO3","ENSG00000108515","ENSP00000467270",2027
5.89365402642457,6.18727203845293,0.837436859936151,1.28942626840318,8,8,"P01880","IGHD","ENSG00000278801","ENSP00000488303",NA
6.64525106559221,6.32321857715912,0.51236783826758,0.386297654787477,13,13,"P31150","GDI1","ENSG00000203879","ENSP00000486715",2664
NA,NA,NA,NA,0,0,"Q99733","NAP1L4","ENSG00000273562","ENSP00000483728",4676
NA,NA,NA,NA,0,0,"Q10567","AP1B1","ENSG00000100280","ENSP00000350199",162
NA,NA,NA,NA,0,0,"Q15833","STXBP2","ENSG00000076944","ENSP00000470313",6813
NA,NA,NA,NA,0,0,"Q14240","EIF4A2","ENSG00000156976","ENSP00000407504",1974
7.17475387729385,7.00490560656623,0.370371300173119,0.239262821539736,5,5,"P19022","CDH2","ENSG00000170558","ENSP00000502696",1000
NA,NA,NA,NA,0,0,"P38919","EIF4A3","ENSG00000141543","ENSP00000497641",9775
6.840596760132,6.54070901540874,0.386732691588129,0.400089236160664,13,13,"P01699","IGLV1-44","ENSG00000274854","ENSP00000485735",NA
NA,NA,NA,NA,0,0,"P11177","PDHB","ENSG00000168291","ENSP00000307241",5162
NA,NA,NA,NA,0,0,"Q13838","DDX39B","ENSG00000237889","ENSP00000431377",7919
NA,NA,NA,NA,0,0,"Q12797","ASPH","ENSG00000198363","ENSP00000368767",444
NA,NA,NA,NA,0,0,"Q96S52","PIGS","ENSG00000087111","ENSP00000268758",94005
NA,NA,NA,NA,0,0,"P20848","SERPINA2","ENSG00000274821","ENSP00000487283",390502
NA,NA,NA,NA,0,0,"P39687","ANP32A","ENSG00000140350","ENSP00000417864",8125
NA,NA,NA,NA,0,0,"P20618","PSMB1","ENSG00000008018","ENSP00000262193",5689
NA,NA,NA,NA,0,0,"Q9Y2X3","NOP58","ENSG00000055044","ENSP00000388905",51602
6.83616700588875,6.50630956281497,0.408664262622537,0.269370469352148,13,13,"P13224","GP1BB","ENSG00000203618","ENSP00000383382",2812
NA,NA,NA,NA,0,0,"P62191","PSMC1","ENSG00000100764","ENSP00000261303",5700
NA,NA,NA,NA,0,0,"Q13765","NACA","ENSG00000196531","ENSP00000503345",4666
6.73651365675896,6.46306515149042,0.419629019759791,0.226687352636274,8,8,"Q5SQ64","LY6G6F","ENSG00000239741","ENSP00000404884",259215
NA,NA,NA,NA,0,0,"P43686","PSMC4","ENSG00000281221","ENSP00000487367",5704
NA,NA,NA,NA,0,0,"P55010","EIF5","ENSG00000100664","ENSP00000453633",1983
NA,NA,NA,NA,0,0,"Q9H0A0","NAT10","ENSG00000135372","ENSP00000257829",55226
NA,NA,NA,NA,0,0,"Q5T4S7","UBR4","ENSG00000127481","ENSP00000364373",23352
NA,NA,NA,NA,0,0,"Q9BQ67","GRWD1","ENSG00000105447","ENSP00000468943",83743
NA,NA,NA,NA,0,0,"Q5JTH9","RRP12","ENSG00000052749","ENSP00000360031",23223
NA,NA,NA,NA,0,0,"Q9C005","DPY30","ENSG00000162961","ENSP00000345837",84661
NA,NA,NA,NA,0,0,"Q7Z2Z2","EFL1","ENSG00000140598","ENSP00000268206",79631
NA,NA,NA,NA,0,0,"Q8TC12","RDH11","ENSG00000072042","ENSP00000370750",51109
NA,NA,NA,NA,0,0,"Q15435","PPP1R7","ENSG00000115685","ENSP00000396376",5510
NA,NA,NA,NA,0,0,"Q9Y6W5","WASF2","ENSG00000158195","ENSP00000483313",10163
NA,NA,NA,NA,0,0,"O60841","EIF5B","ENSG00000158417","ENSP00000478914",9669
NA,NA,NA,NA,0,0,"O00567","NOP56","ENSG00000101361","ENSP00000370589",10528
NA,NA,NA,NA,0,0,"Q92520","FAM3C","ENSG00000196937","ENSP00000353025",10447
NA,NA,NA,NA,0,0,"O00231","PSMD11","ENSG00000108671","ENSP00000261712",5717
NA,NA,NA,NA,0,0,"Q8NCW5","NAXE","ENSG00000163382","ENSP00000357217",128240
NA,NA,NA,NA,0,0,"O95967","EFEMP2","ENSG00000172638","ENSP00000431305",30008
NA,NA,NA,NA,0,0,"P55285","CDH6","ENSG00000113361","ENSP00000424843",1004
NA,NA,NA,NA,0,0,"Q9HA64","FN3KRP","ENSG00000141560","ENSP00000269373",79672
NA,NA,NA,NA,0,0,"P41226","UBA7","ENSG00000182179","ENSP00000333266",7318
6.57939648655142,6.62931845305084,0.568618458317182,0.517629053216456,13,13,"A0A0A0MT36","IGKV6D-21","ENSG00000225523","ENSP00000413304",NA
NA,NA,NA,NA,0,0,"Q96B26","EXOSC8","ENSG00000120699","ENSP00000510687",11340
6.45943826173866,6.67820893645486,0.541101672031944,0.450657548251075,8,8,"P04179","SOD2","ENSG00000112096","ENSP00000446252",6648
NA,NA,NA,NA,0,0,"O15160","POLR1C","ENSG00000171453","ENSP00000395401",9533
NA,NA,NA,NA,0,0,"Q16851","UGP2","ENSG00000169764","ENSP00000418619",7360
NA,NA,NA,NA,0,0,"P06737","PYGL","ENSG00000100504","ENSP00000431657",5836
NA,NA,NA,NA,0,0,"Q12840","KIF5A","ENSG00000155980","ENSP00000501749",3798
NA,NA,NA,NA,0,0,"Q14444","CAPRIN1","ENSG00000135387","ENSP00000340329",4076
NA,NA,NA,NA,0,0,"O95336","PGLS","ENSG00000130313","ENSP00000471446",25796
NA,NA,NA,NA,0,0,"O15335","CHAD","ENSG00000136457","ENSP00000425672",1101
NA,NA,NA,NA,0,0,"P34896","SHMT1","ENSG00000284320","ENSP00000492715",6470
NA,NA,NA,NA,0,0,"P98175","RBM10","ENSG00000182872","ENSP00000366829",8241
NA,NA,NA,NA,0,0,"O43592","XPOT","ENSG00000184575","ENSP00000327821",11260
NA,NA,NA,NA,0,0,"P51991","HNRNPA3","ENSG00000170144","ENSP00000376309",220988
NA,NA,NA,NA,0,0,"Q9HAT2","SIAE","ENSG00000110013","ENSP00000263593",54414
NA,NA,NA,NA,0,0,"Q8IZF3","ADGRF4","ENSG00000153294","ENSP00000360264",221393
NA,NA,NA,NA,0,0,"Q7Z5N4","SDK1","ENSG00000146555","ENSP00000385899",221935
NA,NA,NA,NA,0,0,"P43490","NAMPT","ENSG00000105835","ENSP00000505112",10135
NA,NA,NA,NA,0,0,"Q08623","PUDP","ENSG00000130021","ENSP00000499460",8226
NA,NA,NA,NA,0,0,"O94903","PLPBP","ENSG00000147471","ENSP00000333551",11212
NA,NA,NA,NA,0,0,"P61586","RHOA","ENSG00000067560","ENSP00000413587",387
NA,NA,NA,NA,0,0,"Q96S96","PEBP4","ENSG00000134020","ENSP00000256404",157310
NA,NA,NA,NA,0,0,"P48643","CCT5","ENSG00000150753","ENSP00000280326",22948
7.00708163459672,6.68475327809807,0.218367266963215,0.336740726867652,5,5,"P24557","TBXAS1","ENSG00000059377","ENSP00000388736",6916
NA,NA,NA,NA,0,0,"P28066","PSMA5","ENSG00000143106","ENSP00000271308",5686
NA,NA,NA,NA,0,0,"P05121","SERPINE1","ENSG00000106366","ENSP00000223095",5054
NA,NA,NA,NA,0,0,"O75683","SURF6","ENSG00000281309","ENSP00000485909",6838
NA,NA,NA,NA,0,0,"Q14498","RBM39","ENSG00000131051","ENSP00000253363",9584
NA,NA,NA,NA,0,0,"Q8WZA0","LZIC","ENSG00000162441","ENSP00000468610",84328
