"mean_covid","mean_healthy","sd_covid","sd_healthy","number_covid","number_healthy","uniprot","gene_name","gene_id","prot_id","entrez_id"
-3.748703275,-2.5906353,2.0200079990315,2.02466370921439,20,10,"A0A024QZN4;V9HWK2;P18206;B3KXA2;B4E3Q9;Q5JQ13","VCL;HEL114",NA,NA,NA
5.01840325,3.848204,1.09383128229496,0.586194914013723,20,10,"A0A024R035;P02748","C9","ENSG00000113600","ENSP00000263408",735
3.58354225,5.37739225,1.36565272986417,0.643143427647072,20,10,"K7ERI9;A0A024R0T8;P02654;K7EKP1;K7EJI9;K7ELM9;K7EPF9","APOC1","ENSG00000130208","ENSP00000465356",341
2.1767434175,2.1218283,1.2328922672899,0.793793783577224,20,10,"A0A024R1Q4;A0A024R1G8;O14791;U5LKM6;U5LI90;U5LGU2;U5LH96;U5LKG0;U5LH46;U5LKP5;U5LKJ0;U5LKH9;U5LIH6;U5LIG7;U5LHF6;U5LKQ0;U5LIJ1;U5LKT7;U5LIA9;U5LGY0;A0A1B2FJ89;A0A1B2FJP1;A0A1B2FJD8;A0A1B2FJC1;A0A1B2FJ11;A0A1B2FIW1;A0A1B2FKD8;A0A1B2FK76;A0A1B2FK40;A0A1B2FJZ7;A0A1B2FJH1;A0A1B2FJE5;A0A1B2FJ64;A0A1B2FJ32;A0A1B2FIX3;A0A1B2FIW3;A0A1B2FK27;A0A1B2FJX9;A0A1B2FJS4;A0A1B2FJK3;A0A1B2FJJ4;A0A1B2FJI7;A0A1B2FJ82;A0A1B2FK65;A0A1B2FK26;A0A1B2FJV6;A0A1B2FJU3;A0A1B2FJQ0;A0A1B2FJI3;A0A1B2FJD3;A0A1B2FJB2;A0A1B2FJB1;A0A1B2FJA9;A0A1B2FJ38;A0A1B2FJ21;A0A1B2FIY0;A0A1B2FIW9","APOL1","ENSG00000100342","ENSP00000411507",8542
-2.03940983,-2.1674167,2.32091094103379,1.99700624744014,20,10,"A0A024R1U8;P22692","IGFBP4","ENSG00000141753","ENSP00000269593",3487
8.73734325,9.7766815,0.622147607179474,0.487851093424862,20,10,"A0A024R3E3;P02647;F8W696","APOA1","ENSG00000118137","ENSP00000364469",335
2.777454425,-0.231953835,3.49667250470434,3.2140409588147,20,10,"A0A024R462;B7ZLE5;P02751;Q6MZM7;Q6N084;Q59G22;Q68CX6","FN1;DKFZp686O12165;DKFZp686L11144;DKFZp686O13149",NA,NA,NA
-3.714084,-3.22648725,1.70306365033776,1.76936573804807,20,10,"A0A024R4F1;P06733;E2DRY6","ENO1","ENSG00000074800","ENSP00000234590",2023
-4.5503564,-2.94000565,2.24050597078318,2.03532111775257,20,10,"A0A024R694;P12814;H9KV75;B7Z565;Q86TX4;B4DFY0","ACTN1","ENSG00000072110","ENSP00000377941",87
0.51310128275,-0.510365515,1.15789323411297,0.807332339983137,20,10,"A0A024R6I6;G3V2W1;Q9UK55","SERPINA10","ENSG00000278767","ENSP00000484632",51156
2.792668875,3.50203125,1.35165653405453,0.566239478235885,20,10,"B2R815;A0A024R6I9;P29622","SERPINA4","ENSG00000100665","ENSP00000450838",5267
-0.88768705,-1.088286,1.5915794174404,2.03149138873848,20,10,"A0A024R6N9;P05154;B4DPC7;B3KTV6;B4DDH1;G3V5Q9","SERPINA5","ENSG00000188488","ENSP00000450484",5104
8.66157475,7.16247875,1.31062367534604,0.590813667589088,20,10,"A0A024R6P0;B3KS79;P01011;G3V595","SERPINA3","ENSG00000196136","ENSP00000376795",12
-4.12777,-4.74899425,1.54855758384256,1.12072879952936,20,10,"A0A024R8G4;Q76LX8","ADAMTS13","ENSG00000281244","ENSP00000486201",11093
