"mean_covid","mean_healthy","sd_covid","sd_healthy","number_covid","number_healthy","uniprot","gene_name","gene_id","entrez_id","prot_id"
28.381149457451,27.5924288762963,1.02003688308868,0.641327001175626,102,27,"A0A075B6H9","IGLV4-69","ENSG00000211637",NA,"ENSP00000374817"
28.9091440903922,28.3804359125926,1.19907580989246,0.916136832076774,102,27,"A0A075B6I0","IGLV8-61","ENSG00000211638",NA,"ENSP00000374818"
24.1324737239216,24.3542427785185,2.80934427443705,3.28802333500946,102,27,"A0A075B6I4;A0A1W2PQ80","IGLV10-54","ENSG00000211642",NA,"ENSP00000374822"
24.8542753881373,24.8869225481481,1.78160333571163,1.33898932491864,102,27,"A0A075B6I9","IGLV7-46","ENSG00000211649",NA,"ENSP00000374830"
22.9047387873529,23.8506417051852,2.10890371368847,1.68858668186819,102,27,"A0A075B6J1","IGLV5-37","ENSG00000281471",NA,"ENSP00000487591"
25.7900817306863,25.9641990325926,1.15833445911262,1.13112324875671,102,27,"A0A075B6J9","IGLV2-18","ENSG00000211664",NA,"ENSP00000374845"
30.7171859494118,30.2440659222222,0.995761626176321,0.688018544000815,102,27,"A0A075B6K4","IGLV3-10","ENSG00000211669",NA,"ENSP00000374850"
30.3217935131373,30.2876198892593,0.736848467391821,0.747339133208679,102,27,"A0A075B6K5","IGLV3-9","ENSG00000211670",NA,"ENSP00000374851"
30.1753270973529,30.0394082581481,0.736570131625837,0.601370048239811,102,27,"A0A075B6P5;P01615","IGKV2D-28","ENSG00000242534",NA,"ENSP00000393492"
24.8867480393137,24.4347591485185,1.16489344419309,1.20578765576076,102,27,"A0A075B6Q5","IGHV3-64","ENSG00000274236",NA,"ENSP00000488676"
24.6517462064706,24.5842255233333,2.68957266785207,2.13991484911599,102,27,"A0A075B6S2;A0A0A0MRZ7","IGKV2D-29;IGKV2D-26",NA,NA,NA
26.6372186326471,26.4247450003704,0.781354001123263,0.625963807323621,102,27,"A0A075B6S5","IGKV1-27","ENSG00000282666",NA,"ENSP00000488456"
23.7028803855882,23.8631754407407,1.12662077243528,1.25656872795295,102,27,"A0A075B6S9","IGKV1D-37","ENSG00000250036",NA,"ENSP00000425962"
29.1206272616667,29.0797833481481,0.629985983600963,0.645060931015713,102,27,"A0A075B7B8","IGHV3OR16-12","ENSG00000270467",NA,"ENSP00000474013"
29.5964029054902,29.1208631444444,1.55404423774926,1.45635556523527,102,27,"A0A075B7D0","IGHV1OR15-1","ENSG00000270505",NA,"ENSP00000474284"
26.313323702451,26.3852839918519,0.784007902992891,0.897368268864983,102,27,"A0A087WSY4","IGHV4-31","ENSG00000231475",NA,"ENSP00000395656"
28.9524160535294,28.88531727,0.372611964571912,0.350112273468472,102,27,"A0A087WSY5;Q96IY4;Q96IY4-2","CPB2","ENSG00000080618",1361,"ENSP00000181383"
28.7703263087255,28.2350655125926,0.833386394364448,0.635119210143385,102,27,"A0A087WSY6","IGKV3D-15","ENSG00000224041",NA,"ENSP00000403672"
21.1238781953922,20.7526987722222,1.49754356160633,1.67118376192484,102,27,"A0A087WUL2;P49720;A0A087WXQ8;A0A087WY10","PSMB3","ENSG00000275903",5691,"ENSP00000483956"
21.3073115517647,21.196559327037,1.9194821452139,3.00531883500414,102,27,"A0A087WYS1;E7EUC7;Q16851-2;Q16851;C9JNZ1","UGP2","ENSG00000169764",7360,"ENSP00000418619"
22.0488551306863,21.7497290422222,1.93845127671018,2.3031335438609,102,27,"A0A087WZB5;Q9HBI1-3;Q9HBI1;Q9HBI1-2","PARVB","ENSG00000188677",29780,"ENSP00000384515"
21.1596865939216,21.1506928855556,1.50308639224492,1.56227246426192,102,27,"A0A087X054;A0A494C039;Q9Y4L1","HYOU1","ENSG00000280682",10525,"ENSP00000486825"
22.2721199942157,23.0608021307407,1.34720661211859,0.669173181178362,102,27,"A0A087X0M8;O00533;O00533-2","CHL1","ENSG00000134121",10752,"ENSP00000256509"
31.935333920098,31.9671918559259,0.558220469282588,0.463097350554707,102,27,"A0A087X0Q4;A0A087WW87;P01614","IGKV2-40","ENSG00000282182",NA,"ENSP00000488763"
21.3102579101961,20.716531662963,1.62491923135107,1.99551968308672,102,27,"A0A087X0S5;P12109","COL6A1","ENSG00000142156",1291,"ENSP00000355180"
29.1366467812745,28.8687341037037,0.541575339378692,0.525975281508771,102,27,"A0A087X1J7;P22352","GPX3","ENSG00000211445",2878,"ENSP00000373477"
30.950072884902,30.9267187714815,0.663870304561173,0.666555199535998,102,27,"A0A096LPE2;A0A3B3ISW8;E9PR14;G3V1D9;P0DJI9-2;P35542","SAA2-SAA4;SAA2;SAA4",NA,NA,NA
29.5048741289216,29.214893607037,0.396302400343474,0.556212082794324,102,27,"A0A0A0MRJ7;P12259","F5","ENSG00000198734",2153,"ENSP00000356771"
27.1185002222549,27.1088403511111,2.89397429548458,2.6116076501962,102,27,"A0A0A0MS09;P01880;P01880-2","IGHD","ENSG00000278801",NA,"ENSP00000488303"
