"mean_covid","mean_healthy","sd_covid","sd_healthy","number_covid","number_healthy","uniprot","gene_name","gene_id","prot_id","entrez_id"
-0.953424219186024,-1.13349040621768,0.347421997029757,0.168069445425535,13,5,"P04114","APOB","ENSG00000084674","ENSP00000233242",338
-0.598424309297452,-1.29064304534225,0.20268560959372,0.168774154766498,13,5,"P01024","C3","ENSG00000125730","ENSP00000245907",718
1.87620946821344,2.17567774498824,0.0659929845263867,0.058466597998636,13,5,"P02768","ALB","ENSG00000163631","ENSP00000392541",213
-1.10052967899653,-1.51798137596099,0.277975573099029,0.237906326203328,13,5,"P01023","A2M","ENSG00000175899","ENSP00000323929",2
-2.36287378920045,-3.02107839867419,0.271207234700211,0.136169489968616,13,5,"P00450","CP","ENSG00000047457","ENSP00000418773",1356
-2.07727075532579,-2.79965716484669,0.296048778464229,0.26473912587018,13,5,"P0C0L5","C4B","ENSG00000228454","ENSP00000364321",721
-2.09929403158021,-2.81964006377931,0.291536089816674,0.277231942725465,13,5,"P0C0L4","C4A","ENSG00000227746","ENSP00000388662",110384692
-0.978010042686985,-0.904111507380276,0.223809639027029,0.185778777122604,13,5,"P02787","TF","ENSG00000091513","ENSP00000417468",7018
-2.35461296619272,-2.72044756954615,0.279008928300955,0.345265653193434,13,5,"P08603","CFH","ENSG00000000971","ENSP00000356399",3075
-2.97711795210528,-3.77720647602676,0.291154861539631,0.432122507867227,13,5,"Q14624","ITIH4","ENSG00000055955","ENSP00000266041",3700
-3.00651368472001,-3.49374699130837,0.265312325511243,0.374719396998538,13,5,"P00747","PLG","ENSG00000122194","ENSP00000355891",5340
-1.02816545015238,-2.0354866322152,0.291498398319412,0.42432992421111,13,5,"P00738","HP","ENSG00000257017","ENSP00000348170",3240
-0.658498212569739,-1.11015926110005,0.245393136450312,0.196494738366576,13,5,"P01009","SERPINA1","ENSG00000277377","ENSP00000486067",5265
-3.78702116349919,-4.42422314785276,0.335589166461589,0.201427705013043,13,5,"P01031","C5","ENSG00000106804","ENSP00000223642",727
-3.12420604984943,-3.57066253829677,0.423128862149257,0.484861617383273,13,5,"P02774","GC","ENSG00000145321","ENSP00000273951",2638
-1.93218650555795,-1.39788028220496,0.342833393131347,0.34377258406513,13,5,"P02647","APOA1","ENSG00000118137","ENSP00000364469",335
-2.89670394617406,-4.04850788256012,0.284554782710142,0.287086674636708,13,5,"P01011","SERPINA3","ENSG00000196136","ENSP00000376795",12
-2.55287497565373,-3.35401117878604,0.19515868202826,0.476649867434897,13,5,"P02790","HPX","ENSG00000110169","ENSP00000265983",3263
-4.61026390343581,-7.35934193104831,0.737677068016497,0.631488143943881,13,5,"P04275","VWF","ENSG00000110799","ENSP00000261405",7450
