"","x"
"A1BG",0.750172495249411
"A2M",0.79614495777117
"ACTB",0.829544317163293
"AGT",0.767700751793853
"AHSG",0.885221195032962
"ALB",0.899656038610639
"APCS",0.827632167420257
"APOA1",0.886541851772878
"APOA2",0.822140870444524
"APOA4",0.858689168503286
"APOB",0.708937798678785
"APOC1",0.848671476534866
"APOC2",0.781689925287752
"APOC3",0.702562413170148
"APOE",0.753242197375861
"APOH",0.810180760849609
"APOL1",0.758845153187596
"C1QB",0.721885374356183
"C1QC",0.733720597983806
"C1R",0.73111587150479
"C1S",0.788835785618112
"C2",0.795411159014224
"C3",0.761997172128832
"C4A",0.694178639511903
"C4BPA",0.861889074725051
"C4B",0.74888727894436
"C5",0.792494281314901
"C6",0.795372732613177
"C7",0.71377527806231
"C8B",0.763662457604402
"C8G",0.748801941703201
"C9",0.86863604642275
"CFB",0.754296851972873
"CFH",0.810037301111972
"CFI",0.775163017371898
"CLU",0.725380441584477
"CPN2",0.783978748862716
"CP",0.762500884800349
"CRP",0.844861619281416
"F2",0.792650334730233
"FCN3",0.795840072454243
"FGA",0.874722052399177
"FGB",0.846319769975233
"FGG",0.865590221448085
"FN1",0.812225464988833
"GC",0.808917488391506
"GPLD1",0.830387506376567
"GSN",0.86885513471987
"HBA1",0.864380580336793
"HBB",0.785502514167762
"HPR",0.784526901361205
"HPX",0.737442236187562
"HP",0.893337428508325
"HRG",0.871596518493801
"IGFALS",0.792863447441185
"IGHA1",0.755279193607036
"IGHG2",0.744653619980672
"IGHG4",0.728101264449159
"IGHM",0.710824353629494
"IGHV3-15",0.728540364218944
"IGHV3-49",0.695025550116824
"IGHV3-74",0.781211955119914
"IGHV5-51",0.726556638612982
"IGKC",0.76431411384523
"IGKV1-39",0.750438521467883
"IGKV3-20",0.740264660196497
"IGKV3D-11",0.5796153973299
"IGKV3D-15",0.684157901173581
"IGKV4-1",0.747810353934611
"IGLC2",0.6646724371337
"IGLV3-21",0.750001131356879
"ITIH1",0.859876967280251
"ITIH2",0.86709005168199
"ITIH3",0.878555204910693
"ITIH4",0.861456170682505
"KLKB1",0.803514245101855
"KNG1",0.754390818079014
"LBP",0.869061321402939
"LGALS3BP",0.868159136321631
"LRG1",0.854471886482508
"LUM",0.847867570115244
"PGLYRP2",0.846883390792098
"PLG",0.730879934831052
"PON1",0.838093618245517
"PROS1",0.759544271116538
"RBP4",0.79796095358525
"SAA1",0.871284956728589
"SAA2",0.82171336232789
"SAA4",0.772764583817463
"SERPINA1",0.804010094217082
"SERPINA3",0.936539586524816
"SERPINA4",0.820669023022429
"SERPINA6",0.765036987030945
"SERPINA7",0.751121592095905
"SERPINC1",0.794407213658522
"SERPIND1",0.756695446320458
"SERPINF1",0.739997559574626
"SERPINF2",0.810863352645314
"SERPING1",0.869128713338457
"TF",0.90003841973054
"TTR",0.865390672243281
"VTN",0.791469602430036
"KRT10",0.720661601579335
"DSG1",NA
"DPYSL2",0.659473140484464
"APOM",0.817767788383725
"PCYOX1",0.87564545899965
"CTSS",NA
"TGOLN2",0.865620110398377
"COLEC10",0.820050378617362
"TIE1",NA
"C8A",0.758607710884594
"ANG",0.736225220906841
"FHL1",0.837869838597922
"PIGR",0.750076570404819
"KRT17",0.710159592683093
"CALD1",0.793829779635527
"CNTN3",0.832951312562823
"NID1",0.799396467962401
"CRHBP",0.649289283105209
"GSTO1",0.926413330595162
"EEF1A2",0.87978033057161
"STMN1",NA
"SERPINA10",0.747093391062808
"ALAD",0.867965332743457
"H6PD",0.517301493650936
"PSMB2",NA
"KCTD12",0.883648674051064
"IGHG1",0.76471551156959
"CD163",0.684895664327012
"IGKV3-7",0.796171762762725
"GANAB",0.724767216043719
