"","x"
"A1BG",5.30292757564463
"A2M",8.59348626477989
"ACTB",12.0837883718125
"AGT",7.39726330996773
"AHSG",19.0164125367377
"ALB",27.3899559011804
"APCS",10.7106724646632
"APOA1",21.6846011760723
"APOA2",11.7569904881231
"APOA4",16.5749665315273
"APOB",4.44774344074868
"APOC1",13.0502133017171
"APOC2",7.78457779119869
"APOC3",6.66071004002882
"APOE",5.34400118858091
"APOH",8.65726075061049
"APOL1",6.05582036057276
"C1QB",4.24989776039322
"C1QC",4.88664476990294
"C1R",6.89607836612796
"C1S",8.43055628898289
"C2",9.86368558049409
"C3",6.68830067339595
"C4A",5.64753877497906
"C4BPA",19.6635163176067
"C4B",5.53747683770346
"C5",8.09293295973489
"C6",9.23746429107264
"C7",4.12559070654686
"C8B",6.28199916133271
"C8G",5.34290076549007
"C9",20.8913414665707
"CFB",9.36765236925312
"CFH",9.03747117790729
"CFI",7.38369425334235
"CLU",5.88558813538546
"CPN2",7.34670280200827
"CP",5.94010494275745
"CRP",63.8189716216492
"F2",7.11942861034952
"FCN3",9.37376146340673
"FGA",16.4561468074378
"FGB",12.3925752217628
"FGG",16.1925177188771
"FN1",8.64913862109466
"GC",8.95063516435534
"GPLD1",11.4841412447851
"GSN",16.5023788639891
"HBA1",15.1671572040641
"HBB",7.16650575969776
"HPR",6.69312905468305
"HPX",4.79319142453368
"HP",37.4380705751497
"HRG",16.051071536255
"IGFALS",7.6933099830504
"IGHA1",6.02202020704687
"IGHG2",5.57307430224529
"IGHG4",4.2388673541997
"IGHM",4.08530165696939
"IGHV3-15",4.79971874812528
"IGHV3-49",4.06583676946601
"IGHV3-74",6.67740650769948
"IGHV5-51",4.76892666016983
"IGKC",5.89010619177775
"IGKV1-39",4.84871966710141
"IGKV3-20",4.98308264233722
"IGKV3D-11",1.9362720713842
"IGKV3D-15",3.84736662630054
"IGKV4-1",4.87109257296516
"IGLC2",3.05860752846814
"IGLV3-21",6.3020669064307
"ITIH1",14.7379949329058
"ITIH2",15.8800494695964
"ITIH3",20.2316123041713
"ITIH4",14.5858402953309
"KLKB1",8.62203770308112
"KNG1",5.18498889664843
"LBP",23.2488728242069
"LGALS3BP",16.1140500450322
"LRG1",20.0747255955001
"LUM",12.569658777287
"PGLYRP2",12.6541037402354
"PLG",4.95896123120865
"PON1",12.480480517371
"PROS1",5.28577919541148
"RBP4",8.80267030583325
"SAA1",35.4654866569653
"SAA2",23.6543029442543
"SAA4",7.33885838307439
"SERPINA1",8.42944511436974
"SERPINA3",51.8889875771926
"SERPINA4",9.61830203911806
"SERPINA6",5.77432699378913
"SERPINA7",5.00030715917649
"SERPINC1",7.68311267245673
"SERPIND1",5.61960840958346
"SERPINF1",5.63389986959926
"SERPINF2",8.76886465927931
"SERPING1",16.9270045538128
"TF",26.4643998274644
"TTR",20.236545088471
"VTN",8.85802023004455
"KRT10",4.41207574667376
"DSG1",3.15061728395062
"DPYSL2",4.55734825779714
"APOM",9.82068616262713
"PCYOX1",17.3348586917011
"CTSS",12.6828931960197
"TGOLN2",12.146196375065
"COLEC10",18.7253340833848
"TIE1",3.93846153823401
"C8A",5.79016841676752
"ANG",5.10732766093271
"FHL1",8.93289300825337
"PIGR",7.12887883248192
"KRT17",7.75675864124713
"CALD1",9.33061381800016
"CNTN3",10.7349683686326
"NID1",7.51827226750359
"CRHBP",9.13657549938133
"GSTO1",47.7003525223894
"EEF1A2",19.7624846613425
"STMN1",83480768422.9102
"SERPINA10",6.13146119819386
"ALAD",17.1358415023741
"H6PD",12.255260119761
"PSMB2",5.98148148148112
"KCTD12",19.7498814255491
"IGHG1",6.8390427738082
"CD163",3.16320651498893
"IGKV3-7",7.65623964935531
"GANAB",4.23107307767499
"HBD",10.8098101454259
"COL1A2",9.4477491806504
"BHMT",33.3668541867376
"FSTL1",3.38461538396269
"IGF1",8.22229114171602
"KRT5",5.12803250809983
"PLXNB1",6.53905027592451
"CES1",5.66187703691358
"HYAL1",7.8183976979456
"PDLIM7",5.96899140558758
"LDHA",7.70202379463429
"NPM1",4.75131584376877
"ERP29",8.18362261269632
"CD14",12.6277350452108
"CD93",18.713827735024
"TUBA4A",2.81164385672628
"RAB27B",30.0840529146239
"LAMB1",3.13379910070057
"RAB10",6.18289947478626
"LMNB1",91.3663666707067
"KRT77",13.1301286482084
"EXTL2",76337621696.6846
"APOA5",5.21383029759287
"TUBB1",3.88051785978259
"GLUD1",6.14957015490224
"ASL",2.77473978045123
"RAD23B",15.2610857521159
"CNTFR",14.9597813766928
"SOD2",4.40058774531409
"IGKV2-30",4.76015615775361
"SEPTIN2",32.9196329878262
"SH3BGRL3",10.4467676043245
"SBSN",7.65995253885188
"EEF2",12.0051816681581
"LTF",2.59176746467375
"AOC3",13.4027414111838
"MERTK",7.09355067815322
"OIT3",3.91589812546936
"MSN",16.3440653920769
"TUBB4B",14.1947020050952
"ADAMDEC1",7.12074133154849
"SFN",13.3317993667827
"VASN",5.33598086747575
"USP14",5.34932945201135
"VSIG4",36.3909200591575
"ASS1",3.80397243398323
"CCT3",5.21647496537408
"FRMPD1",27.3895324900203
"FBN1",6.49826410805647
"PSMD2",3.73017007903242
"RARRES2",6.40131371443688
"SPTA1",3.60347836385765
"PRPF4B",7.49999999999999
"MEGF8",3.96029776200442
"CPN1",8.77980408116107
"ANGPTL6",8.55849462722708
"TMSB4X",9.01616784858059
"PARK7",6.26481407985352
"IGHV1-3",3.09026687420384
"MBL2",5.1149172976807
"IGLV3-19",7.33303999338343
"IGLV4-69",6.58911991864794
"CFP",12.785177475391
"THBS4",17.2806831730103
