"","Sensitivity","Se 95% CI, Lower limit","Se 95% CI, Upper limit","Specificity","Spec 95% CI, Lower limit","Spec 95% CI, Upper limit","Std Dev Study","Corr study","N_study","Mean posLR","Median posLR","posLR 95% CI, Lower limit","posLR 95% CI, Upper limit","Mean negLR","Median negLR","negLR 95% CI, Lower limit","negLR 95% CI, Upper limit","Mean DOR","Median DOR","DOR 95% CI, Lower limit","DOR 95% CI, Upper limit","AUC","abs_diff","protein","cat","Wald_Pval","adj.Pval"
"1",0.687552383971429,0.584227654397418,0.775084892046808,0.70673058748756,0.583766809509091,0.805473161831259,1.0616716942433,-0.610614026034391,19,2.42,2.34,1.49,3.8,0.453,0.443,0.293,0.669,5.84,5.31,2.25,12.5,75,0.0191782035161309,"A1BG","70-79%",2.99897517930949e-10,1.72307982195829e-09
"2",0.731239884407855,0.65614899078879,0.795054285882623,0.759525923158248,0.629458565746965,0.854491190001223,1.21084424584649,-0.636157673737311,19,3.17,3.04,1.86,5.26,0.362,0.355,0.25,0.515,9.44,8.59,3.66,20.1,80,0.0282860387503929,"A2M","80-89%",6.92682391011409e-19,2.92198936056198e-17
"3",0.773817797376329,0.621887580079046,0.876794974625608,0.779347710442888,0.701834081690738,0.8412677897326,0.53369484014425,0.329803333023652,15,3.53,3.47,2.52,4.84,0.299,0.291,0.161,0.482,13,12.1,5.65,25.8,83,0.00552991306655848,"ACTB","80-89%",1.07586289299672e-09,5.67751559293379e-09
"4",0.658066452556375,0.573393813824597,0.733737281634449,0.793543824538073,0.6812298343175,0.873626576239624,1.12734011436837,-0.406108339094613,19,3.31,3.18,1.94,5.45,0.438,0.433,0.32,0.584,8,7.39,3.39,16.1,77,0.135477371981698,"AGT","70-79%",4.53341176771055e-11,2.99451892955574e-10
"5",0.760042056643217,0.654982566167146,0.840882167136102,0.857220332362448,0.786438768836838,0.907307459265024,0.867700767664297,-0.222982756204697,20,5.46,5.3,3.4,8.43,0.285,0.281,0.183,0.412,20.5,19,8.88,40.8,89,0.0971782757192313,"AHSG","80-89%",7.22221881086379e-19,2.92198936056198e-17
"6",0.747922456669865,0.570256448313588,0.869009308880053,0.902261938769611,0.770795777832812,0.962036148186113,1.77839789367027,-0.494288595792244,16,8.71,7.57,2.84,21.2,0.294,0.282,0.141,0.515,37,27.4,5.96,126,90,0.154339482099746,"ALB","90+%",9.05832261678991e-10,4.9137604809514e-09
"7",0.749034099369017,0.661543470281917,0.82006011623038,0.782070493840967,0.674110765693317,0.861607930384706,1.0012744756707,-0.226046702316238,18,3.54,3.43,2.21,5.53,0.327,0.322,0.223,0.458,11.5,10.7,5.06,22.6,83,0.0330363944719501,"APCS","80-89%",8.61132373153276e-13,8.58404631072709e-12
"8",0.800105573994678,0.712043354757409,0.866293861666891,0.844177870231599,0.743893053270993,0.909947490117422,1.16749965917114,-0.0743333136100497,19,5.34,5.11,3.06,8.97,0.242,0.238,0.157,0.351,23.6,21.7,9.65,48.7,89,0.044072296236921,"APOA1","80-89%",1.43541504854001e-14,2.17779376895679e-13
"9",0.762355465280326,0.705144066162907,0.811434556013558,0.785634819679719,0.672593696459672,0.867344721286167,1.10897964080743,0.679576207816383,19,3.66,3.55,2.39,5.56,0.306,0.304,0.249,0.369,12.2,11.8,7.1,19.5,82,0.0232793543993929,"APOA2","80-89%",5.77015794679636e-14,7.37213600834114e-13
"10",0.748717757190052,0.653225958690586,0.824960074950836,0.84762686993212,0.741457424622594,0.915185407191,1.30496938740892,-0.427561315146357,20,5.17,4.9,2.73,9.19,0.303,0.298,0.2,0.436,18.5,16.6,6.56,41.8,86,0.0989091127420678,"APOA4","80-89%",2.54480225194202e-16,5.37174562312108e-15
