"","Gene name","Protein IDs","log2-FC","FDR q value","Alteration","HPA tisue-enrichment","PEA quant.","SOMAscan quant."
"5","IL1R2","ENSP00000330959.3;ENSP00000377066.2;ENSP00000408415.1;ENSP00000414611.1",-0.465624302655436,0.00594224001742012,"Down in Covid-19","5",NA,"Significant"
"6","APOM","ENSP00000397018.1;ENSP00000403062.1;ENSP00000389591.2;ENSP00000395189.2;ENSP00000383021.3;ENSP00000372930.4;ENSP00000413055.2;ENSP00000416335.2;ENSP00000394610.2;ENSP00000392489.1;ENSP00000393581.1;ENSP00000401684.2;ENSP00000414574.2;ENSP00000392021.2;ENSP00000398944.2;ENSP00000412182.1;ENSP00000413446.1;ENSP00000405730.2;ENSP00000365083.2;ENSP00000365085.4;ENSP00000365081.3",-0.362818901876401,0.00767727583074953,"Down in Covid-19","4","liver","Significant"
"10","CTSS","ENSP00000506001.1;ENSP00000505326.1;ENSP00000506248.1;ENSP00000505113.1;ENSP00000357981.3;ENSP00000475176.2;ENSP00000475557.2;ENSP00000505359.1;ENSP00000505020.1;ENSP00000475812.2;ENSP00000506603.1;ENSP00000504934.1;ENSP00000408414.2;ENSP00000505313.1;ENSP00000504885.1",-0.386056483688008,0.0164434477163258,"Down in Covid-19","3",NA,"Not significant"
"11","TGOLN2","ENSP00000366603.3;ENSP00000381312.2;ENSP00000387035.1;ENSP00000386443.3;ENSP00000391190.2",-0.572627862784458,0.0249452009251222,"Down in Covid-19","4",NA,"Not targeted by PEA"
"12","ANGPTL4","ENSP00000470307.1;ENSP00000473090.1;ENSP00000471345.1;ENSP00000301455.1;ENSP00000473025.1;ENSP00000377534.1;ENSP00000472551.1;ENSP00000472869.1",-0.286388389096157,0.0381152358855114,"Down in Covid-19","2",NA,"Not significant"
"14","LRRC4B","ENSP00000471502.1;ENSP00000373853.3;ENSP00000498662.1;ENSP00000472528.1",-0.524518467081332,0.0194410914694041,"Down in Covid-19","4",NA,"Not targeted by PEA"
"19","ATF6B","ENSP00000404814.2;ENSP00000399764.2;ENSP00000389467.1;ENSP00000404725.2;ENSP00000391131.2;ENSP00000399944.1;ENSP00000293709.6;ENSP00000372642.4;ENSP00000412066.1;ENSP00000364349.3;ENSP00000364347.4;ENSP00000393419.2",0.308765536680621,0.000495669123273462,"Up in Covid-19","5",NA,"Not targeted by PEA"
"20","ATP6AP1","ENSP00000503173.1;ENSP00000398511.1;ENSP00000392375.1;ENSP00000408317.1;ENSP00000503588.1;ENSP00000358777.2;ENSP00000411209.1;ENSP00000396643.1;ENSP00000408470.1;ENSP00000502914.1;ENSP00000482243.2",0.510630605601774,0.00163470328814062,"Up in Covid-19","5",NA,"Not targeted by PEA"
"22","HNRNPA2B1","ENSP00000504660.1;ENSP00000503961.1;ENSP00000503242.1;ENSP00000504571.1;ENSP00000497298.1;ENSP00000503452.1;ENSP00000504799.1;ENSP00000503190.1;ENSP00000503898.1;ENSP00000503968.1;ENSP00000503885.1;ENSP00000503870.1;ENSP00000504049.1;ENSP00000504059.1;ENSP00000503550.1;ENSP00000503236.1;ENSP00000503521.1;ENSP00000503360.1;ENSP00000503021.1;ENSP00000503915.1;ENSP00000503460.1;ENSP00000346694.4;ENSP00000504439.1;ENSP00000504100.1;ENSP00000503476.1;ENSP00000504329.1;ENSP00000504721.1;ENSP00000504831.1;ENSP00000504023.1;ENSP00000503514.1;ENSP00000503375.1;ENSP00000349101.8;ENSP00000503047.1;ENSP00000503833.1;ENSP00000478691.2;ENSP00000503429.1;ENSP00000503836.1;ENSP00000503703.1;ENSP00000354021.4;ENSP00000504415.1;ENSP00000503060.1;ENSP00000503501.1",0.64123691260855,0.00984101644428238,"Up in Covid-19","5",NA,"Not targeted by PEA"
"23","ISG15","ENSP00000485643.1;ENSP00000485313.1;ENSP00000496832.1",1.82348344720689,0.00701717785513961,"Up in Covid-19","7",NA,"Not targeted by PEA"
"29","LYPLA2","ENSP00000363638.3;ENSP00000409004.1;ENSP00000363629.2;ENSP00000363627.3;ENSP00000363626.3;ENSP00000388003.1;ENSP00000363625.1",0.283435922041451,0.0353865677358184,"Up in Covid-19","2",NA,"Not targeted by PEA"
"30","CALD1","ENSP00000398826.1;ENSP00000411476.2;ENSP00000395710.1;ENSP00000401988.1;ENSP00000354826.2;ENSP00000394715.1;ENSP00000354513.2;ENSP00000390926.1;ENSP00000416611.1;ENSP00000376826.2;ENSP00000407522.1;ENSP00000393621.1;ENSP00000419673.1;ENSP00000502281.1",0.481873289670289,0.00503888313017489,"Up in Covid-19","5",NA,"Not targeted by PEA"
"33","CRP","ENSP00000255030.5;ENSP00000402788.1;ENSP00000357093.1;ENSP00000357092.1;ENSP00000357091.1",1.13759964441206,0.0023377954057482,"Up in Covid-19","7","liver","Not targeted by PEA"
"38","IGDCC4","ENSP00000319623.3",-0.674718944383461,0.00244571562539944,"Down in Covid-19","6",NA,"Not targeted by PEA"
"41","GSTO1","ENSP00000358727.5;ENSP00000406708.1;ENSP00000405325.1;ENSP00000441488.1;ENSP00000358724.4",0.551609219584784,0.000298055298054011,"Up in Covid-19","6",NA,"Not targeted by PEA"
"45","FAT4","ENSP00000501473.2;ENSP00000377862.4;ENSP00000335169.5",-0.181804419498283,0.0376455314247868,"Down in Covid-19","2",NA,"Not targeted by PEA"
"47","TF","ENSP00000417468.1;ENSP00000401505.1;ENSP00000418396.1;ENSP00000419338.1;ENSP00000418716.1;ENSP00000385834.3;ENSP00000419714.1",-0.448124343839054,0.0146407152209312,"Down in Covid-19","4",NA,"Not targeted by PEA"
"48","SPDYA","ENSP00000368898.4;ENSP00000335628.5;ENSP00000414086.1;ENSP00000395240.1",0.7581929770208,0.0480663669510773,"Up in Covid-19","4","testis","Not targeted by PEA"
"49","ALAD","ENSP00000386284.3;ENSP00000392748.1;ENSP00000415737.1;ENSP00000398438.1",0.30572576224314,0.0023377954057482,"Up in Covid-19","4",NA,"Not targeted by PEA"
"52","KCTD12","ENSP00000366694.2",0.32252501269169,0.0181930053573171,"Up in Covid-19","3",NA,"Not targeted by PEA"
"54","ACBD5","ENSP00000504580.1;ENSP00000504333.1;ENSP00000503467.1;ENSP00000379568.3;ENSP00000365062.4;ENSP00000365066.1;ENSP00000365070.4;ENSP00000503631.1;ENSP00000503053.1;ENSP00000503864.1;ENSP00000504029.1;ENSP00000504374.1;ENSP00000504726.1;ENSP00000503831.1;ENSP00000503208.1;ENSP00000503715.1;ENSP00000504367.1;ENSP00000503264.1;ENSP00000502986.1;ENSP00000504666.1;ENSP00000503800.1;ENSP00000503415.1;ENSP00000504499.1;ENSP00000365049.1;ENSP00000503158.1;ENSP00000483256.1;ENSP00000401591.2;ENSP00000393398.1",0.351803029347055,0.00595326830058799,"Up in Covid-19","4",NA,"Not targeted by PEA"
"60","TBC1D2","ENSP00000364203.1;ENSP00000364205.1;ENSP00000341567.5;ENSP00000364207.5;ENSP00000481721.1",-0.784384053180645,0.00812343645752458,"Down in Covid-19","6",NA,"Not targeted by PEA"
"63","GKN1","ENSP00000501093.2;ENSP00000367172.3",-0.202173511364976,0.0348131221421105,"Down in Covid-19","2","stomach 1","Not targeted by PEA"
"64","BHMT","ENSP00000274353.5;ENSP00000428240.1",0.877558950624422,0.00405678416724773,"Up in Covid-19","6",NA,"Not targeted by PEA"
"66","ITGAL","ENSP00000504379.1;ENSP00000503623.1;ENSP00000456521.1;ENSP00000350886.5;ENSP00000349252.5;ENSP00000457785.1;ENSP00000454908.1;ENSP00000454342.1;ENSP00000409377.2;ENSP00000461006.1;ENSP00000503942.1;ENSP00000458739.1;ENSP00000504443.1",-0.262164391284293,0.00461846819401148,"Down in Covid-19","3",NA,"Not targeted by PEA"
"68","IGF1","ENSP00000337612.7;ENSP00000376637.1;ENSP00000494228.1;ENSP00000416811.2;ENSP00000376638.3;ENSP00000302665.8",-0.746413530076459,0.000914847204257959,"Down in Covid-19","6",NA,"Not targeted by PEA"
"70","ABTB2","ENSP00000410157.2",-0.338492406341748,0.0315310048023829,"Down in Covid-19","3",NA,"Not targeted by PEA"
"71","PLXNB1","ENSP00000296440.6;ENSP00000351338.4;ENSP00000414199.1;ENSP00000395987.1",-0.331212337642391,0.0248331941943585,"Down in Covid-19","3",NA,"Not targeted by PEA"
"74","RAD23A","ENSP00000466243.1;ENSP00000498473.1;ENSP00000467024.1;ENSP00000321365.3;ENSP00000468674.1;ENSP00000466968.1;ENSP00000466226.1;ENSP00000467628.1",0.336769980711282,0.0229794038431894,"Up in Covid-19","3",NA,"Not targeted by PEA"
"75","INCENP","ENSP00000378295.3;ENSP00000433100.1;ENSP00000278849.4",0.596562603932347,0.0389191290235079,"Up in Covid-19","4",NA,"Not targeted by PEA"
"76","HYAL1","ENSP00000378576.2;ENSP00000266031.4;ENSP00000346068.5;ENSP00000378575.2;ENSP00000393358.2;ENSP00000390149.2;ENSP00000394526.1;ENSP00000391666.1;ENSP00000477903.1",-0.351291598331029,0.0134968793466835,"Down in Covid-19","3",NA,"Not significant"
"77","LDHA","ENSP00000500621.1;ENSP00000500087.1;ENSP00000500284.1;ENSP00000500168.1;ENSP00000500953.1;ENSP00000500119.1;ENSP00000500858.1;ENSP00000500077.1;ENSP00000500430.1;ENSP00000500407.1;ENSP00000500101.1;ENSP00000500354.1;ENSP00000499918.1;ENSP00000500554.1;ENSP00000500603.1;ENSP00000499977.1;ENSP00000499898.1;ENSP00000500704.1;ENSP00000500733.1;ENSP00000440161.1;ENSP00000443545.1;ENSP00000406172.2;ENSP00000379524.2;ENSP00000444292.1;ENSP00000442979.1;ENSP00000440368.1;ENSP00000441058.1;ENSP00000443362.1;ENSP00000442637.1;ENSP00000395337.3;ENSP00000227157.4;ENSP00000441241.1;ENSP00000446415.1;ENSP00000445175.1;ENSP00000368722.5;ENSP00000445331.1;ENSP00000441699.1;ENSP00000486249.1",0.429895853614104,6.55475812483819e-05,"Up in Covid-19","6",NA,"Not targeted by PEA"
"83","EFNA1","ENSP00000357391.2;ENSP00000357392.3",0.424633413323469,0.041825713688772,"Up in Covid-19","3",NA,"Not significant"
"85","SKP1","ENSP00000231487.9;ENSP00000429472.1;ENSP00000431067.1;ENSP00000429961.1;ENSP00000429995.1;ENSP00000429686.1;ENSP00000331708.6;ENSP00000430885.1;ENSP00000429415.1;ENSP00000429996.1;ENSP00000428962.1",0.430985670131946,0.000312301037040165,"Up in Covid-19","6",NA,"Not targeted by PEA"
"86","CD93","ENSP00000246006.4",-0.513467665846855,0.00219828373784457,"Down in Covid-19","5",NA,"Significant"
"88","RAB27B","ENSP00000468542.1;ENSP00000262094.4;ENSP00000465009.1",0.955477805559359,0.000273944632606535,"Up in Covid-19","7",NA,"Not targeted by PEA"
"89","CDH11","ENSP00000377711.3;ENSP00000268603.4;ENSP00000457812.1;ENSP00000484650.1;ENSP00000455779.1;ENSP00000455420.1;ENSP00000456772.1;ENSP00000455120.1;ENSP00000455697.1;ENSP00000456110.1",-0.183013514874324,0.0353865677358184,"Down in Covid-19","2",NA,"Not targeted by PEA"
"93","LMNB1","ENSP00000486528.1;ENSP00000261366.5;ENSP00000486992.1;ENSP00000378761.1",0.653678604811471,0.0165712986746174,"Up in Covid-19","5",NA,"Not targeted by PEA"
"95","TGFBR3","ENSP00000433477.1;ENSP00000359426.2;ENSP00000436127.1;ENSP00000434994.1;ENSP00000432638.1;ENSP00000395975.2;ENSP00000212355.4",-0.328029559757391,0.00388959025470661,"Down in Covid-19","4",NA,"Significant"
"98","EXTL2","ENSP00000359131.3;ENSP00000359132.3;ENSP00000403363.1;ENSP00000392255.1;ENSP00000444385.2",-0.594979909170298,0.000305040996697549,"Down in Covid-19","6",NA,"Not targeted by PEA"
"101","CNDP2","ENSP00000464151.1;ENSP00000325548.4;ENSP00000464214.1;ENSP00000462311.1;ENSP00000463314.1;ENSP00000464319.1;ENSP00000463702.1;ENSP00000463816.1;ENSP00000464122.1;ENSP00000464014.1;ENSP00000462673.1;ENSP00000462626.1;ENSP00000463182.1;ENSP00000463222.1;ENSP00000325756.8;ENSP00000482227.1;ENSP00000461941.1;ENSP00000479635.1;ENSP00000462034.1",0.787697981950705,5.27639012830008e-05,"Up in Covid-19","7",NA,"Not targeted by PEA"
"104","AMPD2","ENSP00000433739.2;ENSP00000499740.1;ENSP00000499465.2;ENSP00000345498.4;ENSP00000436541.2;ENSP00000431975.2;ENSP00000256578.4;ENSP00000505999.1;ENSP00000505534.1;ENSP00000506701.1;ENSP00000505994.1;ENSP00000506038.1;ENSP00000505735.1;ENSP00000504916.1;ENSP00000506332.1;ENSP00000505950.1;ENSP00000506195.1;ENSP00000504882.1;ENSP00000506422.1;ENSP00000505976.1;ENSP00000505774.1;ENSP00000505537.1;ENSP00000505948.1;ENSP00000505528.1;ENSP00000499620.2;ENSP00000358855.3;ENSP00000434891.2;ENSP00000499739.1;ENSP00000499362.1;ENSP00000351573.5;ENSP00000499621.2;ENSP00000437025.2;ENSP00000437164.1;ENSP00000506466.1",0.403887090059305,0.0275413681075958,"Up in Covid-19","3",NA,"Not targeted by PEA"
"107","MSTN","ENSP00000260950.3",-0.487054229174636,0.00193768722283032,"Down in Covid-19","5",NA,"Not significant"
"108","RAD23B","ENSP00000416868.1;ENSP00000350708.3;ENSP00000415821.1;ENSP00000396975.1;ENSP00000405623.2",0.798799877413157,0.00418012512310691,"Up in Covid-19","6",NA,"Not significant"
"109","GALNT5","ENSP00000259056.4",-0.656482693668879,0.0319683158588308,"Down in Covid-19","4",NA,"Not targeted by PEA"
"112","CNTFR","ENSP00000242338.4;ENSP00000368265.3;ENSP00000480451.1;ENSP00000388082.1",-0.481611865804241,0.00284498285116132,"Down in Covid-19","5",NA,"Not targeted by PEA"
"113","ROBO1","ENSP00000420321.1;ENSP00000420637.1;ENSP00000417992.1;ENSP00000418946.1;ENSP00000418553.1;ENSP00000419915.1;ENSP00000406043.3;ENSP00000482448.1",-0.404933064092366,0.00229055864973719,"Down in Covid-19","5",NA,"Significant"
"118","SERPING1","ENSP00000384561.1;ENSP00000478572.2;ENSP00000399746.1;ENSP00000341861.6;ENSP00000278407.4;ENSP00000503118.1;ENSP00000503979.1;ENSP00000367574.4;ENSP00000367575.2;ENSP00000384420.1;ENSP00000502857.1;ENSP00000504424.1;ENSP00000504807.1;ENSP00000503873.1;ENSP00000503752.1;ENSP00000431226.2;ENSP00000432554.1;ENSP00000435431.1",0.308201935499359,0.000214450154320303,"Up in Covid-19","5",NA,"Not targeted by PEA"
