"","statistic","df","p.value","conf_int_lower","conf_int_upper","estimate_mean_x","estimate_mean_y","null.value","stderr","side","method","data.name","gene","protein","adj.p","fc"
"5",-4.87877119829878,8.83160493229757,0.000921898957171419,-0.682151123242723,-0.249097482068149,-0.0692333200027598,0.396390982652676,0,0.0954388479660202,"two.sided","Welch Two Sample t-test","x[cov] and x[hc]","IL1R2","ENSP00000330959.3;ENSP00000377066.2;ENSP00000408415.1;ENSP00000414611.1",0.00594224001742012,-0.465624302655436
"6",-4.7061798986935,8.42414142420675,0.00132917423039396,-0.539052273150621,-0.186585530602182,0.00206567797122185,0.364884579847623,0,0.0770941421039014,"two.sided","Welch Two Sample t-test","x[cov] and x[hc]","APOM","ENSP00000397018.1;ENSP00000403062.1;ENSP00000389591.2;ENSP00000395189.2;ENSP00000383021.3;ENSP00000372930.4;ENSP00000413055.2;ENSP00000416335.2;ENSP00000394610.2;ENSP00000392489.1;ENSP00000393581.1;ENSP00000401684.2;ENSP00000414574.2;ENSP00000392021.2;ENSP00000398944.2;ENSP00000412182.1;ENSP00000413446.1;ENSP00000405730.2;ENSP00000365083.2;ENSP00000365085.4;ENSP00000365081.3",0.00767727583074953,-0.362818901876401
"10",-3.92723515318813,8.60588367114023,0.00378966473507227,-0.609993990115368,-0.162118977260648,-0.134790604902039,0.251265878785969,0,0.0983023599629899,"two.sided","Welch Two Sample t-test","x[cov] and x[hc]","CTSS","ENSP00000506001.1;ENSP00000505326.1;ENSP00000506248.1;ENSP00000505113.1;ENSP00000357981.3;ENSP00000475176.2;ENSP00000475557.2;ENSP00000505359.1;ENSP00000505020.1;ENSP00000475812.2;ENSP00000506603.1;ENSP00000504934.1;ENSP00000408414.2;ENSP00000505313.1;ENSP00000504885.1",0.0164434477163258,-0.386056483688008
"11",-3.73140988758514,7.36386001706377,0.00670253290736842,-0.931903337343225,-0.21335238822569,-0.132129330945125,0.440498531839332,0,0.153461527957478,"two.sided","Welch Two Sample t-test","x[cov] and x[hc]","TGOLN2","ENSP00000366603.3;ENSP00000381312.2;ENSP00000387035.1;ENSP00000386443.3;ENSP00000391190.2",0.0249452009251222,-0.572627862784458
"12",-3.14985355886446,8.92032369762192,0.0118695001015027,-0.49234676063795,-0.0804300175543636,0.0028699734142176,0.289258362510374,0,0.0909211757766293,"two.sided","Welch Two Sample t-test","x[cov] and x[hc]","ANGPTL4","ENSP00000470307.1;ENSP00000473090.1;ENSP00000471345.1;ENSP00000301455.1;ENSP00000473025.1;ENSP00000377534.1;ENSP00000472551.1;ENSP00000472869.1",0.0381152358855114,-0.286388389096157
"14",-3.81320784300023,8.35297652685343,0.00474279578286756,-0.839398355607049,-0.209638578555616,-0.118226373426896,0.406292093654437,0,0.13755307569824,"two.sided","Welch Two Sample t-test","x[cov] and x[hc]","LRRC4B","ENSP00000471502.1;ENSP00000373853.3;ENSP00000498662.1;ENSP00000472528.1",0.0194410914694041,-0.524518467081332
"19",5.20331505522186,24.494525046682,2.34042756351719e-05,0.186424185758205,0.431106887603037,0.0782284286209334,-0.230537108059687,0,0.0593401578424037,"two.sided","Welch Two Sample t-test","x[cov] and x[hc]","ATF6B","ENSP00000404814.2;ENSP00000399764.2;ENSP00000389467.1;ENSP00000404725.2;ENSP00000391131.2;ENSP00000399944.1;ENSP00000293709.6;ENSP00000372642.4;ENSP00000412066.1;ENSP00000364349.3;ENSP00000364347.4;ENSP00000393419.2",0.000495669123273462,0.308765536680621
"20",6.08230026496314,9.77593365373496,0.000130156459415656,0.322987683329755,0.698273527873793,0.245667398090088,-0.264963207511686,0,0.0839535345769169,"two.sided","Welch Two Sample t-test","x[cov] and x[hc]","ATP6AP1","ENSP00000503173.1;ENSP00000398511.1;ENSP00000392375.1;ENSP00000408317.1;ENSP00000503588.1;ENSP00000358777.2;ENSP00000411209.1;ENSP00000396643.1;ENSP00000408470.1;ENSP00000502914.1;ENSP00000482243.2",0.00163470328814062,0.510630605601774
"22",3.64475743960003,17.5783107170211,0.00191399195599871,0.270976597842561,1.01149722737454,-0.0406279468154759,-0.681864859424026,0,0.175934043138662,"two.sided","Welch Two Sample t-test","x[cov] and x[hc]","HNRNPA2B1","ENSP00000504660.1;ENSP00000503961.1;ENSP00000503242.1;ENSP00000504571.1;ENSP00000497298.1;ENSP00000503452.1;ENSP00000504799.1;ENSP00000503190.1;ENSP00000503898.1;ENSP00000503968.1;ENSP00000503885.1;ENSP00000503870.1;ENSP00000504049.1;ENSP00000504059.1;ENSP00000503550.1;ENSP00000503236.1;ENSP00000503521.1;ENSP00000503360.1;ENSP00000503021.1;ENSP00000503915.1;ENSP00000503460.1;ENSP00000346694.4;ENSP00000504439.1;ENSP00000504100.1;ENSP00000503476.1;ENSP00000504329.1;ENSP00000504721.1;ENSP00000504831.1;ENSP00000504023.1;ENSP00000503514.1;ENSP00000503375.1;ENSP00000349101.8;ENSP00000503047.1;ENSP00000503833.1;ENSP00000478691.2;ENSP00000503429.1;ENSP00000503836.1;ENSP00000503703.1;ENSP00000354021.4;ENSP00000504415.1;ENSP00000503060.1;ENSP00000503501.1",0.00984101644428238,0.64123691260855
"23",5.32910158303558,6.8713469852523,0.00115572406495554,1.01128782458945,2.63567906982432,0.229961460994241,-1.59352198621265,0,0.34217464591249,"two.sided","Welch Two Sample t-test","x[cov] and x[hc]","ISG15","ENSP00000485643.1;ENSP00000485313.1;ENSP00000496832.1",0.00701717785513961,1.82348344720689
