"","COVIDX1","COVIDX2","COVIDX3","COVIDX4","COVIDX5","COVIDX6","HC2","HC3","HC4","COVIDX17","COVIDX18","COVIDX19","COVIDX20","COVIDX7","COVIDX8","COVIDX9","COVIDX10","COVIDX11","COVIDX12","COVIDX13","COVIDX14","COVIDX15","COVIDX16","HC5","HC6","HC7","HC9"
"MSANTD2",0.23583145306875,0.160924166274857,0.400940564794521,0.132081456743107,0.274850720884008,0.177809409707165,-0.135620655925148,-0.143474273540861,-0.0862515517527349,0.284922812545652,0.340538930464118,0.432437123244579,0.137209756356595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FLG2",0.143729608238269,-0.321806400258815,0.642590613136679,0.783784088669734,-0.00951102809622295,0.054542123509834,-0.0909893730081599,0.351490354725094,-0.100041717981478,-0.517281389371394,0.353533180982084,-0.553249971771983,-0.578439330342258,0.703245558611467,-0.133568627523885,-0.549386318659024,-0.0631879492984746,-0.774070740816043,0.135242697230032,0.376133321685465,0.232118185063998,1.16986072192663,1.72297230459843,-0.054075540509392,0.290921148794066,0.129460621179885,0.0521412806668602
"KRT10",0.0712719828278825,-0.270817888192891,0.357218974575478,0.375449839980433,-0.278102599996976,-0.506763184431832,-0.243805271432784,0.149970423980928,-0.366721006477652,-0.714124654183239,0.403702564093089,-0.750999419948425,-0.816791770057465,0.231316667218325,0.0175362886850925,-0.823583133273042,-0.258836815510776,-0.930358205254125,0.170597499665025,0.250315147994085,-0.0705934620968636,1.06737059438705,0.554962004939835,-0.258671959893578,0.261933394383359,0.144616699552858,-0.0219602760490529
"DSG1",-0.163527282216783,0.109687219590564,0.198465768493969,-0.0570576871219597,-0.146154373226899,-0.135946080491567,0.12264806504881,0.0106773969822722,0.226708055997051,-0.367480529224903,-0.0637509809774164,-0.338212784916901,-0.195883898886867,1.10618019564616,0.112892933052217,-0.496646648632488,-0.117433938379153,-0.526241014081217,-0.202962779154172,0.37102858781715,-0.303183515212055,0.594412372319798,0.87541656100913,-0.0297569004794358,0.0836646610831,0.04515656838847,0.153893823467355
"DPYSL2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.114235700553046,0.40333322776047,-0.230553848822034,-0.0645001520727249,-0.296607940089665,-0.153358327351327,-0.189637833710361,0.0313332105459594,-0.0783454650307398,0.433949726071653,0.624863634266045,0.101803268474892,0.168552879470017,0.537597644497406
"BPI",-0.529677705802232,-0.569830269455247,-0.432042746373208,-0.420886154293949,-0.662982069449741,-0.150388662561634,1.22318434001005,-0.252606903066818,2.50057813618318,-0.632422068219245,0.130470756328026,-0.510895031988554,0.0450861125034798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL1R2",-0.24163620434472,0.0124375681964182,-0.193169848578584,-0.209549331502462,-0.231599592088327,0.0485068749049899,0.76981277428321,0.150425931256256,0.313283012780902,0.0128773744653579,-0.135606327507024,0.192143879727277,-0.103241511142611,-0.036587951893118,-0.445757570715273,-0.33429499732479,-0.131072087827437,0.231189046713954,0.194730566281329,0.0954624806319373,-0.180107972762432,0.0336321614002735,0.0369770433100456,0.158395948206557,0.506143158497235,0.308287111681874,0.568388941862697
"APOM",-0.0160546572579197,0.207133262373841,0.250809504556354,-0.0622315704304448,-0.248807718182106,-0.0452047424956641,0.728088237507789,0.304674991286937,0.200144884078524,-0.0782835408708209,0.165765660729709,0.0206614715448765,0.0529771225244868,-0.131488646693768,0.0962015062263593,-0.192211218803477,-0.0629119397001849,-0.0367761746770983,0.187260905892366,0.0253211107045468,-0.173427953980195,0.127303317730228,-0.0447221397666517,0.353006391876761,0.397678854876089,0.413542845453148,0.157055853854114
"NPPA",1.57229266609842,-0.322214796991407,0.447458253470387,-0.417096529524628,-0.443687975844173,-0.431712496276723,-0.223896777041247,-0.0654161671997677,-0.645237834252422,0.484999261744903,-0.474083332394797,-1.09692454609036,-0.514419330548174,-0.193843080011678,-0.0322050127437095,0.0361613359202728,0.59566504626947,-0.420333438613412,0.364094157041517,-0.521738699130214,-0.190531449952353,-0.0717642491115846,0.0267854074188065,0.0726210141289734,-0.286117038377117,-0.286271894185042,0.00818749788933104
"ANP32E",-0.162977244052568,-0.158671894960122,-0.384806746667063,-0.58535071713284,-0.132802100871035,-0.116159431973286,-0.0369802802483754,0.172571192535642,1.31469327628538,-0.120555274416027,-0.122655371750358,-0.244368489249698,-0.237696539462119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
