"","gene_name","Ahern","Babacic","Byeon","Ciccosanti","Di","Feng","Geyer","Messner-Discovery","Messner-Validation","Mohammed","Overmyer","Sahin","Sameh","Shen","Shu-Discovery","Shu-Validation","Spick","Sullivan","Suvarna","Tepasse","Zhang","nstud"
"1","IGHV3-64",0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,9
"2","IGHV6-1",0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,12
"3","IGHV3-73",0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,1,8
"4","IGHV3-72",0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,1,14
"5","IGHV3-35",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,5
"6","IGHV3-38",0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,7
"7","IGHV3-66",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
"8","IGKV2-24",0,0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,11
"9","IGKV1-9",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3
"10","IGHV7-4-1",0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,5
"11","PABPN1L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"12","TCAF2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"13","C15orf61",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"14","ARHGAP33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"15","CIT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"16","SART1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"17","MSI1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"18","COCH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"19","CD5L",0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,19
"20","KLRC4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"21","KIAA0513",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"22","OR1I1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"23","NPHS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"24","FCMR",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"25","JAK2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"26","OPHN1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"27","B4GALT2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"28","UGT2B11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"29","FCN3",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,19
"30","ATRN",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,19
"31","FRYL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"32","FAM13A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"33","TSPOAP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"34","APOM",0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,19
"35","FTCD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"36","CP",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,19
