"","gene_name","sum","controls","cases","sm","null.effect","level","k.study","method","TE.random","seTE.random","statistic.random","pval.random","lower.random","upper.random","seTE.predict","level.predict","lower.predict","upper.predict","Q","df.Q","pval.Q","method.tau","tau2","se.tau2","lower.tau2","upper.tau2","tau","lower.tau","upper.tau","sign.upper.tau","H","lower.H","upper.H","I2","lower.I2","upper.I2","Rb","lower.Rb","upper.Rb","method.bias","zval.random","TE.fixed","seTE.fixed","lower.fixed","upper.fixed","statistic.fixed","pval.fixed","zval.fixed","random.adj.pval","fixed.adj.pval"
"IGHV3-64","IGHV3-64",778,379,399,"SMD",0,0.95,9,NA,0.189007986577336,0.134371898844099,1.40660352501699,0.159544987242183,-0.074356095691357,0.452372068846029,0.327926076151214,0.95,-0.586413965819486,0.964429938974158,18.5117276691951,8,0.0177007044715495,NA,0.0894797042209629,0.0800712102999637,0.00377277332757105,0.587593083224192,0.299131583456115,0.0614229055611264,0.766546204233112,NA,1.52117256044454,1.04890482873725,2.20607808759458,0.567841524953255,0.0910754569443091,0.794525355287622,0.550636659348723,0.132752346444678,0.968520972252769,NA,1.40660352501699,0.242412796257395,0.0854638048887801,0.0749068166936282,0.409918775821163,2.8364381456321,0.00456198140432362,2.8364381456321,0.420921296776333,0.0187041237577268
"IGHV6-1","IGHV6-1",665,214,451,"SMD",0,0.95,12,NA,-0.0944041416692861,0.0861367256644836,-1.09598015179966,0.273087460581259,-0.263229021717881,0.0744207383793087,0.086164563284911,0.95,-0.286390752788826,0.0975824694502542,14.5413021037881,11,0.204473704277788,NA,4.79645788092191e-06,0.0334037138261279,0,0.652086967811433,0.00219008170644885,0,0.807519020092674,NA,1.14975499776684,1,1.61141220661844,0.243534043823045,0,0.614888310046696,5.38719469660182e-05,0,0.426782967225433,NA,-1.09598015179966,-0.0944060049490928,0.0861334737335956,-0.263224511330267,0.0744125014320813,-1.09604316251175,0.273059886048621,-1.09604316251175,0.565257659698951,0.437445616801266
"IGHV3-73","IGHV3-73",504,171,333,"SMD",0,0.95,8,NA,0.0213438229367155,0.126437275411838,0.168809576663158,0.865946425347907,-0.226468683173859,0.26915632904729,0.233425548617228,0.95,-0.549827918334796,0.592515564208228,10.945288391143,7,0.1410233837233,NA,0.038501102133685,0.0636171606487431,0,0.783962042327451,0.196216977180072,0,0.885416310176999,NA,1.25044497172253,1,1.88076326382005,0.360455407857099,0,0.717296143211802,0.301046039054116,0,0.851662999777963,NA,0.168809576663158,-0.00828154559355446,0.098374886909701,-0.201092780919769,0.18452968973266,-0.0841835335592929,0.932910510027207,-0.0841835335592929,0.938521122812361,0.964506126615601
"IGHV3-72","IGHV3-72",1039,523,516,"SMD",0,0.95,14,NA,-0.456171283994374,0.209967640308755,-2.17257899037956,0.0298120185712377,-0.867700296918395,-0.0446422710703531,0.731252327619001,0.95,-2.04943323713468,1.13709066914593,66.4750758346375,13,3.55272434722782e-09,NA,0.49064355667138,0.239256094462545,0.209053669464278,1.77903261839068,0.700459532500901,0.45722387236919,1.3338038155556,NA,2.26129771854464,1.77012788520228,2.88875589986588,0.804437981652873,0.680853039482295,0.880166482055905,0.794938130641419,0.534883723828453,1,NA,-2.17257899037956,-0.171775646582312,0.0742525834273528,-0.31730803585898,-0.0262432573056453,-2.31339623018469,0.0207008641696186,-2.31339623018469,0.163136302722049,0.0618173443805343
"IGHV3-35","IGHV3-35",261,93,168,"SMD",0,0.95,5,NA,-0.516116541995276,0.159428327777137,-3.23729508545526,0.00120668565658393,-0.828590322553911,-0.203642761436641,0.220889140925853,0.95,-1.21908437241205,0.186851288421497,4.70923913350135,4,0.318452740747725,NA,0.023374620881147,0.08512556489436,0,1.19983399870559,0.152887608657952,0,1.09536934351185,NA,1.08503906997644,1,2.37930995691428,0.150605886300368,0,0.823356380124624,0.183926196354421,0,1,NA,-3.23729508545526,-0.491006632538542,0.134545323639693,-0.754710621160625,-0.227302643916458,-3.64937717087395,0.000262876897019706,-3.64937717087395,0.0151360584192308,0.00157001674322399
"IGHV3-38","IGHV3-38",426,128,298,"SMD",0,0.95,7,NA,-0.47080754118392,0.21372733824006,-2.20284192495349,0.0276058920504249,-0.889705426646047,-0.0519096557217924,0.48455314938834,0.95,-1.71639106540196,0.774775983034116,15.8980262952021,6,0.0143118937067662,NA,0.189112379470978,0.178904794222585,0.0105092385876155,1.79445035531067,0.434870531849398,0.102514577439579,1.33957095941599,NA,1.62778102003935,1.07895790627752,2.45576869476021,0.62259466121208,0.141004286785993,0.834184516226871,0.591427841216835,0.113745946818653,1,NA,-2.20284192495349,-0.263299755433734,0.109641789620076,-0.478193714289601,-0.0484057965778667,-2.40145437561812,0.0163300453080967,-2.40145437561812,0.155680811302954,0.051222015538278
"IGHV3-66","IGHV3-66",140,52,88,"SMD",0,0.95,2,NA,-0.333952675479368,0.820976059572665,-0.40677516912393,0.684173125676405,-1.9430361844114,1.27513083345266,NA,0.95,NA,NA,11.8373985331799,1,0.00058052872696134,NA,1.2374917221203,1.91156260208666,NA,NA,1.11242605242789,NA,NA,NA,3.4405520680815,1.83885900491246,6.43736061413987,0.915521979158087,0.704264719222394,0.975868499738679,0.918018262982072,0.697099150547497,1,NA,-0.40677516912393,0.130635477404003,0.187987797518777,-0.237813835265808,0.499084790073815,0.694914665357228,0.487108781482057,0.694914665357228,0.842501075059176,0.647511219880572
"IGKV2-24","IGKV2-24",609,228,381,"SMD",0,0.95,11,NA,-0.24885470759412,0.229424241111551,-1.08469229924628,0.278057959691788,-0.698517957353193,0.200808542164953,0.712296002138516,0.95,-1.86018021086429,1.36247079567605,60.7086834752733,10,2.66081662256199e-09,NA,0.454730112252901,0.256938502100681,0.163136122690099,1.68476245872176,0.67433679437867,0.403901129845039,1.29798399786814,NA,2.4639132183434,1.8896238881464,3.21273899298683,0.835278918475097,0.71994117723547,0.903116658025994,0.785384672495217,0.603280368763741,0.967488976226693,NA,-1.08469229924628,-0.0791498688558274,0.088586950192705,-0.252777100733773,0.094477363022118,-0.89347097607098,0.371605008301844,-0.89347097607098,0.565915889674111,0.541002684830996
"IGKV1-9","IGKV1-9",166,65,101,"SMD",0,0.95,3,NA,0.381919882975408,0.292059401971947,1.30767878177088,0.19098228308154,-0.190506026235915,0.954345792186731,0.479755884716145,0.95,-5.71395661161256,6.47779637756337,4.62707148333428,2,0.098910909141699,NA,0.14486701463956,0.26159949842298,0,9.53547544870011,0.380613996904422,0,3.08795651664659,NA,1.52103114421341,1,2.84867357699051,0.567761162280814,0,0.876770517280165,0.566116577602241,0,1,NA,1.30767878177088,0.235571797507966,0.168126521672615,-0.0939501298163531,0.565093724832284,1.40115786114152,0.161166872187968,1.40115786114152,0.460523402639094,0.288995443391427
"IGHV7-4-1","IGHV7-4-1",261,105,156,"SMD",0,0.95,5,NA,0.153365325493451,0.129273650801062,1.18636183431891,0.23547943704387,-0.100006374226639,0.40673702521354,0.129273650801062,0.95,-0.258041126868927,0.564771777855828,3.91632201827287,4,0.417448867780991,NA,0,0.0552251549635958,0,0.952945263081404,0,0,0.976189153331159,NA,1,1,2.19283344051929,0,0,0.792035738149886,0,0,1,NA,1.18636183431891,0.153365325493451,0.129273650801062,-0.100006374226639,0.40673702521354,1.18636183431891,0.23547943704387,1.18636183431891,0.518261012110743,0.390406891798416
