"","gene_name","sum","controls","cases","sm","null.effect","level","k.study","method","TE.random","seTE.random","statistic.random","pval.random","lower.random","upper.random","seTE.predict","level.predict","lower.predict","upper.predict","Q","df.Q","pval.Q","method.tau","tau2","se.tau2","lower.tau2","upper.tau2","tau","lower.tau","upper.tau","sign.upper.tau","H","lower.H","upper.H","I2","lower.I2","upper.I2","Rb","lower.Rb","upper.Rb","method.bias","zval.random","TE.fixed","seTE.fixed","lower.fixed","upper.fixed","statistic.fixed","pval.fixed","zval.fixed","random.adj.pval","fixed.adj.pval"
"IGHV3-64","IGHV3-64",273,79,194,"SMD",0,0.95,3,NA,0.457259400863493,0.151526452268646,3.01768697159756,0.00254711859725754,0.160273011711819,0.754245790015168,0.182920774526682,0.95,-1.86696941077218,2.78148821249917,2.41907297552144,2,0.29833552955646,NA,0.010499744016319,0.0695153008606941,0,3.0790692383433,0.102468258579518,0,1.75472768210435,NA,1.09978929243775,1,3.40997289711147,0.173237012592028,0,0.914000060516179,0.152433543765464,0,1,NA,3.01768697159756,0.463037757028421,0.138625014012283,0.191337722207986,0.734737791848857,3.34021792767784,0.000837126715416065,3.34021792767784,0.0234586478216559,0.00383032047316534
"IGHV6-1","IGHV6-1",329,92,237,"SMD",0,0.95,5,NA,-0.145304746322504,0.125965870732324,-1.15352472441742,0.248695075369962,-0.392193316239087,0.101583823594079,0.125965870732324,0.95,-0.546184366226433,0.255574873581425,1.65891785524659,4,0.79816600850973,NA,0,0.0534751972018486,0,0.31414302062291,0,0,0.560484630139766,NA,1,1,2.19283344051929,0,0,0.792035738149886,0,0,1,NA,-1.15352472441742,-0.145304746322504,0.125965870732324,-0.392193316239087,0.101583823594079,-1.15352472441742,0.248695075369962,-1.15352472441742,0.453136714618814,0.368840012377717
"IGHV3-73","IGHV3-73",319,87,232,"SMD",0,0.95,5,NA,0.0479060124250394,0.16027981483461,0.298889866290854,0.765024079410521,-0.266236652099545,0.362048676949624,0.24673094665143,0.95,-0.737301977144956,0.833114001995035,4.49265123544985,4,0.343419742766465,NA,0.035186540992094,0.0884148493218839,0,0.507803786558587,0.187580758587052,0,0.712603526905802,NA,1.05979375770122,1,2.32395119194082,0.109657128860242,0,0.814840502009909,0.273935872171765,0,1,NA,0.298889866290854,0.0402813985516662,0.128677356939714,-0.211921586675978,0.29248438377931,0.313041855301227,0.754248863111214,0.313041855301227,0.859499944638929,0.821415550191191
"IGHV3-72","IGHV3-72",358,102,256,"SMD",0,0.95,6,NA,-0.926327846208653,0.376299402787553,-2.46167769426843,0.0138288876183707,-1.66386112307619,-0.188794569341118,0.918450031056958,0.95,-3.4763539393055,1.6236982468882,25.7613802031341,5,9.92645211665921e-05,NA,0.701949219010257,0.535535487065563,0.175656802133685,5.73428973809459,0.837824097893023,0.419114306763304,2.39463770497639,NA,2.26986255985397,1.54522642509929,3.33431784296322,0.805911020272442,0.581191249569436,0.910053139976287,0.826204177710515,0.359565872058731,1,NA,-2.46167769426843,-0.499248252042397,0.123302815500075,-0.74091732961493,-0.257579174469863,-4.04896068283285,5.14455856838195e-05,-4.04896068283285,0.0753018260095222,0.000365508637334565
"IGHV3-35","IGHV3-35",153,44,109,"SMD",0,0.95,3,NA,-0.58550342843356,0.329041006536216,-1.77942389186412,0.0751702923457859,-1.23041195068135,0.0594050938142322,0.536433165031297,0.95,-7.4015330505954,6.23052619372828,4.41692062574886,2,0.109869683288636,NA,0.179492556563128,0.33568021036063,0,12.7254065648829,0.423665618811732,0,3.56726878225946,NA,1.48608893168425,1,2.77941707753665,0.54719584763629,0,0.870552831036421,0.552618142381353,0,1,NA,-1.77942389186412,-0.42805025123286,0.182743965561078,-0.7862218421246,-0.0698786603411196,-2.34234958138628,0.0191627566008732,-2.34234958138628,0.228885869754924,0.0496368625842063
"IGHV3-38","IGHV3-38",287,71,216,"SMD",0,0.95,4,NA,-0.5143441192112,0.252133965815604,-2.03996362627065,0.0413539486963798,-1.00851761148904,-0.0201706269333626,0.457074100586871,0.95,-2.48097524579908,1.45228700737668,6.99327224544959,3,0.0721125183369392,NA,0.145345196709392,0.206826050200491,0,5.78659386709028,0.381241651330744,0,2.40553400871621,NA,1.52679099698786,1,2.65038208746227,0.571016271824388,0,0.857641624142543,0.571581261887512,0,1,NA,-2.03996362627065,-0.365546011098221,0.139249497207599,-0.638470010490427,-0.092622011706016,-2.62511548284623,0.00866195832201824,-2.62511548284623,0.146333741920377,0.0257443064072733
"IGKV2-24","IGKV2-24",155,59,96,"SMD",0,0.95,4,NA,-0.79738650847723,0.36689299214299,-2.17334897518692,0.0297540620388485,-1.51648355925763,-0.0782894576968318,0.720007523446902,0.95,-3.89532884467619,2.30055582772173,9.98418825243468,3,0.0187010203892702,NA,0.383800366136505,0.439599556354453,0.0115313988521018,7.74719743644289,0.619516235571357,0.107384351057786,2.78337878062668,NA,1.82429787885958,1.07616003996141,3.09253515019096,0.699524896351144,0.136531942010518,0.895438763394429,0.712798144046492,0.14438069365504,1,NA,-2.17334897518692,-0.604101230033018,0.176178094344381,-0.949403949812904,-0.258798510253132,-3.42892362572706,0.000605980025011421,-3.42892362572706,0.126116649323756,0.002974086175385
"IGHV7-4-1","IGHV7-4-1",118,39,79,"SMD",0,0.95,2,NA,0.191540443841812,0.215777233061209,0.887676800394777,0.374714628674329,-0.231375161641863,0.614456049325488,NA,0.95,NA,NA,1.06570585930061,1,0.301917408854337,NA,0.00983529392474673,0.22559818184153,NA,NA,0.0991730503954917,NA,NA,NA,1.03233030532897,NA,NA,0.0616547790623289,NA,NA,0.105619986580913,0,1,NA,0.887676800394777,0.20351283534217,0.198647060817318,-0.185828249494511,0.592853920178851,1.02449457094825,0.305601733823775,1.02449457094825,0.565864601196456,0.422966407110457
"CD5L","CD5L",486,146,340,"SMD",0,0.95,8,NA,0.0283896553092909,0.178007061132722,0.159486118857519,0.873285893888685,-0.320497773504664,0.377277084123246,0.428579736998895,0.95,-1.0203071823139,1.07708649293248,18.6987105979674,7,0.00918542824592519,NA,0.151994077152933,0.133285848529537,0.0178614566314164,1.52306677871358,0.38986417782727,0.133646760646925,1.23412591687946,NA,1.63439419086651,1.11362951979297,2.39868315598783,0.625642636516289,0.193659393767392,0.826198216347736,0.599600819332061,0.196982739402549,1,NA,0.159486118857519,0.0247883171429459,0.102018493432206,-0.175164255741214,0.224740890027106,0.242978663073655,0.808021926608805,0.242978663073655,0.934679019857904,0.864826911406268
"FCN3","FCN3",443,131,312,"SMD",0,0.95,7,NA,0.38826142670945,0.107830717269924,3.60065699774162,0.000317414094101394,0.176917104433278,0.599605748985622,0.107830717269924,0.95,0.111073743571748,0.665449109847152,5.76117911323465,6,0.450467730573841,NA,0,0.0441732524820089,0,0.331453001940337,0,0,0.575719551466108,NA,1,1,1.85085778575608,0,0,0.70808668849877,0,0,1,NA,3.60065699774162,0.38826142670945,0.107830717269924,0.176917104433278,0.599605748985622,3.60065699774162,0.000317414094101394,3.60065699774162,0.005919772854991,0.00170353175683194
