"","gene_name","sum","controls","cases","sm","null.effect","level","k.study","method","TE.random","seTE.random","statistic.random","pval.random","lower.random","upper.random","seTE.predict","level.predict","lower.predict","upper.predict","Q","df.Q","pval.Q","method.tau","tau2","se.tau2","lower.tau2","upper.tau2","tau","lower.tau","upper.tau","sign.upper.tau","H","lower.H","upper.H","I2","lower.I2","upper.I2","Rb","lower.Rb","upper.Rb","method.bias","zval.random","TE.fixed","seTE.fixed","lower.fixed","upper.fixed","statistic.fixed","pval.fixed","zval.fixed","random.adj.pval","fixed.adj.pval"
"IGHV3-64","IGHV3-64",377,246,131,"SMD",0,0.95,4,NA,0.204482212201591,0.214651220295976,0.952625435437252,0.340779885110565,-0.216226448816094,0.625190873219277,0.376640593679844,0.95,-1.41607146632945,1.82503589073263,6.36063826805281,3,0.0953236220569665,NA,0.0957829904329541,0.150332085562684,0,3.53111312304509,0.309488271882723,0,1.87912562726527,NA,1.45609503673957,1,2.53257913760317,0.528349220066811,0,0.844090007737005,0.519710722426795,0,1,NA,0.952625435437252,0.290941960200789,0.136061008278182,0.0242672842753472,0.557616636126232,2.13831988960385,0.0324907893670561,2.13831988960385,0.65454912438039,0.0910757439445291
"IGHV6-1","IGHV6-1",194,77,117,"SMD",0,0.95,4,NA,-0.213031917749792,0.150108626217532,-1.4191850469744,0.155845074216351,-0.50723941890494,0.0811755834053562,0.150108626217532,0.95,-0.858897208103599,0.432833372604015,0.181206322684162,3,0.980564652504272,NA,0,0.0731415606526871,0,0,0,0,0,NA,1,1,2.55553430854916,0,0,0.846878361262294,0,0,1,NA,-1.4191850469744,-0.213031917749792,0.150108626217532,-0.50723941890494,0.0811755834053562,-1.4191850469744,0.155845074216351,-1.4191850469744,0.481103202989158,0.296800491660439
"IGHV3-73","IGHV3-73",164,81,83,"SMD",0,0.95,2,NA,-0.143504221669864,0.199762952313557,-0.718372551105537,0.472527606799832,-0.535032413649828,0.2480239703101,NA,0.95,NA,NA,1.60143629600405,1,0.205699785375361,NA,0.03020324616881,0.113733565380239,NA,NA,0.173790811520086,NA,NA,NA,1.26547868255615,NA,NA,0.375560549929316,NA,NA,0.378437121927558,0,1,NA,-0.718372551105537,-0.154019050874495,0.156906930055729,-0.461550982708469,0.153512880959479,-0.98159495453637,0.326299434131785,-0.98159495453637,0.748864422790546,0.50032579900207
"IGHV3-72","IGHV3-72",525,364,161,"SMD",0,0.95,6,NA,-0.120911777245461,0.20552966278576,-0.5882935611659,0.556335266697161,-0.523742514060213,0.28191895956929,0.430703805015664,0.95,-1.31673724847127,1.07491369398034,12.2457898262937,5,0.0315707688103482,NA,0.143263325370143,0.155085293761681,0,1.62909727135455,0.378501420565555,0,1.27636094869537,NA,1.56497858300321,1,2.45539489835623,0.591696405791304,0,0.834134026629903,0.565242433996285,0.0375196619223712,1,NA,-0.5882935611659,0.019579789048728,0.110727762301185,-0.197442637150307,0.236602215247763,0.176828183301221,0.859643350808194,0.176828183301221,0.810963045691999,0.906110558959988
"IGHV3-35","IGHV3-35",108,49,59,"SMD",0,0.95,2,NA,-0.565529019895871,0.198822964979299,-2.84438480210148,0.00444972729626031,-0.955214870554765,-0.175843169236978,NA,0.95,NA,NA,0.0331457792020745,1,0.855535778222377,NA,0,0.291732585528099,NA,NA,0,NA,NA,NA,1,NA,NA,0,NA,NA,0,0,1,NA,-2.84438480210148,-0.565529019895871,0.198822964979299,-0.955214870554765,-0.175843169236978,-2.84438480210148,0.00444972729626031,-2.84438480210148,0.0614062366883923,0.018651427031521
"IGHV3-38","IGHV3-38",139,57,82,"SMD",0,0.95,3,NA,-0.456443671659995,0.439103350807719,-1.03949029498495,0.298576769323995,-1.31707042473398,0.404183081413991,0.768305678442782,0.95,-10.2186929219196,9.30580557859959,7.4860874322415,2,0.0236819123045943,NA,0.397481862836857,0.587271566739922,0.00167623816439427,23.2498527745788,0.630461626775854,0.040941887650599,4.82181011390731,NA,1.93469473460822,1.05629580998022,3.54355634165666,0.732837744936522,0.103750583655906,0.92036182202299,0.687167418116804,0.186741262475478,1,NA,-1.03949029498495,-0.0965039333957771,0.177853539821185,-0.445090465968259,0.252082599176705,-0.542603388680388,0.587402905309533,-0.542603388680388,0.628693338224468,0.737955750788027
"IGHV3-66","IGHV3-66",140,52,88,"SMD",0,0.95,2,NA,-0.333952675479368,0.820976059572665,-0.40677516912393,0.684173125676405,-1.9430361844114,1.27513083345266,NA,0.95,NA,NA,11.8373985331799,1,0.00058052872696134,NA,1.2374917221203,1.91156260208666,NA,NA,1.11242605242789,NA,NA,NA,3.4405520680815,1.83885900491246,6.43736061413987,0.915521979158087,0.704264719222394,0.975868499738679,0.918018262982072,0.697099150547497,1,NA,-0.40677516912393,0.130635477404003,0.187987797518777,-0.237813835265808,0.499084790073815,0.694914665357228,0.487108781482057,0.694914665357228,0.879231079844893,0.65117224588585
"IGKV2-24","IGKV2-24",255,104,151,"SMD",0,0.95,5,NA,0.0425077880932224,0.133048762406405,0.319490293065484,0.74935475102471,-0.218262994410959,0.303278570597404,0.133048762406405,0.95,-0.380912754249612,0.465928330436057,2.88230250837558,4,0.577711020035547,NA,0,0.0599494668177332,0,0.399643526653873,0,0,0.632173652293318,NA,1,1,2.19283344051929,0,0,0.792035738149886,0,0,1,NA,0.319490293065484,0.0425077880932224,0.133048762406405,-0.218262994410959,0.303278570597404,0.319490293065484,0.74935475102471,0.319490293065484,0.917013931335832,0.853009151864423
"IGKV1-9","IGKV1-9",140,52,88,"SMD",0,0.95,2,NA,0.429045510971578,0.487369231095895,0.880329498862349,0.378680836691693,-0.526180629149355,1.38427165109251,NA,0.95,NA,NA,4.36343092007356,1,0.0367182838176318,NA,0.37363755615407,0.685505767572974,NA,NA,0.611258992697916,NA,NA,NA,2.08888269658053,1,4.3730436677854,0.770822543471562,0,0.947708346853012,0.78651011457271,0.22708190528209,1,NA,0.880329498862349,0.195193413404188,0.18560915218359,-0.168593840076662,0.558980666885037,1.05163679219394,0.292966220798652,1.05163679219394,0.685307499512466,0.462659683197871
"IGHV7-4-1","IGHV7-4-1",143,66,77,"SMD",0,0.95,3,NA,0.0412002163919382,0.232910095903194,0.176893218098465,0.8595922657903,-0.415295183214093,0.497695615997969,0.330425628697179,0.95,-4.15725547191365,4.23965590469753,2.74007173160296,2,0.254097845966468,NA,0.0549339833262906,0.17360372183909,0,6.94843479813462,0.234379997709469,0,2.63598839112289,NA,1.17048531208276,1,3.62917080400217,0.270092101264085,0,0.9240749331113,0.337553960739635,0,1,NA,0.176893218098465,0.116526352893157,0.170259444574476,-0.21717602650061,0.450228732286924,0.684404634259132,0.493719690469569,0.684404634259132,0.941458195865567,0.65512805081539
"CD5L","CD5L",558,356,202,"SMD",0,0.95,7,NA,-0.584074760756317,0.156795145061544,-3.72508192474366,0.000195251800674794,-0.891387598027676,-0.276761923484958,0.304588271645645,0.95,-1.36704383919647,0.198894317683837,10.7880219754768,6,0.0951529994772358,NA,0.0681892977092104,0.0948074454931498,0,0.907961016486697,0.26113080574534,0,0.952869884342399,NA,1.34089658906997,1,2.06710052814717,0.44382760679955,0,0.765967159311466,0.396235109810827,0,0.942221778384302,NA,-3.72508192474366,-0.566763459934427,0.108300489520335,-0.779028518902341,-0.354498400966512,-5.23324929041994,1.66555865281884e-07,-5.23324929041994,0.00973004806696057,3.93159503046974e-06
"FCMR","FCMR",115,46,69,"SMD",0,0.95,2,NA,-0.046685051500045,0.268906036601164,-0.173611020749554,0.862171170251054,-0.573731198463736,0.480361095463646,NA,0.95,NA,NA,1.45365844879815,1,0.227941829460017,NA,0.0552023893755438,0.250153306242374,NA,NA,0.23495188736323,NA,NA,NA,1.20567758907518,NA,NA,0.312080495368925,NA,NA,0.381704057972987,0,1,NA,-0.173611020749554,0.0109350956306784,0.193367012478783,-0.368057284625844,0.3899274758872,0.0565509881468448,0.954902877812894,0.0565509881468448,0.942111732127359,0.969151554997467
"FCN3","FCN3",525,363,162,"SMD",0,0.95,6,NA,0.409036522485461,0.217844435976655,1.87765421068314,0.0604284845183096,-0.0179307262612245,0.836003771232147,0.4725685119029,0.95,-0.90302400925795,1.72109705422887,17.8844032432764,5,0.00309482351194833,NA,0.175864800156134,0.176591566746252,0.0190558312632823,1.07399775086932,0.419362373319465,0.138042860240152,1.03633862751,NA,1.89126429899559,1.24386582688567,2.87561614069814,0.720426791322783,0.353672064943009,0.879068852248847,0.617639024714656,0.293693518178099,0.941584531251212,NA,1.87765421068314,0.34090403072203,0.111471023206417,0.122424839917625,0.559383221526435,3.05823003069381,0.00222648594137991,3.05823003069381,0.301135281182909,0.010973394996801
"ATRN","ATRN",502,356,146,"SMD",0,0.95,6,NA,-1.07362807870636,0.492019016931699,-2.18208654901524,0.0291031457387766,-2.03796763160129,-0.109288525811428,1.20570511158686,0.95,-4.42120213408365,2.27394597667093,39.9282039960006,5,1.54398759785024e-07,NA,1.21164210308424,0.912614258371888,0.323644927232501,9.40078787842436,1.10074615742425,0.568897993697025,3.0660704294625,NA,2.82588761262725,2.00538351926366,3.98210153942638,0.874775234055085,0.7513404650764,0.936936896424355,0.834179144775715,0.379292575199621,1,NA,-2.18208654901524,-0.600351790495991,0.118144630954835,-0.831911012134245,-0.368792568857738,-5.08149871597208,3.74468545041588e-07,-5.08149871597208,0.19481732632599,7.63405192959783e-06
"APOM","APOM",567,368,199,"SMD",0,0.95,7,NA,-0.496113153079523,0.346055446788102,-1.4336233042542,0.151679789481311,-1.17436936543812,0.182143059279074,0.901153189196735,0.95,-2.81260117235438,1.82037486619534,32.5119490786233,6,1.30144254285436e-05,NA,0.692322698147734,0.481893417831616,0.196817213376518,4.59899353308029,0.832059311676598,0.443640860805808,2.14452641230652,NA,2.32780114695619,1.64226479363478,3.29950334487631,0.815452466861022,0.629222275700719,0.908144988882364,0.825884188884961,0.390668758630448,1,NA,-1.4336233042542,-0.440975470658269,0.109583518975543,-0.655755221149495,-0.226195720167042,-4.02410394173129,5.719265496962e-05,-4.02410394173129,0.481103202989158,0.000582975130769877
"CP","CP",529,366,163,"SMD",0,0.95,6,NA,-0.0244863888291802,0.345946228443883,-0.0707809099099696,0.943572125397043,-0.702528537166656,0.653555759508296,0.844031302953842,0.95,-2.36789296854909,2.31892019089073,44.9930758671995,5,1.45558747405509e-08,NA,0.592710047391414,0.452438277715827,0.166341898052285,3.76775444730697,0.769876644269336,0.407850337810679,1.94107043852277,NA,2.99976918669418,2.1523947555039,4.18074572539702,0.888871789633634,0.784147963902915,0.942787293728947,0.825417815832904,0.650765462343596,1,NA,-0.0707809099099696,-0.17708396863478,0.113292308178279,-0.399132812389621,0.0449648751200601,-1.56307141660594,0.118035797848397,-1.56307141660594,0.983774855209281,0.239479547224923
"F2","F2",529,366,163,"SMD",0,0.95,6,NA,-0.104171719224851,0.281863462582976,-0.369582202213191,0.711693814178857,-0.656613954445237,0.448270515995534,0.662418969266062,0.95,-1.94334162403378,1.73499818558407,32.170236451238,5,5.49743802898314e-06,NA,0.359351879304248,0.29918570399178,0.0839786114310835,2.15503672630903,0.599459656110607,0.289790633787711,1.46800433456752,NA,2.53654238881348,1.7638139378159,3.64780385975108,0.844576834006839,0.678564040883682,0.924848605632837,0.753860701915028,0.54742764318378,0.960293760646275,NA,-0.369582202213191,-0.169789585618951,0.112172129268034,-0.38964291905347,0.0500637478155675,-1.51365215875719,0.130114084763326,-1.51365215875719,0.895691672413281,0.258785663043688
"HP","HP",575,373,202,"SMD",0,0.95,7,NA,0.633950216484552,0.259206247006408,2.4457366433336,0.0144556548634776,0.125915307784199,1.1419851251849,0.637322432954038,0.95,-1.00433925311064,2.27223968607974,20.9676717833363,6,0.00185931340815324,NA,0.338992005059308,0.268716270697158,0.0632959958933513,2.63445672259276,0.582230199370754,0.251586954934773,1.62310095884167,NA,1.8693881255345,1.26804151511305,2.75591289578387,0.713845196452933,0.378082102291774,0.868335399423611,0.720776282636325,0.227203268595587,1,NA,2.4457366433336,0.604691924127358,0.108740549480408,0.391564363486663,0.817819484768053,5.56086875610562,2.68435015359178e-08,5.56086875610562,0.128383390223162,8.30297271645457e-07
"F9","F9",523,360,163,"SMD",0,0.95,6,NA,-0.211373226520607,0.167388357905502,-1.26277137290478,0.206671355510966,-0.539448379446691,0.116701926405477,0.318393372194386,0.95,-1.09537494627713,0.672628493235915,9.46494908476625,5,0.0918952913259819,NA,0.0733554770950124,0.101981841804833,0,1.14990844165425,0.270842162698152,0,1.07233783932782,NA,1.37585966470176,1,2.18591327564055,0.471735140335044,0,0.790716907231099,0.43634579773727,0,1,NA,-1.26277137290478,-0.208416832026201,0.110591063409037,-0.425171333319898,0.00833766926749624,-1.88457209472109,0.0594876327610256,-1.88457209472109,0.538907575271327,0.145396203233351
"F10","F10",523,362,161,"SMD",0,0.95,6,NA,-0.08815917298567,0.340955732834941,-0.258564864865752,0.795970995282894,-0.756420129664615,0.580101783693275,0.830258939648888,0.95,-2.39332754202053,2.21700919604919,51.3527272825647,5,7.32279375608863e-10,NA,0.573079095113884,0.439441901992131,0.164138204225629,3.38027070841869,0.757019877621376,0.40513973419751,1.83855125259501,NA,3.20476917367116,2.32725284842259,4.41316269672817,0.90263418781075,0.815365498174603,0.948654767719213,0.821613037179555,0.691053104280925,0.952172970078185,NA,-0.258564864865752,0.0105385154253417,0.114067334512849,-0.213029352032325,0.234106382883008,0.0923885481356158,0.926389337777475,0.0923885481356158,0.933609623606215,0.951857085895069
"PLG","PLG",529,366,163,"SMD",0,0.95,6,NA,-0.191555255396034,0.220674004870371,-0.868046308891518,0.385368981837434,-0.624068357266178,0.240957846474109,0.482100039833788,0.95,-1.53007955120822,1.14696904041615,15.0155188392696,5,0.0102962337311801,NA,0.183723431982212,0.181460876499096,0.0128599774715966,1.52930793131245,0.428629714301531,0.11340184068875,1.23665190385672,NA,1.73294655654868,1.12221418262936,2.67605223168506,0.667011173338636,0.205948822865985,0.860359682254336,0.628797701474438,0.17017461763184,1,NA,-0.868046308891518,-0.123089940400948,0.110437046082182,-0.339542573281015,0.0933626924791186,-1.11457110424115,0.265034258660542,-1.11457110424115,0.689457824076917,0.436212348657809
"F12","F12",526,364,162,"SMD",0,0.95,6,NA,-0.109256584506532,0.24153629897819,-0.452340227819744,0.651023899867044,-0.582659031462883,0.364145862449819,0.541244041153135,0.95,-1.61199095328363,1.39347778427056,14.7163228877341,5,0.0116457730107316,NA,0.234605328359695,0.218006333975774,0.0181789157661655,2.26449143382472,0.4843607419679,0.134829209617818,1.50482272504927,NA,1.7155945259725,1.10909218443687,2.65376009212547,0.660241213913058,0.187048362508912,0.85800381301952,0.670226825743426,0.10321686193535,1,NA,-0.452340227819744,0.0291184381574741,0.11087825598632,-0.188198950244325,0.246435826559274,0.262616307394542,0.792846329647674,0.262616307394542,0.861310380797549,0.876921279523999
