"","gene_name","sum","controls","cases","sm","null.effect","level","k.study","method","TE.random","seTE.random","statistic.random","pval.random","lower.random","upper.random","seTE.predict","level.predict","lower.predict","upper.predict","Q","df.Q","pval.Q","method.tau","tau2","se.tau2","lower.tau2","upper.tau2","tau","lower.tau","upper.tau","sign.upper.tau","H","lower.H","upper.H","I2","lower.I2","upper.I2","Rb","lower.Rb","upper.Rb","method.bias","zval.random","TE.fixed","seTE.fixed","lower.fixed","upper.fixed","statistic.fixed","pval.fixed","zval.fixed","random.adj.pval","fixed.adj.pval","order"
"PSMA2","PSMA2",41,13,28,"SMD",0,0.95,2,NA,2.09046020050104,0.42932180619007,4.86921505118133,1.12042421801468e-06,1.24900492259082,2.93191547841126,NA,0.95,NA,NA,0.107883096948925,1,0.742567191647084,NA,0,0.52198230603515,NA,NA,0,NA,NA,NA,1,NA,NA,0,NA,NA,0,0,1,NA,4.86921505118133,2.09046020050104,0.42932180619007,1.24900492259082,2.93191547841126,4.86921505118133,1.12042421801468e-06,4.86921505118133,7.72583426694668e-05,1.21405967052019e-05,338
"TTC3","TTC3",73,14,59,"SMD",0,0.95,2,NA,1.98385542872119,0.344959945068135,5.75097328569365,8.87311365168756e-09,1.30774636027873,2.65996449716365,NA,0.95,NA,NA,0.00222183914302943,1,0.962404525540592,NA,0,0.341093094596872,NA,NA,0,NA,NA,NA,1,NA,NA,0,NA,NA,0,0,1,NA,5.75097328569365,1.98385542872119,0.344959945068135,1.30774636027873,2.65996449716365,5.75097328569365,8.87311365168756e-09,5.75097328569365,2.24341890160167e-06,1.33272409996139e-07,337
"GSS","GSS",53,12,41,"SMD",0,0.95,2,NA,1.96118192714749,0.383622750351879,5.11226700019378,3.18315482105861e-07,1.20929515280761,2.71306870148738,NA,0.95,NA,NA,0.0641548783698901,1,0.800045565605482,NA,0,0.422633980364686,NA,NA,0,NA,NA,NA,1,NA,NA,0,NA,NA,0,0,1,NA,5.11226700019378,1.96118192714749,0.383622750351879,1.20929515280761,2.71306870148738,5.11226700019378,3.18315482105861e-07,5.11226700019378,3.44917561681851e-05,3.99078170540984e-06,336
"NAP1L4","NAP1L4",47,12,35,"SMD",0,0.95,2,NA,1.91962697978562,0.393601617590003,4.8770810230389,1.0766721863577e-06,1.14818198505251,2.69107197451873,NA,0.95,NA,NA,0.492343793941177,1,0.482883650424851,NA,0,0.464830128603129,NA,NA,0,NA,NA,NA,1,NA,NA,0,NA,NA,0,0,1,NA,4.8770810230389,1.91962697978562,0.393601617590003,1.14818198505251,2.69107197451873,4.8770810230389,1.0766721863577e-06,4.8770810230389,7.72583426694668e-05,1.1800669946366e-05,335
"PTPA","PTPA",43,15,28,"SMD",0,0.95,2,NA,1.83028033536599,0.391103432974194,4.67978591097347,2.87174630395066e-06,1.06373169250659,2.59682897822538,NA,0.95,NA,NA,0.164810139892632,1,0.68476600174206,NA,0,0.455402241507216,NA,NA,0,NA,NA,NA,1,NA,NA,0,NA,NA,0,0,1,NA,4.67978591097347,1.83028033536599,0.391103432974194,1.06373169250659,2.59682897822538,4.67978591097347,2.87174630395066e-06,4.67978591097347,0.000161349597892339,2.98386242677613e-05,334
"ANXA7","ANXA7",29,11,18,"SMD",0,0.95,2,NA,1.73369936262409,0.469104852452279,3.69576088066677,0.000219229236223862,0.814270746844646,2.65312797840353,NA,0.95,NA,NA,0.121556170947442,1,0.727352787247806,NA,0,0.643853032318033,NA,NA,0,NA,NA,NA,1,NA,NA,0,NA,NA,0,0,1,NA,3.69576088066677,1.73369936262409,0.469104852452279,0.814270746844646,2.65312797840353,3.69576088066677,0.000219229236223862,3.69576088066677,0.00410581174508146,0.00135743163816979,333
"LMNB1","LMNB1",92,36,56,"SMD",0,0.95,3,NA,1.72387310096183,0.690878471624884,2.49519006853324,0.0125889677319638,0.369776178882983,3.07797002304068,1.29102542970982,0.95,-14.680160328539,18.1279065304627,12.9962670618806,2,0.00150624793611505,NA,1.18943359760269,1.43467670237424,0.155683588688351,55.9282299831994,1.0906115704515,0.394567597108976,7.47851790017243,NA,2.54914368581693,1.47834063946904,4.39555901897832,0.846109656682402,0.542436926616397,0.948242681405032,0.830645328970224,0.518330312076614,1,NA,2.49519006853324,1.25701546263526,0.247051690508844,0.772803046918193,1.74122787835233,5.08806663110149,3.61732286731042e-07,5.08806663110149,0.0865627481553806,4.49793343418845e-06,332
"NEXN","NEXN",47,12,35,"SMD",0,0.95,2,NA,1.72231641452964,0.584156752314995,2.9483805634432,0.00319443549880825,0.577390218666361,2.86724261039291,NA,0.95,NA,NA,2.15989512308341,1,0.141654358408165,NA,0.374309162424418,0.985733230023351,NA,NA,0.611808109152223,NA,NA,NA,1.46965816538521,1,2.95886199359681,0.537014557182562,0,0.885777784091372,0.548455833543866,0,1,NA,2.9483805634432,1.62341731617511,0.381643608374946,0.875409588830305,2.37142504351991,4.25375214087217,2.10217983619114e-05,4.25375214087217,0.0330022590872674,0.000174262667295189,331
"PSME2","PSME2",43,15,28,"SMD",0,0.95,2,NA,1.72212881382016,0.50177466890486,3.43207603041972,0.00059897961020015,0.738668534412128,2.7055890932282,NA,0.95,NA,NA,1.70342861324193,1,0.191840199017807,NA,0.207971248375877,0.712233184463626,NA,NA,0.456038647897168,NA,NA,NA,1.30515463192755,NA,NA,0.412948689351401,NA,NA,0.41300550170585,0,1,NA,3.43207603041972,1.72626883069225,0.384405811830843,0.972847284055914,2.47969037732858,4.49074591892978,7.0974176373098e-06,4.49074591892978,0.00858148541098106,6.79294551807286e-05,330
"PSMA7","PSMA7",37,12,25,"SMD",0,0.95,2,NA,1.62440398676432,0.68684339261761,2.3650281916138,0.0180286984948205,0.278215674214497,2.97059229931414,NA,0.95,NA,NA,2.56476216916746,1,0.109268989418478,NA,0.579450885784858,1.34316816633816,NA,NA,0.761216714073501,NA,NA,NA,1.60148748642238,1,3.32236024115556,0.610100300128566,0,0.909404514194061,0.614145375516866,0,1,NA,2.3650281916138,1.71191621725022,0.420873043882439,0.887020209176891,2.53681222532354,4.06753590455273,4.75128895483228e-05,4.06753590455273,0.112130235235178,0.000356817096261414,329
"DUSP3","DUSP3",47,12,35,"SMD",0,0.95,2,NA,1.53163543975001,0.372724838245308,4.10929265396036,3.96872870834069e-05,0.801108180645687,2.26216269885433,NA,0.95,NA,NA,0.116473663452262,1,0.732891010633057,NA,0,0.40808731328322,NA,NA,0,NA,NA,NA,1,NA,NA,0,NA,NA,0,0,1,NA,4.10929265396036,1.53163543975001,0.372724838245308,0.801108180645687,2.26216269885433,4.10929265396036,3.96872870834069e-05,4.10929265396036,0.00113595499067034,0.000307171502579226,328
