"","gene_name","sum","controls","cases","sm","null.effect","level","k.study","method","TE.random","seTE.random","statistic.random","pval.random","lower.random","upper.random","seTE.predict","level.predict","lower.predict","upper.predict","Q","df.Q","pval.Q","method.tau","tau2","se.tau2","lower.tau2","upper.tau2","tau","lower.tau","upper.tau","sign.upper.tau","H","lower.H","upper.H","I2","lower.I2","upper.I2","Rb","lower.Rb","upper.Rb","method.bias","zval.random","TE.fixed","seTE.fixed","lower.fixed","upper.fixed","statistic.fixed","pval.fixed","zval.fixed","random.adj.pval","fixed.adj.pval","order"
"PSMA2","PSMA2",41,13,28,"SMD",0,0.95,2,NA,2.09046020050104,0.42932180619007,4.86921505118133,1.12042421801468e-06,1.24900492259082,2.93191547841126,NA,0.95,NA,NA,0.107883096948925,1,0.742567191647084,NA,0,0.52198230603515,NA,NA,0,NA,NA,NA,1,NA,NA,0,NA,NA,0,0,1,NA,4.86921505118133,2.09046020050104,0.42932180619007,1.24900492259082,2.93191547841126,4.86921505118133,1.12042421801468e-06,4.86921505118133,5.57224311092634e-05,1.24751711438649e-05,217
"GSTO1","GSTO1",98,34,64,"SMD",0,0.95,3,NA,1.62902043788249,0.533322632526764,3.05447460604578,0.00225455100312488,0.583727285989941,2.67431358977503,0.957038240872037,0.95,-10.5313033909861,13.7893442667511,7.40460715661269,2,0.0246666394381284,NA,0.631489164126166,0.856132519599661,0.00085142057595022,36.113154327201,0.79466292484686,0.0291791119801515,6.00942212922349,NA,1.92413709966477,1.04951257771542,3.52764098012576,0.729897892258349,0.0921278274130881,0.919641607255565,0.740056060900273,0.178401240692703,1,NA,3.05447460604578,1.44642670833422,0.249930649718155,0.95657163625394,1.9362817804145,5.78731224027683,7.15215600846867e-09,5.78731224027683,0.0221301980043574,1.24081590286456e-07,216
"WARS1","WARS1",42,13,29,"SMD",0,0.95,2,NA,1.5802463144214,0.469759854822396,3.36394499912908,0.000768368542408006,0.659533917586739,2.50095871125606,NA,0.95,NA,NA,1.40310504625479,1,0.236204375806753,NA,0.127068862052237,0.625498237344597,NA,NA,0.356467196319994,NA,NA,NA,1.18452735141692,NA,NA,0.28729498716491,NA,NA,0.287910395191574,0,1,NA,3.36394499912908,1.57148212634897,0.396168325145573,0.795006477248097,2.34795777544985,3.96670310725001,7.28736763638357e-05,3.96670310725001,0.0100561918006381,0.000483614325654012,215
"TYMP","TYMP",129,42,87,"SMD",0,0.95,3,NA,1.53577420577761,0.636314873817367,2.41354440854766,0.0157982025583013,0.288619970268426,2.7829284412868,1.12770611590257,0.95,-12.7930905851168,15.864638996672,8.16351230126519,2,0.0168777996528103,NA,0.866824465202853,1.23550615573258,0.024339113373561,47.0840936736668,0.931034083802979,0.156009978442281,6.86178502094512,NA,2.02033565296279,1.11205484108799,3.67046300220156,0.755007412717436,0.191374207269748,0.925773616964717,0.713617933808898,0.263970004910385,1,NA,2.41354440854766,0.861672450805775,0.201932910096842,0.465891219722601,1.25745368188895,4.26712243384468,1.98010500539801e-05,4.26712243384468,0.0824157979614879,0.000165972846519878,214
"SERPINA3","SERPINA3",487,147,340,"SMD",0,0.95,8,NA,1.36785961492611,0.30078211591876,4.547676017066,5.42415503235659e-06,0.778337500531589,1.95738172932063,0.819540462659215,0.95,-0.637483655647554,3.37320288549977,33.7493187437064,7,1.9188182806851e-05,NA,0.581176688679114,0.384421745368942,0.175086627766464,3.54300940619088,0.762349453124428,0.418433540441566,1.88228834299926,NA,2.19575300275348,1.57167965719658,3.06762973423018,0.792588405912479,0.595170701399885,0.893734051584985,0.802997473588663,0.436866894707784,1,NA,4.547676017066,1.0386753277484,0.108680913927224,0.825664650644144,1.25168600485266,9.55710888154595,1.21092142223617e-21,9.55710888154595,0.000212969455480948,3.01115793662728e-19,213
"AK1","AK1",68,26,42,"SMD",0,0.95,2,NA,1.272618357484,0.285453953204401,4.45822642565657,8.26405821520053e-06,0.713138889958787,1.8320978250092,NA,0.95,NA,NA,0.105763468317779,1,0.745019901900679,NA,0,0.28460270147841,NA,NA,0,NA,NA,NA,1,NA,NA,0,NA,NA,0,0,1,NA,4.45822642565657,1.272618357484,0.285453953204401,0.713138889958787,1.8320978250092,4.45822642565657,8.26405821520053e-06,4.45822642565657,0.000293570829930457,7.51827735187756e-05,212
"PRDX6","PRDX6",392,107,285,"SMD",0,0.95,6,NA,1.2240582089136,0.602318317632893,2.0322447003175,0.0421288896852132,0.0435359991243713,2.40458041870282,1.53843385705558,0.95,-3.04731894317893,5.49543536100613,36.8178013952124,5,6.51488100784955e-07,NA,2.00399137677879,1.37503710668271,0.635145506683441,15.850639111959,1.41562402380674,0.796960166309108,3.9812861127981,NA,2.71358808204976,1.91114222196121,3.85296300527859,0.864196127673985,0.72621226718085,0.932638721432699,0.920645544827077,0.219265573797649,1,NA,2.0322447003175,0.58974805550786,0.120870456257052,0.352846314449114,0.826649796566605,4.87917456234019,1.06530746355273e-06,4.87917456234019,0.14792190123706,1.20412025425809e-05,211
"RNH1","RNH1",36,13,23,"SMD",0,0.95,2,NA,1.20534654305245,0.390572304208685,3.08610346935512,0.00202798238660503,0.439838893444604,1.97085419266029,NA,0.95,NA,NA,0.089513932256943,1,0.764796001823905,NA,0,0.431640845924911,NA,NA,0,NA,NA,NA,1,NA,NA,0,NA,NA,0,0,1,NA,3.08610346935512,1.20534654305245,0.390572304208685,0.439838893444604,1.97085419266029,3.08610346935512,0.00202798238660503,3.08610346935512,0.0201716648054314,0.00813373580864168,210
"YWHAH","YWHAH",42,13,29,"SMD",0,0.95,2,NA,1.19820300773833,0.379163851760499,3.16011930508392,0.00157704547927084,0.455055514048267,1.94135050142839,NA,0.95,NA,NA,0.0155528812488553,1,0.900752197156824,NA,0,0.40697774094501,NA,NA,0,NA,NA,NA,1,NA,NA,0,NA,NA,0,0,1,NA,3.16011930508392,1.19820300773833,0.379163851760499,0.455055514048267,1.94135050142839,3.16011930508392,0.00157704547927084,3.16011930508392,0.0168067989648007,0.00664675665274603,209
"LDHB","LDHB",430,122,308,"SMD",0,0.95,7,NA,1.14661391430441,0.541713491083586,2.11664271460333,0.0342901820370618,0.0848749818411179,2.20835284676769,1.47530952657324,0.95,-2.64578995664596,4.93901778525478,55.9911744225666,6,2.9229476036992e-10,NA,1.88308469277578,1.18437876263461,0.664605927675323,10.9960063242619,1.37225533075145,0.815233664463951,3.31602266642764,NA,3.05480971645716,2.26023792023195,4.12870800911235,0.892840254524439,0.804254545311766,0.941336001550194,0.916711141904528,0.517930727059771,1,NA,2.11664271460333,0.47069697827623,0.113926285293672,0.247405562208198,0.693988394344263,4.13159243332561,3.60258769047642e-05,4.13159243332561,0.136066360636426,0.00026348337422504,208
