"","gene_name","sum","controls","cases","sm","null.effect","level","k.study","method","TE.random","seTE.random","statistic.random","pval.random","lower.random","upper.random","seTE.predict","level.predict","lower.predict","upper.predict","Q","df.Q","pval.Q","method.tau","tau2","se.tau2","lower.tau2","upper.tau2","tau","lower.tau","upper.tau","sign.upper.tau","H","lower.H","upper.H","I2","lower.I2","upper.I2","Rb","lower.Rb","upper.Rb","method.bias","zval.random","TE.fixed","seTE.fixed","lower.fixed","upper.fixed","statistic.fixed","pval.fixed","zval.fixed","random.adj.pval","fixed.adj.pval","order"
"TTC3","TTC3",73,14,59,"SMD",0,0.95,2,NA,1.98385542872119,0.344959945068135,5.75097328569365,8.87311365168756e-09,1.30774636027873,2.65996449716365,NA,0.95,NA,NA,0.00222183914302943,1,0.962404525540592,NA,0,0.341093094596872,NA,NA,0,NA,NA,NA,1,NA,NA,0,NA,NA,0,0,1,NA,5.75097328569365,1.98385542872119,0.344959945068135,1.30774636027873,2.65996449716365,5.75097328569365,8.87311365168756e-09,5.75097328569365,7.95918294556374e-06,3.31632622731823e-07,162
"GDI2","GDI2",57,34,23,"SMD",0,0.95,2,NA,1.71050010048115,0.399341691203233,4.283299585694,1.84141964447558e-05,0.927804768197495,2.4931954327648,NA,0.95,NA,NA,0.25441686922095,1,0.613982052753995,NA,0,0.473562226088164,NA,NA,0,NA,NA,NA,1,NA,NA,0,NA,NA,0,0,1,NA,4.283299585694,1.71050010048115,0.399341691203233,0.927804768197495,2.4931954327648,4.283299585694,1.84141964447558e-05,4.283299585694,0.0015015940191769,0.000226267591930766,161
"PLCH1","PLCH1",60,11,49,"SMD",0,0.95,2,NA,1.30659327343412,0.50647332450903,2.57978695067645,0.0098861285786086,0.31392379826615,2.29926274860208,NA,0.95,NA,NA,1.62965881491214,1,0.201750245734947,NA,0.217350308216431,0.795548499002022,NA,NA,0.466208438594188,NA,NA,NA,1.2765809080948,NA,NA,0.386374625872894,NA,NA,0.423659658607603,0,1,NA,2.57978695067645,1.20752722739028,0.363667054079124,0.494752899031417,1.92030155574914,3.32041963616411,0.000898822325444929,3.32041963616411,0.107967556262587,0.00548465051649048,160
"RAB11FIP3","RAB11FIP3",60,11,49,"SMD",0,0.95,2,NA,1.26097927866456,0.357596174479208,3.52626613106534,0.000421463218091424,0.560103655676014,1.96185490165311,NA,0.95,NA,NA,0.841820506491482,1,0.358876623642507,NA,0,0.403059261842157,NA,NA,0,NA,NA,NA,1,NA,NA,0,NA,NA,0,0,1,NA,3.52626613106534,1.26097927866456,0.357596174479208,0.560103655676014,1.96185490165311,3.52626613106534,0.000421463218091424,3.52626613106534,0.0130362933320003,0.00301468699971772,159
"ALAD","ALAD",39,13,26,"SMD",0,0.95,2,NA,1.25659870918318,0.380176527576252,3.30530324213965,0.000948736912748746,0.51146640736623,2.00173101100014,NA,0.95,NA,NA,0.0599478442493096,1,0.806578393776552,NA,0,0.441048104453638,NA,NA,0,NA,NA,NA,1,NA,NA,0,NA,NA,0,0,1,NA,3.30530324213965,1.25659870918318,0.380176527576252,0.51146640736623,2.00173101100014,3.30530324213965,0.000948736912748746,3.30530324213965,0.0221557073404824,0.00575011493740287,158
"EEF1A1","EEF1A1",38,11,27,"SMD",0,0.95,2,NA,1.20139936058969,0.529920037394448,2.26713329523605,0.0233820841765595,0.162775172610452,2.24002354856893,NA,0.95,NA,NA,1.74072619304926,1,0.1870468395871,NA,0.244015191812623,0.81096969476121,NA,NA,0.493978938632634,NA,NA,NA,1.31936582987785,NA,NA,0.425527113917735,NA,NA,0.434476395531425,0,1,NA,2.26713329523605,1.25832376716851,0.392979694544525,0.488097719205689,2.02854981513133,3.20200708748309,0.00136473640235634,3.20200708748309,0.169142979890112,0.00741920335099174,157
"ORM2","ORM2",529,366,163,"SMD",0,0.95,6,NA,1.1831846026805,0.495340089911916,2.38863081502427,0.0169112866210217,0.21233586635431,2.15403333900669,1.23821727977795,0.95,-2.25465770293032,4.62102690829132,42.1330313467065,5,5.53633765864849e-08,NA,1.28782022726676,0.92837617244481,0.379034452561486,9.73546422094383,1.13482167201141,0.615657739788501,3.1201705435671,NA,2.90286173789612,2.0703057990232,4.07022299474652,0.881328263355757,0.766691262931401,0.939638003895157,0.874776352536556,0.426447350864456,1,NA,2.38863081502427,0.543226296508165,0.114180273086719,0.319437073513248,0.767015519503083,4.7576195241326,1.95889271440153e-06,4.7576195241326,0.140457630546819,3.51425352963635e-05,156
"APCS","APCS",506,345,161,"SMD",0,0.95,6,NA,1.16825780811047,0.398568769036446,2.93113233867965,0.00337728874260191,0.38707737543657,1.94943824078436,0.981460869430295,0.95,-1.55671441876245,3.89323003498338,39.3882368562043,5,1.98363468604277e-07,NA,0.804408374571642,0.601559564357654,0.227139137193281,5.72606659152049,0.896888161685526,0.476591163570288,2.3929200971868,NA,2.80671469359478,1.98925289113693,3.96010351742584,0.873058547447716,0.747291410257981,0.936234330647272,0.843954051190036,0.606912362808419,1,NA,2.93113233867965,1.02038573184927,0.12454476621348,0.776282475607886,1.26448898809065,8.19292341920049,2.54956405622375e-16,8.19292341920049,0.0522315172778261,3.81159826405451e-14,155
"PSMB8","PSMB8",38,10,28,"SMD",0,0.95,2,NA,1.16542854823581,0.394663289137263,2.95296922798024,0.0031473333534716,0.391902715506652,1.93895438096496,NA,0.95,NA,NA,0.325982414326813,1,0.568034419862182,NA,0,0.511288847539325,NA,NA,0,NA,NA,NA,1,NA,NA,0,NA,NA,0,0,1,NA,2.95296922798024,1.16542854823581,0.394663289137263,0.391902715506652,1.93895438096496,2.95296922798024,0.0031473333534716,2.95296922798024,0.0508075418105227,0.0143307513607311,154
"ORM1","ORM1",529,366,163,"SMD",0,0.95,6,NA,1.14558312198091,0.238650742977201,4.80024955166534,1.58468039006003e-06,0.67783626086187,1.61332998309995,0.519687145576321,0.95,-0.29729970958868,2.5884659535505,12.9696285547361,5,0.023665049816919,NA,0.213120552153694,0.211575308764846,0.00196854533102125,3.41522674201813,0.461649815502719,0.0443682919551931,1.8480332091221,NA,1.61056689117441,1.03076956502135,2.51649427667519,0.614483947716902,0.0588110358916817,0.842090555419177,0.623660876506915,0.0175156106289984,1,NA,4.80024955166534,0.984213282233256,0.115279737174122,0.758269149224733,1.21015741524178,8.53760865837737,1.37028094500473e-17,8.53760865837737,0.000284291661976769,4.09714002556414e-15,153
