"","protein","thetabar","Q","alphamin","direction","optimal_cutpoint","method","youden","acc","sensitivity","specificity","AUC","pos_class","neg_class","prevalence","outcome","predictor","boot","FN","TP","TN","FP","z_alpha","log_sens_sp","pref","corr_sens","corr_spec","talpha_val_q","inv_talpha_val","d_talpha_val_q","d_talpha_val_p","c1_prev","c1","z_c1","z_alphamin","cat_c1","cat_alphamin"
"MSANTD2","MSANTD2",8.47859696816531,40.4099812688152,0.98,">=",0.132081456743107,"maximize_metric",1,1,1,1,1,"COVID19","HC",0.769230769230769,"class","x",NA,0,10,3,0,0.689260451592586,0,"Neither: 1161",0.9999,0.9999,-9.02603155943643,0.000277381466139018,9801.02010201128,3534.06094949843,0.108174279188751,0.36058093062917,-1.9022986927665,0.689260451592586,"FN: 1214","(-0.8,0.8]"
"FLG2","FLG2",-0.133658215915782,336.291541359815,0.94,">=",0.353533180982084,"maximize_metric",0.35,0.518518518518518,0.35,1,0.521428571428571,"COVID19","HC",0.740740740740741,"class","x",NA,13,7,7,0,0.500261431602553,-1.04982212449868,"Neither: 1161",0.35,0.9999,-8.65761394435736,0.000173591117446222,9401.06010601164,5416.08379716326,0.201639954178673,0.57611415479621,-1.26107826281569,0.500261431602553,"FN: 1214","(-0.8,0.8]"
"KRT10","KRT10",0.0165781937562259,217.827995272078,0.89,"<=",-0.258836815510776,"maximize_metric",0.307142857142857,0.555555555555556,0.45,0.857142857142857,0.521428571428571,"COVID19","HC",0.740740740740741,"class","x",NA,11,9,6,1,0.264012656615013,-0.644357016390513,"Neither: 1161",0.45,0.857142857142857,-1.56075277805097,0.232399151218076,7.525,5.27568217771231,0.245380566405224,0.701087332586353,-0.88927778934062,0.264012656615013,"FN: 1214","(-0.8,0.8]"
"DSG1","DSG1",1.88287727497093,318.768214376665,0.73,"<=",-0.0570576871219597,"maximize_metric",0.65,0.740740740740741,0.65,1,0.7,"COVID19","HC",0.740740740740741,"class","x",NA,7,13,7,0,-0.491983423345116,-0.430782916092454,"Neither: 1161",0.65,0.9999,-6.72342146519227,0.00027577289293388,7301.2701270135,2648.37606196543,0.126954845603973,0.362728130297066,-1.89591068321689,-0.491983423345116,"FN: 1214","(-0.8,0.8]"
"DPYSL2","DPYSL2",5.69049839375663,56.1030819067964,0.78,"<=",0.0313332105459594,"maximize_metric",0.8,0.857142857142857,0.8,1,0.9,"COVID19","HC",0.714285714285714,"class","x",NA,2,8,4,0,-0.255734648357576,-0.22314355131421,"Neither: 1161",0.8,0.9999,-7.1839434840411,0.000299992781615772,7801.22012201306,2601.28292693629,0.133378260643929,0.333445651609821,-1.98302729202012,-0.255734648357576,"FN: 1214","(-0.8,0.8]"
"BPI","BPI",5.58738568406636,54.117611869554,0.79,"<=",-0.420886154293949,"maximize_metric",0.7,0.769230769230769,0.7,1,0.9,"COVID19","HC",0.769230769230769,"class","x",NA,3,7,3,0,-0.208484893360068,-0.356674943938732,"Neither: 1161",0.7,0.9999,-7.27604788781087,0.000264708097498921,7901.21012101297,2985.62979022128,0.113360981843064,0.37786993947688,-1.85086316244585,-0.208484893360068,"FN: 1214","(-0.8,0.8]"
"IL1R2","IL1R2",6.96607394013749,85.4625001273476,0.84,"<=",0.0954624806319373,"maximize_metric",0.85,0.888888888888889,0.85,1,0.957142857142857,"COVID19","HC",0.740740740740741,"class","x",NA,3,17,7,0,0.0277638816274725,-0.162518929497775,"Neither: 1161",0.85,0.9999,-7.7365699066597,0.000288043501228785,8401.16011601252,2917.386516788,0.121540985622881,0.347259958922517,-1.94192914527847,0.0277638816274725,"FN: 1214","(-0.8,0.8]"
"APOM","APOM",6.77488229225748,81.5436049448894,0.84,"<=",0.127303317730228,"maximize_metric",0.8,0.851851851851852,0.8,1,0.957142857142857,"COVID19","HC",0.740740740740741,"class","x",NA,4,16,7,0,0.0277638816274725,-0.22314355131421,"Neither: 1161",0.8,0.9999,-7.7365699066597,0.000275623818540726,8401.16011601252,3048.79243102528,0.127015475972778,0.362901359922222,-1.89539531777774,0.0277638816274725,"FN: 1214","(-0.8,0.8]"
"NPPA","NPPA",0.399183600798685,73.8976844538982,0.6,">=",0.364094157041517,"maximize_metric",0.25,0.444444444444444,0.25,1,0.514285714285714,"COVID19","HC",0.740740740740741,"class","x",NA,15,5,7,0,-1.10623023831272,-1.38629436111989,"Specificity: 502",0.25,0.9999,-5.52606421618531,0.000209695175649069,6001.40014001466,2862.69644955649,0.166951666939229,0.477004762683511,-1.55593288334239,-1.10623023831272,"FN: 1214","(-Inf,-0.8]"
"ANP32E","ANP32E",8.47859696816531,40.4099812688152,0.98,"<=",-0.116159431973286,"maximize_metric",1,1,1,1,1,"COVID19","HC",0.769230769230769,"class","x",NA,0,10,3,0,0.689260451592586,0,"Neither: 1161",0.9999,0.9999,-9.02603155943643,0.000277381466139018,9801.02010201128,3534.06094949843,0.108174279188751,0.36058093062917,-1.9022986927665,0.689260451592586,"FN: 1214","(-0.8,0.8]"
"PPP6R1","PPP6R1",8.47859696816531,40.4099812688152,0.98,"<=",0.220903460315281,"maximize_metric",1,1,1,1,1,"COVID19","HC",0.769230769230769,"class","x",NA,0,10,3,0,0.689260451592586,0,"Neither: 1161",0.9999,0.9999,-9.02603155943643,0.000277381466139018,9801.02010201128,3534.06094949843,0.108174279188751,0.36058093062917,-1.9022986927665,0.689260451592586,"FN: 1214","(-0.8,0.8]"
"PCYOX1","PCYOX1",3.54936100316723,94.0574381109936,0.9,"<=",0.0780845871295321,"maximize_metric",0.707142857142857,0.851851851851852,0.85,0.857142857142857,0.842857142857143,"COVID19","HC",0.740740740740741,"class","x",NA,3,17,6,1,0.311262411612521,-0.00836824967051658,"Neither: 1161",0.85,0.857142857142857,-1.5817533863398,0.291602695743248,7.58333333333333,4.63919216052478,0.21411656125499,0.611761603585686,-1.15502559957654,0.311262411612521,"FN: 1214","(-0.8,0.8]"
"LRIG3","LRIG3",6.89948871757959,32.5024465288572,0.85,"<=",-1.43237660299828,"maximize_metric",0.9,0.923076923076923,0.9,1,0.966666666666667,"COVID19","HC",0.769230769230769,"class","x",NA,1,9,3,0,0.0750136366249806,-0.105360515657826,"Neither: 1161",0.9,0.9999,-7.82867431042947,0.000296153410872371,8501.15011501244,2871.28442927747,0.101325740297433,0.33775246765811,-1.97021433267766,0.0750136366249806,"FN: 1214","(-0.8,0.8]"
"CES3","CES3",-0.617170965131529,18.9336777256798,1.05,">=",0.0847871296930123,"maximize_metric",0.171428571428571,0.592592592592593,0.6,0.571428571428571,0.471428571428571,"COVID19","HC",0.740740740740741,"class","x",NA,8,12,4,3,1.02000873657514,0.048790164169432,"Sensitivity: 369",0.6,0.571428571428571,-0.358027754867912,0.575673676896298,4.1125,4.06279295194896,0.345769612931826,0.987913179805218,-0.0359587997256044,1.02000873657514,"Neither: 735","(0.8, Inf]"
"CTSS","CTSS",5.61602591024255,94.5958260373699,0.7,"<=",-0.0303872979664126,"maximize_metric",0.8,0.851851851851852,0.8,1,0.921428571428571,"COVID19","HC",0.740740740740741,"class","x",NA,4,16,7,0,-0.633732688337641,-0.22314355131421,"Neither: 1161",0.8,0.9999,-6.44710825388297,0.000337531951048143,7001.30013001377,2075.17817948034,0.10373964111387,0.296398974611057,-2.09324271818099,-0.633732688337641,"FN: 1214","(-0.8,0.8]"
"TGOLN2","TGOLN2",5.9846094122321,76.5405979914537,0.72,"<=",0.0694830838637426,"maximize_metric",0.85,0.888888888888889,0.85,1,0.942857142857143,"COVID19","HC",0.740740740740741,"class","x",NA,3,17,7,0,-0.539233178342624,-0.162518929497775,"Neither: 1161",0.85,0.9999,-6.6313170614225,0.00034354050742473,7201.28012801359,2097.10315784223,0.101924392913075,0.291212551180215,-2.10867254657559,-0.539233178342624,"FN: 1214","(-0.8,0.8]"
