"","protein","thetabar","Q","alphamin","direction","optimal_cutpoint","method","youden","acc","sensitivity","specificity","AUC","pos_class","neg_class","prevalence","outcome","predictor","boot","FN","TP","TN","FP","z_alpha","log_sens_sp","pref","corr_sens","corr_spec","talpha_val_q","inv_talpha_val","d_talpha_val_q","d_talpha_val_p","c1_prev","c1","z_c1","z_alphamin","cat_c1","cat_alphamin"
"IGHD","IGHD",0.85829600767593,18.3098170737233,1.01,"<=",5.64811971324094,"maximize_metric",0.375,0.6875,0.625,0.75,0.6953125,"COVID19","HC",0.5,"class","x",NA,3,5,6,2,0.385347401126749,-0.182321556793955,"Neither: 776",0.625,0.75,-1.11535205300383,0.398057721721874,5.36,4.18199642533298,0.780223213681526,0.780223213681526,-0.843675604673994,0.385347401126749,"FN: 673","(-0.8,0.8]"
"GDI1","GDI1",1.41163701791093,28.6353342944733,0.76,">=",6.35755200461808,"maximize_metric",0.538461538461538,0.769230769230769,0.846153846153846,0.692307692307692,0.727810650887574,"COVID19","HC",0.5,"class","x",NA,2,11,9,4,-0.830913216850225,0.200670695462151,"Specificity: 308",0.846153846153846,0.692307692307692,-0.439799069864258,0.499180102571502,4.26111111111111,3.99843654844197,0.938355382945964,0.938355382945964,-0.236640367889432,-0.830913216850225,"Neither: 592","(-Inf,-0.8]"
"CDH2","CDH2",0.839919290752136,39.7284988340046,0.82,">=",7.3347260128287,"maximize_metric",0.2,0.6,0.4,0.8,0.64,"COVID19","HC",0.5,"class","x",NA,3,2,4,1,-0.539010668535752,-0.693147180559945,"Neither: 776",0.4,0.8,-1.05642969764519,0.325328478690315,5.575,4.26952868734436,0.765834742124548,0.765834742124548,-0.898909838664371,-0.539010668535752,"FN: 673","(-0.8,0.8]"
"IGLV1-44","IGLV1-44",1.85992631466401,15.1436091075513,1.08,">=",6.61618123133188,"maximize_metric",0.615384615384615,0.807692307692308,0.923076923076923,0.692307692307692,0.763313609467456,"COVID19","HC",0.5,"class","x",NA,1,12,9,4,0.725900374160303,0.287682072451781,"Neither: 776",0.923076923076923,0.692307692307692,-0.934640598333686,0.495990186858677,4.83888888888889,4.00282371963915,0.827219597629216,0.827219597629216,-0.663266639247122,0.725900374160303,"Neither: 592","(-0.8,0.8]"
"GP1BB","GP1BB",1.99853523929453,22.4145999327189,0.85,">=",6.61016497743978,"maximize_metric",0.384615384615385,0.692307692307692,0.615384615384615,0.769230769230769,0.763313609467456,"COVID19","HC",0.5,"class","x",NA,5,8,10,3,-0.393059394378515,-0.22314355131421,"Neither: 776",0.615384615384615,0.769230769230769,-0.944667604336798,0.384980939943522,5.17833333333333,4.07776226211223,0.787466159403714,0.787466159403714,-0.815871500727668,-0.393059394378515,"FN: 673","(-0.8,0.8]"
"LY6G6F","LY6G6F",2.18728792058266,42.7146899500162,0.73,">=",6.78031926925924,"maximize_metric",0.25,0.625,0.375,0.875,0.6640625,"COVID19","HC",0.5,"class","x",NA,5,3,7,1,-0.976864491007463,-0.847297860387204,"Specificity: 308",0.375,0.875,-1.34840745679314,0.233648846885049,7.29142857142857,4.78155042785125,0.655776900371448,0.655776900371448,-1.32139811754752,-0.976864491007463,"FN: 673","(-Inf,-0.8]"
"IGKV6D-21","IGKV6D-21",0.776765887719757,34.5577680253807,0.8,"<=",5.54843662469604,"maximize_metric",0.153846153846154,0.576923076923077,0.153846153846154,1,0.514792899408284,"COVID19","HC",0.5,"class","x",NA,11,2,13,0,-0.636311517973909,-1.87180217690159,"Neither: 776",0.153846153846154,0.9999,-7.36815229158064,0.000205647910889236,8001.20012001288,3891.34431170469,0.486345079905141,0.486345079905141,-1.97181027425176,-0.636311517973909,"FN: 673","(-0.8,0.8]"
"SOD2","SOD2",2.16258826039811,57.3244122995237,1,"<=",6.47519228569764,"maximize_metric",0.25,0.625,0.5,0.75,0.625,"COVID19","HC",0.5,"class","x",NA,4,4,6,2,0.33669697640767,-0.405465108108164,"Neither: 776",0.5,0.75,-1.09861228866811,0.383761620462093,5.33333333333333,4.22853293803438,0.792849925881446,0.792849925881446,-0.795204384265505,0.33669697640767,"Neither: 592","(-0.8,0.8]"
"TBXAS1","TBXAS1",3.4608954012516,35.0148170293765,1.22,">=",6.82968580003245,"maximize_metric",0.4,0.7,0.8,0.6,0.8,"COVID19","HC",0.5,"class","x",NA,1,4,3,2,1.40700632022741,0.287682072451781,"Sensitivity: 266",0.8,0.6,-0.719430706348996,0.572037453344374,4.35,3.9553168837598,0.909268249140184,0.909268249140184,-0.348299590926136,1.40700632022741,"Neither: 592","(0.8, Inf]"
"CDC42","CDC42",0.515823308469007,24.2471741483832,1.03,">=",6.88996019965864,"maximize_metric",0.153846153846154,0.576923076923077,0.230769230769231,0.923076923076923,0.497041420118343,"COVID19","HC",0.5,"class","x",NA,10,3,12,1,0.482648250564907,-1.38629436111989,"Neither: 776",0.230769230769231,0.923076923076923,-2.56425641174205,0.127695326328661,14.4408333333333,9.17807117227279,0.635563818265759,0.635563818265759,-1.39899177315376,0.482648250564907,"FN: 673","(-0.8,0.8]"
