"","protein","thetabar","Q","alphamin","direction","optimal_cutpoint","method","youden","acc","sensitivity","specificity","AUC","pos_class","neg_class","prevalence","outcome","predictor","boot","FN","TP","TN","FP","z_alpha","log_sens_sp","pref","corr_sens","corr_spec","talpha_val_q","inv_talpha_val","d_talpha_val_q","d_talpha_val_p","c1_prev","c1","z_c1","z_alphamin","cat_c1","cat_alphamin"
"VCL;HEL114","VCL;HEL114",0.435741753729583,31.4944524807181,0.89,"<=",-2.68633,"maximize_metric",0.5,0.733333333333333,0.7,0.8,0.675,"COVID19","HC",0.666666666666667,"class","x",NA,6,14,8,2,0.614656615079671,-0.133531392624523,"Neither: 116",0.7,0.8,-1.18471040010758,0.351128920128895,5.8375,4.24534495095694,0.363626976527361,0.727253953054721,-1.05292827198614,0.614656615079671,"FN: 146","(-0.8,0.8]"
"C9","C9",2.66732950251487,78.3326743019611,0.47,">=",4.6567,"maximize_metric",0.7,0.8,0.7,1,0.835,"COVID19","HC",0.666666666666667,"class","x",NA,6,14,10,0,-1.35070734648806,-0.356674943938732,"Specificity: 49",0.7,0.9999,-4.32870696717835,0.000547761387073396,4701.53015301582,859.568683281085,0.0914137158867003,0.182827431773401,-3.15467120353878,-1.35070734648806,"FN: 146","(-Inf,-0.8]"
"APOC1","APOC1",4.01789279255468,43.9482331307052,0.5,"<=",4.272925,"maximize_metric",0.75,0.833333333333333,0.75,1,0.91,"COVID19","HC",0.666666666666667,"class","x",NA,5,15,10,0,-1.21032420637608,-0.287682072451781,"Specificity: 49",0.75,0.9999,-4.60502017848765,0.000528768196260804,5001.50015001555,947.094729696966,0.0946810658092274,0.189362131618455,-3.12944418267867,-1.21032420637608,"FN: 146","(-Inf,-0.8]"
"APOL1","APOL1",0.456746770350454,29.6373407080484,0.7,">=",2.553475,"maximize_metric",0.25,0.566666666666667,0.45,0.8,0.565,"COVID19","HC",0.666666666666667,"class","x",NA,11,9,8,2,-0.274436605629541,-0.575364144903562,"Neither: 116",0.45,0.8,-0.836519921995398,0.326457540055665,5.125,4.07432345639574,0.397494971355682,0.794989942711363,-0.791435431524372,-0.274436605629541,"Neither: 57","(-0.8,0.8]"
"IGFBP4","IGFBP4",-0.509922804089845,38.8695184215373,1.3,"<=",-2.27016,"maximize_metric",0.15,0.533333333333333,0.45,0.7,0.47,"COVID19","HC",0.666666666666667,"class","x",NA,11,9,7,3,2.53322619661007,-0.441832752279039,"Sensitivity: 42",0.45,0.7,-1.3154921848666,0.411740673515415,5.33333333333333,4.3472785169009,0.40755736095946,0.815114721918919,-0.713744300039831,2.53322619661007,"Neither: 57","(0.8, Inf]"
"APOA1","APOA1",3.9379445082885,39.0326984126558,0.54,"<=",9.153325,"maximize_metric",0.75,0.866666666666667,0.85,0.9,0.91,"COVID19","HC",0.666666666666667,"class","x",NA,3,17,9,1,-1.02314668622677,-0.0571584138399486,"Specificity: 49",0.85,0.9,-1.08956959735636,0.276186568061075,7.02222222222222,3.9722944521962,0.28283742143802,0.565674842876041,-1.6766997809592,-1.02314668622677,"FN: 146","(-Inf,-0.8]"
"FN1;DKFZp686O12165;DKFZp686L11144;DKFZp686O13149","FN1;DKFZp686O12165;DKFZp686L11144;DKFZp686O13149",2.52835757210205,87.1154075281175,0.47,">=",3.833305,"maximize_metric",0.7,0.8,0.7,1,0.82,"COVID19","HC",0.666666666666667,"class","x",NA,6,14,10,0,-1.35070734648806,-0.356674943938732,"Specificity: 49",0.7,0.9999,-4.32870696717835,0.000547761387073396,4701.53015301582,859.568683281085,0.0914137158867003,0.182827431773401,-3.15467120353878,-1.35070734648806,"FN: 146","(-Inf,-0.8]"
"ENO1","ENO1",0.0469090195259371,48.6835553426851,1.01,"<=",-3.550575,"maximize_metric",0.45,0.7,0.65,0.8,0.635,"COVID19","HC",0.666666666666667,"class","x",NA,7,13,8,2,1.17618917552759,-0.207639364778244,"Sensitivity: 42",0.65,0.8,-1.40462017575737,0.334124013037426,6.2875,4.5095930600367,0.358615750301129,0.717231500602258,-1.09161966150406,1.17618917552759,"FN: 146","(0.8, Inf]"
"ACTN1","ACTN1",1.87928890297669,43.3170606429787,0.72,"<=",-3.861075,"maximize_metric",0.5,0.733333333333333,0.7,0.8,0.715,"COVID19","HC",0.666666666666667,"class","x",NA,6,14,8,2,-0.180847845554887,-0.133531392624523,"Neither: 116",0.7,0.8,-0.873171551270364,0.366136851159815,5.2,3.9858411600608,0.383253957698154,0.766507915396307,-0.901389479032606,-0.180847845554887,"FN: 146","(-0.8,0.8]"
"SERPINA10","SERPINA10",1.97134344292167,53.1712432638158,0.55,">=",0.432679,"maximize_metric",0.5,0.7,0.6,0.9,0.765,"COVID19","HC",0.666666666666667,"class","x",NA,8,12,9,1,-0.976352306189444,-0.405465108108164,"Specificity: 49",0.6,0.9,-1.11364905344288,0.233684003327468,7.11111111111111,4.24577550851528,0.29853109044248,0.597062180884961,-1.55552986505348,-0.976352306189444,"FN: 146","(-Inf,-0.8]"
