"","protein","thetabar","Q","alphamin","direction","optimal_cutpoint","method","youden","acc","sensitivity","specificity","AUC","pos_class","neg_class","prevalence","outcome","predictor","boot","FN","TP","TN","FP","z_alpha","log_sens_sp","pref","corr_sens","corr_spec","talpha_val_q","inv_talpha_val","d_talpha_val_q","d_talpha_val_p","c1_prev","c1","z_c1","z_alphamin","cat_c1","cat_alphamin"
"IGLV8-61","IGLV8-61",0.710141584461861,26.6994866314903,0.97,">=",4.12224626021288,"maximize_metric",0.352173913043478,0.666666666666667,0.652173913043478,0.7,0.591304347826087,"COVID19","HC",0.696969696969697,"class","x",NA,8,15,7,3,0.315146332708376,-0.0707690708882072,"Neither: 301",0.652173913043478,0.7,-0.800478427939263,0.456204608967808,4.7047619047619,4.0203336895798,0.371532333573208,0.85452436721838,-0.51809048737959,0.315146332708376,"Neither: 265","(-0.8,0.8]"
"IGLV7-46","IGLV7-46",0.617859578952529,58.3200046152403,0.79,"<=",4.08072846859637,"maximize_metric",0.301587301587301,0.733333333333333,0.857142857142857,0.444444444444444,0.587301587301587,"COVID19","HC",0.7,"class","x",NA,3,18,4,5,-0.456659157107233,0.65677953638907,"Neither: 301",0.857142857142857,0.444444444444444,0.516874096349084,0.714318909830524,4.1445,5.34144070054414,0.552343798205277,1.28880219581231,1.02852737275463,-0.456659157107233,"FP: 55","(-0.8,0.8]"
"IGLV2-18","IGLV2-18",-0.505284848950106,46.9268392744771,1.31,">=",3.92625470381142,"maximize_metric",0.191304347826087,0.515151515151515,0.391304347826087,0.8,0.473913043478261,"COVID19","HC",0.696969696969697,"class","x",NA,14,9,8,2,1.77300114680453,-0.715126087278721,"Sensitivity: 124",0.391304347826087,0.8,-1.95439461488187,0.280297114762259,7.4125,5.63234110769526,0.330366807402024,0.759843657024655,-0.855282183004302,1.77300114680453,"FN: 246","(0.8, Inf]"
"IGLV3-12","IGLV3-12",0.966754096828715,19.2527006466761,1.07,"<=",3.57185407098076,"maximize_metric",0.225,0.608695652173913,0.6,0.625,0.583333333333333,"COVID19","HC",0.652173913043478,"class","x",NA,6,9,5,3,0.743927160383715,-0.0408219945202552,"Neither: 301",0.6,0.625,-0.612383925524013,0.523359303538333,4.34133333333333,3.99563978628164,0.490864838609539,0.920371572392885,-0.283585161854356,0.743927160383715,"Neither: 265","(-0.8,0.8]"
"IGLV3-9","IGLV3-9",1.3873322517675,38.6150510295916,0.77,"<=",4.07509645090893,"maximize_metric",0.265217391304348,0.606060606060606,0.565217391304348,0.7,0.634782608695652,"COVID19","HC",0.696969696969697,"class","x",NA,10,13,7,3,-0.542415322642301,-0.213869914528881,"Neither: 301",0.565217391304348,0.7,-0.48834887828633,0.4492965324301,4.32380952380952,3.94729712264603,0.396922235086988,0.912921140700073,-0.310118799915318,-0.542415322642301,"Neither: 265","(-0.8,0.8]"
"IGKV2-28","IGKV2-28",2.4588970787898,128.534982802914,0.69,"<=",4.23787772004627,"maximize_metric",0.465217391304348,0.666666666666667,0.565217391304348,0.9,0.704347826086957,"COVID19","HC",0.696969696969697,"class","x",NA,10,13,9,1,-0.885439984782572,-0.465184342809787,"Specificity: 141",0.565217391304348,0.9,-1.45076143865414,0.206769277425541,8.35555555555556,4.9885269264391,0.259578760048288,0.597031148111063,-1.43511545460904,-0.885439984782572,"FN: 246","(-Inf,-0.8]"
"IGHV3-64","IGHV3-64",0.14739836900845,19.3904133126556,1.03,">=",3.84275555239541,"maximize_metric",0.272727272727273,0.6875,0.772727272727273,0.5,0.6,"COVID19","HC",0.6875,"class","x",NA,5,17,5,5,0.57241482931358,0.435318071257845,"Neither: 301",0.772727272727273,0.5,-0.0415888308335968,0.666192051476026,4,4.45196320486678,0.505904909643952,1.11299080121669,0.402400444338632,0.57241482931358,"Neither: 265","(-0.8,0.8]"
"IGHV4-4","IGHV4-4",0.229799491273757,20.0499722314814,1.02,">=",3.70138408816398,"maximize_metric",0.333333333333333,0.68,0.733333333333333,0.6,0.64,"COVID19","HC",0.6,"class","x",NA,4,11,6,4,0.529536746546046,0.200670695462151,"Neither: 301",0.733333333333333,0.6,-0.434007435220967,0.568097432782539,4.18333333333333,4.06449693265434,0.647728594845313,0.971592892267969,-0.101167817651121,0.529536746546046,"Neither: 265","(-0.8,0.8]"
"IGKV2D-29","IGKV2D-29",1.88278806286101,41.3126950686715,1.04,"<=",3.90432732108424,"maximize_metric",0.425,0.692307692307692,0.625,0.8,0.6875,"COVID19","HC",0.615384615384615,"class","x",NA,6,10,8,2,0.615292912081114,-0.246860077931526,"Neither: 301",0.625,0.8,-1.45959761966982,0.330275070210163,6.4,4.58231472313241,0.447491672180899,0.715986675489438,-1.01147249820772,0.615292912081114,"FN: 246","(-0.8,0.8]"
"IGKV2D-30","IGKV2D-30",0.1445445237456,30.937176386326,0.99,"<=",3.91713986038943,"maximize_metric",0.239130434782609,0.666666666666667,0.739130434782609,0.5,0.543478260869565,"COVID19","HC",0.696969696969697,"class","x",NA,6,17,5,5,0.400902498243444,0.390866308687012,"Neither: 301",0.739130434782609,0.5,0.013862943611199,0.660512525721777,4,4.47390901798624,0.486294458476765,1.11847725449656,0.421939656503588,0.400902498243444,"Neither: 265","(-0.8,0.8]"
