"","protein","thetabar","Q","alphamin","direction","optimal_cutpoint","method","youden","acc","sensitivity","specificity","AUC","pos_class","neg_class","prevalence","outcome","predictor","boot","FN","TP","TN","FP","z_alpha","log_sens_sp","pref","corr_sens","corr_spec","talpha_val_q","inv_talpha_val","d_talpha_val_q","d_talpha_val_p","c1_prev","c1","z_c1","z_alphamin","cat_c1","cat_alphamin"
"IGLV8-61","IGLV8-61",0.194595235784754,23.5745123553537,0.94,"<=",21.9069454753497,"maximize_metric",0.3,0.636363636363636,0.8,0.5,0.566666666666667,"COVID19","HC",0.454545454545455,"class","x",NA,1,4,3,3,-0.408847332801257,0.470003629245736,"Neither: 225",0.8,0.5,0.0831776616671935,0.652602139192908,4,4.49164411057703,1.34749323317311,1.12291102764426,0.466875566974594,-0.408847332801257,"Neither: 197","(-0.8,0.8]"
"IGLV7-46","IGLV7-46",3.43409852962952,70.2677152334901,0.91,">=",19.3496389812692,"maximize_metric",0.5,0.75,0.5,1,0.694444444444444,"COVID19","HC",0.5,"class","x",NA,3,3,6,0,-0.621821038480998,-0.693147180559945,"Neither: 225",0.5,0.9999,-8.38130073304806,0.000227965136706165,9101.0901090119,3992.92870747347,0.438730817918138,0.438730817918138,-2.13197198520112,-0.621821038480998,"FN: 192","(-0.8,0.8]"
"IGLV2-18","IGLV2-18",0.0854567723086088,60.1931880426654,0.94,">=",18.7632228199673,"maximize_metric",0.166666666666667,0.583333333333333,0.333333333333333,0.833333333333333,0.555555555555556,"COVID19","HC",0.5,"class","x",NA,4,2,5,1,-0.408847332801257,-0.916290731874155,"Neither: 225",0.333333333333333,0.833333333333333,-1.49099305087278,0.267880802550784,6.912,4.95687504933062,0.717140487461027,0.717140487461027,-1.07443732122243,-0.408847332801257,"FN: 192","(-0.8,0.8]"
"IGLV3-12","IGLV3-12",-0.153672210179725,72.2053474862321,1.05,"<=",18.795515705699,"maximize_metric",0.4,0.666666666666667,1,0.4,0.5,"COVID19","HC",0.444444444444444,"class","x",NA,0,4,2,3,0.37205625469113,0.916290731874155,"Neither: 225",0.9999,0.4,0.334109290326157,0.74727178733163,4.125,5.16409008183409,1.56487578237397,1.25190062589917,0.956840486911564,0.37205625469113,"FP: 22","(-0.8,0.8]"
"IGLV3-10","IGLV3-10",1.66549969951717,59.6039442102993,1.3,">=",16.7644564483794,"maximize_metric",0.666666666666667,0.833333333333333,1,0.666666666666667,0.722222222222222,"COVID19","HC",0.5,"class","x",NA,0,6,4,2,2.14683713535565,0.405465108108164,"Sensitivity: 86",0.9999,0.666666666666667,-1.14437039959283,0.526397584795394,4.95,3.94764919726009,0.797504888335371,0.797504888335371,-0.769174433571869,2.14683713535565,"Neither: 197","(0.8, Inf]"
"IGLV3-9","IGLV3-9",1.83133153313106,57.4299202902605,0.71,">=",20.2357162091487,"maximize_metric",0.666666666666667,0.833333333333333,0.666666666666667,1,0.75,"COVID19","HC",0.5,"class","x",NA,2,4,6,0,-2.04164574301261,-0.405465108108164,"Specificity: 100",0.666666666666667,0.9999,-6.53921265765274,0.000323265306762061,7101.29012901368,2197.62879663981,0.309468949544953,0.309468949544953,-2.62297111881504,-2.04164574301261,"FN: 192","(-Inf,-0.8]"
"IGKV2-28","IGKV2-28",-1.65735936293661,33.8051159865328,0.84,"<=",19.4193467553898,"maximize_metric",0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.472222222222222,"COVID19","HC",0.5,"class","x",NA,2,4,4,2,-1.11875968506706,0,"Specificity: 100",0.666666666666667,0.666666666666667,-0.452494797075741,0.49809061891153,4.26,3.99761428919433,0.938407110139513,0.938407110139513,-0.233959604165446,-1.11875968506706,"Neither: 197","(-Inf,-0.8]"
"IGKV1-27","IGKV1-27",1.15545546391946,45.4203025097471,0.86,"<=",16.628311025131,"maximize_metric",0.25,0.625,0.5,0.75,0.6875,"COVID19","HC",0.5,"class","x",NA,2,2,3,1,-0.976777214613901,-0.405465108108164,"Specificity: 100",0.5,0.75,-0.864255587968076,0.391726512104544,4.96,4.06956620413156,0.820477057284588,0.820477057284588,-0.68191501829919,-0.976777214613901,"Neither: 197","(-Inf,-0.8]"
"IGLV5-45","IGLV5-45",6.66163040734313,42.1396493642914,1.03,">=",19.7875518440947,"maximize_metric",0.833333333333333,0.916666666666667,1,0.833333333333333,0.944444444444444,"COVID19","HC",0.5,"class","x",NA,0,6,5,1,0.230073784237969,0.182321556793955,"Neither: 225",0.9999,0.833333333333333,-1.66866034321476,0.330320851597723,7.344,4.56663521876852,0.621818521074145,0.621818521074145,-1.43651628154823,0.230073784237969,"FN: 192","(-0.8,0.8]"
"IGHV4-30-2","IGHV4-30-2",-1.16432715073463,21.1939258469226,1.03,">=",16.4470836778539,"maximize_metric",0.266666666666667,0.636363636363636,0.666666666666667,0.6,0.5,"COVID19","HC",0.545454545454545,"class","x",NA,2,4,3,2,0.230073784237969,0.105360515657826,"Neither: 225",0.666666666666667,0.6,-0.448278598777369,0.557265122014037,4.19166666666667,4.03923979321017,0.803029779962261,0.963635735954713,-0.138129073681621,0.230073784237969,"Neither: 197","(-0.8,0.8]"
"IGHV3-49","IGHV3-49",5.46103658986055,28.49166187756,1,">=",16.384091442915,"maximize_metric",0.666666666666667,0.833333333333333,0.666666666666667,1,0.888888888888889,"COVID19","HC",0.5,"class","x",NA,1,2,3,0,0.0171000785582272,-0.405465108108164,"Neither: 225",0.666666666666667,0.9999,-9.21024036697596,0.000230067657841645,10001.0001000111,4347.54771698335,0.434711296221118,0.434711296221118,-2.14724007389285,0.0171000785582272,"FN: 192","(-0.8,0.8]"
"IGKV6D-21","IGKV6D-21",3.78946402184661,54.3648910941653,0.9,">=",19.9791335524276,"maximize_metric",0.5,0.75,0.5,1,0.777777777777778,"COVID19","HC",0.5,"class","x",NA,3,3,6,0,-0.692812273707579,-0.693147180559945,"Neither: 225",0.5,0.9999,-8.2891963292783,0.000230061008847749,9001.10011001199,3913.10604892538,0.434736421226202,0.434736421226202,-2.14714463696405,-0.692812273707579,"FN: 192","(-0.8,0.8]"
"IGHV3-21","IGHV3-21",1.77120390307232,21.4808595272769,1,">=",17.5851672268645,"maximize_metric",0.5,0.75,0.666666666666667,0.833333333333333,0.666666666666667,"COVID19","HC",0.5,"class","x",NA,2,4,5,1,0.0171000785582272,-0.22314355131421,"Neither: 225",0.666666666666667,0.833333333333333,-1.6094379124341,0.297456795232699,7.2,4.78523276702761,0.664615662087168,0.664615662087168,-1.27395202789006,0.0171000785582272,"FN: 192","(-0.8,0.8]"
"IGHV2-26","IGHV2-26",-0.553004038682736,36.4046588687589,1.08,"<=",16.6286984675015,"maximize_metric",0.166666666666667,0.583333333333333,0.5,0.666666666666667,0.472222222222222,"COVID19","HC",0.5,"class","x",NA,3,3,4,2,0.585029960370872,-0.287682072451781,"Neither: 225",0.5,0.666666666666667,-0.813473372302047,0.47029660260078,4.62,4.03324416763668,0.872996573081533,0.872996573081533,-0.482420479974293,0.585029960370872,"Neither: 197","(-0.8,0.8]"
"IGHV3-74","IGHV3-74",3.4703929014062,30.7462528987733,0.87,">=",16.2043624975781,"maximize_metric",0.5,0.714285714285714,0.5,1,0.75,"COVID19","HC",0.571428571428571,"class","x",NA,2,2,3,0,-0.905785979387321,-0.693147180559945,"Specificity: 100",0.5,0.9999,-8.012883117969,0.000227243686569987,8701.13011301226,3829.61945771778,0.330096729503335,0.440128972671114,-2.12666111679879,-0.905785979387321,"FN: 192","(-Inf,-0.8]"
"IGLV9-49","IGLV9-49",4.54898311885949,61.6836633649628,0.87,">=",21.3187235828408,"maximize_metric",0.666666666666667,0.818181818181818,0.666666666666667,1,0.8,"COVID19","HC",0.545454545454545,"class","x",NA,2,4,5,0,-0.905785979387321,-0.405465108108164,"Specificity: 100",0.666666666666667,0.9999,-8.012883117969,0.00025605860000809,8701.13011301226,3398.79004375982,0.325512318478132,0.390614782173759,-2.31473997517958,-0.905785979387321,"FN: 192","(-Inf,-0.8]"
