"","protein","thetabar","Q","alphamin","direction","optimal_cutpoint","method","youden","acc","sensitivity","specificity","AUC","pos_class","neg_class","prevalence","outcome","predictor","boot","FN","TP","TN","FP","z_alpha","log_sens_sp","pref","corr_sens","corr_spec","talpha_val_q","inv_talpha_val","d_talpha_val_q","d_talpha_val_p","c1_prev","c1","z_c1","z_alphamin","cat_c1","cat_alphamin"
"SERPINB6","SERPINB6",0.994050618881521,71.3842824317029,1.33,">=",12.7140734515778,"maximize_metric",0.405906593406594,0.626168224299065,0.8125,0.593406593406593,0.664835164835165,"COVID19","HC",0.149532710280374,"class","x",NA,3,13,54,37,0.415957929712249,0.314236095174331,"Neither: 216",0.8125,0.593406593406593,-0.847265761682366,0.560001049693283,4.40015515515516,3.89772645363962,5.03807670943222,0.885815685174896,-0.576642509377852,0.415957929712249,"Neither: 186","(-0.8,0.8]"
"NRP2","NRP2",2.37486464793624,169.250556756403,1.66,"<=",14.7855541743695,"maximize_metric",0.546428571428571,0.918032786885246,0.6,0.946428571428571,0.785714285714286,"COVID19","HC",0.0819672131147541,"class","x",NA,2,3,53,3,1.47578254310019,-0.455765846582963,"Sensitivity: 94",0.6,0.946428571428571,-4.83966708318905,0.092340322134703,31.3459119496855,18.351568391858,6.55707724563015,0.585453325502692,-2.0935032539497,1.47578254310019,"FN: 159","(0.8, Inf]"
"IGKV3-7","IGKV3-7",0.411677000110655,474.692471230057,1.67,">=",16.6095390958352,"maximize_metric",0.166584585077567,0.331058020477816,0.903225806451613,0.263358778625954,0.564639251415907,"COVID19","HC",0.10580204778157,"class","x",NA,3,28,69,193,1.50789844047558,1.2324553048539,"Sensitivity: 94",0.903225806451613,0.263358778625954,-0.0701441660858061,0.826785609106845,3.52009011038522,3.92502414965473,9.42384533021643,1.11503513449126,0.580939236017324,1.50789844047558,"Neither: 186","(0.8, Inf]"
"IGLV8-61","IGLV8-61",0.658863240402537,336.019437577343,1.38,"<=",12.9933628852256,"maximize_metric",0.288536269430052,0.607655502392344,0.6875,0.601036269430052,0.589054404145078,"COVID19","HC",0.076555023923445,"class","x",NA,5,11,116,77,0.576537416589209,0.13440654835711,"Neither: 216",0.6875,0.601036269430052,-0.952418979895575,0.546189216213356,4.49051276309897,3.89280510472831,10.456926425342,0.866895454950633,-0.672191613922,0.576537416589209,"Neither: 186","(-0.8,0.8]"
"IGLV7-46","IGLV7-46",0.048711840303743,476.678702945636,0.51,"<=",15.3202365393111,"maximize_metric",0.164507772020725,0.457013574660633,0.75,0.414507772020725,0.540525536639526,"COVID19","HC",0.126696832579186,"class","x",NA,7,21,80,113,-2.2175456550699,0.592981481779223,"Specificity: 84",0.75,0.414507772020725,1.039184487006,0.679097967245778,4.46568694690266,5.39415782350283,8.32596635758774,1.20791221768112,1.04997803873145,-2.2175456550699,"FP: 49","(-Inf,-0.8]"
"IGLV5-37","IGLV5-37",1.29053880303383,432.342423229911,1.39,">=",11.7466035077351,"maximize_metric",0.319444444444444,0.5875,0.75,0.569444444444444,0.685763888888889,"COVID19","HC",0.1,"class","x",NA,2,6,41,31,0.608653313964601,0.275411979859967,"Neither: 216",0.75,0.569444444444444,-0.827836319287797,0.576794627962948,4.29960660896931,3.8512504476019,8.06149426696643,0.895721585218492,-0.526616697447951,0.608653313964601,"Neither: 186","(-0.8,0.8]"
"IGLV3-25;IGLV3-27","IGLV3-25;IGLV3-27",0.485482246852053,163.962192271109,1.02,">=",17.7668786401273,"maximize_metric",0.19244028564393,0.761092150170648,0.387096774193548,0.805343511450382,0.570549125831076,"COVID19","HC",0.10580204778157,"class","x",NA,19,12,211,51,-0.579634888924906,-0.732594184412116,"Neither: 216",0.387096774193548,0.805343511450382,-1.45709260557818,0.339371565089361,6.45687203791469,4.48899127746012,5.87578883091865,0.695226922742283,-1.53913532108056,-0.579634888924906,"FN: 159","(-0.8,0.8]"
"IGLV2-18","IGLV2-18",0.220721583265293,167.297303066301,1.2,"<=",15.870702062305,"maximize_metric",0.138594164456233,0.286821705426357,0.923076923076923,0.21551724137931,0.540450928381963,"COVID19","HC",0.10077519379845,"class","x",NA,2,24,50,182,-0.00154873616784884,1.45467165856463,"Neither: 216",0.923076923076923,0.21551724137931,0.936494671483114,0.834722498548354,5.24167032967033,6.27794774441371,10.6871678528444,1.19769984557738,0.998404511442521,-0.00154873616784884,"FP: 49","(-0.8,0.8]"
"IGLV3-10","IGLV3-10",0.977376765950056,107.66148608693,1.14,">=",16.103964664077,"maximize_metric",0.294913151364764,0.52233676975945,0.806451612903226,0.488461538461538,0.66060794044665,"COVID19","HC",0.106529209621993,"class","x",NA,6,25,127,133,-0.194244120420202,0.501383164939991,"Neither: 216",0.806451612903226,0.488461538461538,-0.147993744865937,0.641076225155554,3.98920134983127,4.17431159573804,8.77628182908694,1.04640283346806,0.234339071651376,-0.194244120420202,"Neither: 186","(-0.8,0.8]"
"IGLV3-9","IGLV3-9",0.197586901845488,824.059802058576,0.71,">=",15.031959380058,"maximize_metric",0.201945525291829,0.522648083623693,0.7,0.501945525291829,0.562516212710765,"COVID19","HC",0.104529616724739,"class","x",NA,9,21,129,128,-1.57522770756206,0.332588736594815,"Specificity: 84",0.7,0.501945525291829,0.394247614995599,0.621785585442326,3.995546875,4.55263643429194,9.76109654253548,1.13942761196912,0.704123750846029,-1.57522770756206,"Neither: 186","(-Inf,-0.8]"
