"","protein","thetabar","Q","alphamin","direction","optimal_cutpoint","method","youden","acc","sensitivity","specificity","AUC","pos_class","neg_class","prevalence","outcome","predictor","boot","FN","TP","TN","FP","z_alpha","log_sens_sp","pref","corr_sens","corr_spec","talpha_val_q","inv_talpha_val","d_talpha_val_q","d_talpha_val_p","c1_prev","c1","z_c1","z_alphamin","cat_c1","cat_alphamin"
"A1BG","A1BG",1.85898812685748,1654.94292628217,0.61,">=",10.6321097235489,"maximize_metric",0.598039215686275,0.687022900763359,0.598039215686274,1,0.738336713995943,"COVID19","HC",0.778625954198473,"class","x",NA,41,61,29,0,-0.0818977211553137,-0.51409894911096,"Neither: 120",0.598039215686274,0.9999,-5.61816861995508,0.000308265851993121,6101.39013901457,1980.20188651098,0.0922738200228548,0.32454929801142,-3.40960267288895,-0.0818977211553137,"FN: 219","(-0.8,0.8]"
"A2M","A2M",1.89482587658167,2623.73651865742,0.7,"<=",13.2194908211014,"maximize_metric",0.676470588235294,0.748091603053435,0.676470588235294,1,0.725490196078431,"COVID19","HC",0.778625954198473,"class","x",NA,33,69,29,0,0.318534886608887,-0.390866308687012,"Neither: 120",0.676470588235294,0.9999,-6.44710825388297,0.000291056552667065,7001.30013001377,2406.33126882312,0.0977179945292969,0.343697773861665,-3.31294322128348,0.318534886608887,"FN: 219","(-0.8,0.8]"
"A2M;PZP","A2M;PZP",1.57590576777971,2102.63709338791,0.7,"<=",12.6066735935863,"maximize_metric",0.568627450980392,0.66412213740458,0.568627450980392,1,0.708586883029074,"COVID19","HC",0.778625954198473,"class","x",NA,44,58,29,0,0.318534886608887,-0.564529802737852,"Neither: 120",0.568627450980392,0.9999,-6.44710825388297,0.000258171036572833,7001.30013001377,2712.68116793696,0.110158466942016,0.38745391820985,-3.09206689931704,0.318534886608887,"FN: 219","(-0.8,0.8]"
"ACTB;ACTG1","ACTB;ACTG1",4.32308921094949,300.89446985749,0.46,">=",6.60787782627822,"maximize_metric",0.747474747474747,0.803149606299213,0.747474747474748,1,0.922077922077922,"COVID19","HC",0.779527559055118,"class","x",NA,25,74,28,0,-0.749285400762316,-0.29105475693042,"Neither: 120",0.747474747474748,0.9999,-4.23660256340858,0.000572244339670957,4601.54015401591,805.393306521418,0.0495025574613421,0.17502689959546,-4.16437569747076,-0.749285400762316,"FN: 219","(-0.8,0.8]"
"ACTBL2","ACTBL2",5.6083886381165,85.1606938322129,0.59,">=",4.75576353978899,"maximize_metric",0.894736842105263,0.906976744186046,0.894736842105263,1,0.952631578947368,"COVID19","HC",0.883720930232558,"class","x",NA,4,34,5,0,-0.170882745102914,-0.111225635110224,"Neither: 120",0.894736842105263,0.9999,-5.43395981241554,0.000464771978024597,5901.41014101475,1270.85035487595,0.0283351178721175,0.215346895828093,-3.96084468251893,-0.170882745102914,"FN: 219","(-0.8,0.8]"
"AFM","AFM",2.81970149375705,732.765779027609,0.41,"<=",8.75819541059221,"maximize_metric",0.818181818181818,0.863247863247863,0.818181818181818,1,0.861677115987461,"COVID19","HC",0.752136752136752,"class","x",NA,16,72,29,0,-0.971747960631316,-0.200670695462151,"Specificity: 54",0.818181818181818,0.9999,-3.77608054455975,0.000818819673007827,4101.59015901635,502.312052033654,0.0403586528866622,0.122467636345734,-4.42968921914412,-0.971747960631316,"FN: 219","(-Inf,-0.8]"
"AGT","AGT",1.70977246116136,1952.89061459918,0.65,">=",9.66818777204165,"maximize_metric",0.62237998647735,0.725190839694656,0.656862745098039,0.96551724137931,0.724814063556457,"COVID19","HC",0.778625954198473,"class","x",NA,35,67,28,1,0.096072326739887,-0.385188874082035,"Neither: 120",0.656862745098039,0.96551724137931,-2.14136900774599,0.0925168935839665,20.2482142857143,8.51337489076182,0.119539891149557,0.420450651629475,-2.9255029293146,0.096072326739887,"FN: 219","(-0.8,0.8]"
"AHSG","AHSG",0.624636904571101,1029.97965171385,0.4,"<=",12.4003014632463,"maximize_metric",0.431372549019608,0.557251908396947,0.431372549019608,1,0.609533468559838,"COVID19","HC",0.778625954198473,"class","x",NA,58,44,29,0,-1.01624047260512,-0.84078317936601,"Specificity: 54",0.431372549019608,0.9999,-3.68397614078998,0.00040225677406557,4001.60016001644,995.990361554985,0.070765123681138,0.248898021223313,-3.79148220130574,-1.01624047260512,"FN: 219","(-Inf,-0.8]"
"ALB","ALB",2.96645853568367,273.749288918512,0.35,"<=",17.9392918198666,"maximize_metric",0.774509803921569,0.824427480916031,0.774509803921569,1,0.882691007437458,"COVID19","HC",0.778625954198473,"class","x",NA,23,79,29,0,-1.23870303247412,-0.25552496081725,"Specificity: 54",0.774509803921569,0.9999,-3.22345412194115,0.00104963508850488,3501.65016501689,335.100952244218,0.0272082577236571,0.0956980099245871,-4.56481942113971,-1.23870303247412,"FN: 219","(-Inf,-0.8]"
"AMBP","AMBP",2.21105124146652,689.057379132381,0.59,">=",11.6010009580747,"maximize_metric",0.651453684922245,0.786259541984733,0.754901960784314,0.896551724137931,0.811359026369168,"COVID19","HC",0.778625954198473,"class","x",NA,25,77,26,3,-0.170882745102914,-0.171968099465595,"Neither: 120",0.754901960784314,0.896551724137931,-1.1845522877072,0.253308172810874,7.27602564102564,4.21750792331645,0.164800874697508,0.579644455832613,-2.12190968598778,-0.170882745102914,"FN: 219","(-0.8,0.8]"
"APOA1","APOA1",2.88771563772822,277.624110336224,0.35,"<=",15.398417364144,"maximize_metric",0.735294117647059,0.793893129770992,0.735294117647059,1,0.876943881000676,"COVID19","HC",0.778625954198473,"class","x",NA,27,75,29,0,-1.23870303247412,-0.307484699747961,"Specificity: 54",0.735294117647059,0.9999,-3.22345412194115,0.000962340933588776,3501.65016501689,365.348058890444,0.0296641477099849,0.104335967807533,-4.52121593653412,-1.23870303247412,"FN: 219","(-Inf,-0.8]"
"APOA2","APOA2",1.59227376215897,458.648580875812,0.35,"<=",12.0362412415508,"maximize_metric",0.524002704530088,0.687022900763359,0.627450980392157,0.896551724137931,0.751521298174442,"COVID19","HC",0.778625954198473,"class","x",NA,38,64,26,3,-1.23870303247412,-0.356890437959607,"Specificity: 54",0.627450980392157,0.896551724137931,-0.613860407719191,0.273420741848545,5.22371794871795,3.55099381542111,0.193271591377326,0.679782838637493,-1.6164218736795,-1.23870303247412,"FN: 219","(-Inf,-0.8]"
"APOA4","APOA4",-0.444770531220518,1831.37396550152,0.99,">=",10.8896678821165,"maximize_metric",0.259634888438134,0.442748091603053,0.294117647058824,0.96551724137931,0.493914807302231,"COVID19","HC",0.778625954198473,"class","x",NA,72,30,28,1,1.60881773384909,-1.18868411181085,"Sensitivity: 52",0.294117647058824,0.96551724137931,-3.29818063867723,0.0528813878698911,29.7560714285715,19.7875348446302,0.189066213375936,0.664991509115361,-1.69108691810949,1.60881773384909,"FN: 219","(0.8, Inf]"
