"","protein","thetabar","Q","alphamin","direction","optimal_cutpoint","method","youden","acc","sensitivity","specificity","AUC","pos_class","neg_class","prevalence","outcome","predictor","boot","FN","TP","TN","FP","z_alpha","log_sens_sp","pref","corr_sens","corr_spec","talpha_val_q","inv_talpha_val","d_talpha_val_q","d_talpha_val_p","c1_prev","c1","z_c1","z_alphamin","cat_c1","cat_alphamin"
"TF","TF",2.6528691571567,117.571333771764,0.47,"<=",31.2386353564604,"maximize_metric",0.61,0.753846153846154,0.71,0.9,0.851666666666667,"COVID19","HC",0.769230769230769,"class","x",NA,29,71,27,3,-0.566477759516144,-0.23712979328895,"Neither: 107",0.71,0.9,-0.921013404750727,0.26136000999239,6.4,3.86966026631317,0.18139032498343,0.604634416611433,-1.41057353114213,-0.566477759516144,"FN: 125","(-0.8,0.8]"
"C4B","C4B",1.73252483068769,123.612889264295,0.37,">=",25.5886622589904,"maximize_metric",0.53,0.746153846153846,0.73,0.8,0.77,"COVID19","HC",0.769230769230769,"class","x",NA,27,73,24,6,-0.948282563730643,-0.0915671935254905,"Specificity: 44",0.73,0.8,-0.231768038958455,0.405692694856479,3.8875,3.6547091834262,0.282035435376941,0.940118117923138,-0.213644792064718,-0.948282563730643,"Neither: 60","(-Inf,-0.8]"
"SERPINF2","SERPINF2",2.0811933029296,150.519539638993,0.71,">=",23.783704675736,"maximize_metric",0.496666666666667,0.846153846153846,0.93,0.566666666666667,0.798666666666667,"COVID19","HC",0.769230769230769,"class","x",NA,7,93,17,13,0.349853770598654,0.495413344771104,"Neither: 107",0.93,0.566666666666667,0.138963311329223,0.636591207278891,3.91493212669683,4.66503692291807,0.357480291249963,1.19160097083321,0.68358822657773,0.349853770598654,"Neither: 60","(-0.8,0.8]"
"A2M","A2M",2.28349368705039,452.855095228799,0.41,">=",30.3942384138456,"maximize_metric",0.443333333333333,0.823076923076923,0.91,0.533333333333333,0.768333333333333,"COVID19","HC",0.769230769230769,"class","x",NA,9,91,16,14,-0.795560642044843,0.534297979951133,"Neither: 107",0.91,0.533333333333333,0.687010347142347,0.653367560263288,3.85982142857143,5.21450948809422,0.405291507749169,1.35097169249723,1.25218633188461,-0.795560642044843,"FP: 5","(-0.8,0.8]"
"APOB","APOB",3.33551209382609,722.718616774082,0.74,">=",30.2854253613677,"maximize_metric",0.563333333333333,0.7,0.63,0.933333333333333,0.839333333333333,"COVID19","HC",0.769230769230769,"class","x",NA,37,63,28,2,0.464395211863004,-0.393042588109607,"Neither: 107",0.63,0.933333333333333,-1.91702613074208,0.147224054788334,12.45,6.50388013330088,0.156720003212069,0.522400010706898,-1.70396699074464,0.464395211863004,"FN: 125","(-0.8,0.8]"
"LRG1","LRG1",6.32777410327814,242.735638777098,0.73,">=",25.7420333699879,"maximize_metric",0.883333333333333,0.946153846153846,0.95,0.933333333333333,0.977,"COVID19","HC",0.769230769230769,"class","x",NA,5,95,28,2,0.426214731441554,0.0176995770994009,"Neither: 107",0.95,0.933333333333333,-1.88925570001619,0.190298896722257,12.3107142857143,5.40455060132108,0.131703582973882,0.439011943246272,-2.00147644962298,0.426214731441554,"FN: 125","(-0.8,0.8]"
"GC","GC",1.84594583479995,97.0509351045311,0.39,">=",27.9985339631888,"maximize_metric",0.586666666666667,0.753846153846154,0.72,0.866666666666667,0.783666666666667,"COVID19","HC",0.769230769230769,"class","x",NA,28,72,26,4,-0.871921602887743,-0.185403223331363,"Specificity: 44",0.72,0.866666666666667,-0.555419819749999,0.326104711224312,4.78269230769231,3.58503008445149,0.224875228457753,0.749584094859178,-0.893426394227859,-0.871921602887743,"FN: 125","(-Inf,-0.8]"
"HBA1","HBA1",9.06269183153413,196.729849294717,0.98,">=",25.8288138361494,"maximize_metric",1,1,1,1,1,"COVID19","HC",0.769230769230769,"class","x",NA,0,100,30,0,1.3807267419778,0,"Sensitivity: 39",0.9999,0.9999,-9.02603155943643,0.000277381466139018,9801.02010201128,3534.06094949843,0.108174279188751,0.36058093062917,-2.28130027614363,1.3807267419778,"FN: 125","(0.8, Inf]"
"ITIH1","ITIH1",0.577655042544337,42.1429346472865,0.71,">=",26.9536554511799,"maximize_metric",0.193333333333333,0.630769230769231,0.66,0.533333333333333,0.593,"COVID19","HC",0.769230769230769,"class","x",NA,34,66,16,14,0.349853770598654,0.213093215460708,"Neither: 107",0.66,0.533333333333333,0.269785733701566,0.618186167355758,3.94017857142857,4.527131244707,0.344689802452198,1.14896600817399,0.531476478982298,0.349853770598654,"Neither: 60","(-0.8,0.8]"
"PLG","PLG",1.46479574033903,274.978764838047,0.48,">=",26.3450429637342,"maximize_metric",0.456666666666667,0.707692307692308,0.69,0.766666666666667,0.728666666666667,"COVID19","HC",0.769230769230769,"class","x",NA,31,69,23,7,-0.528297279094694,-0.105360515657826,"Neither: 107",0.69,0.766666666666667,-0.294669059737116,0.420382108255752,4.03975155279503,3.764235660534,0.279539640842239,0.931798802807464,-0.243326196295261,-0.528297279094694,"Neither: 60","(-0.8,0.8]"
"FN1","FN1",0.793308077498147,187.806012990263,0.91,">=",26.3135808741779,"maximize_metric",0.226666666666667,0.584615384615385,0.56,0.666666666666667,0.657666666666667,"COVID19","HC",0.769230769230769,"class","x",NA,44,56,20,10,1.11346337902765,-0.174353387144778,"Sensitivity: 39",0.56,0.666666666666667,-0.557780214850081,0.475482683450362,4.365,3.99194574745047,0.274360532470822,0.914535108236075,-0.304919090657516,1.11346337902765,"Neither: 60","(0.8, Inf]"
"CP","CP",4.78787131033329,716.123305430843,0.58,">=",28.7632276674498,"maximize_metric",0.716666666666667,0.853846153846154,0.85,0.866666666666667,0.916,"COVID19","HC",0.769230769230769,"class","x",NA,15,85,26,4,-0.146492474880195,-0.0194180858571016,"Neither: 107",0.85,0.866666666666667,-0.965440553944758,0.32041966169776,5.98846153846154,3.89965096656484,0.195358237246023,0.651194124153409,-1.24445919586403,-0.146492474880195,"FN: 125","(-0.8,0.8]"
"FGA","FGA",4.61118273591261,110.70249354066,0.45,">=",30.9487986165478,"maximize_metric",0.84,0.876923076923077,0.84,1,0.952,"COVID19","HC",0.769230769230769,"class","x",NA,16,84,30,0,-0.642838720359044,-0.174353387144778,"Neither: 107",0.84,0.9999,-4.14449815963882,0.000700517157288394,4501.550155016,643.933639678063,0.0429141263011725,0.143047087670575,-3.0574110300821,-0.642838720359044,"FN: 125","(-0.8,0.8]"
"AHSG","AHSG",3.53413814622604,291.698155370355,0.41,"<=",26.1550040941883,"maximize_metric",0.72,0.838461538461538,0.82,0.9,0.885666666666667,"COVID19","HC",0.769230769230769,"class","x",NA,18,82,27,3,-0.795560642044843,-0.0930904230660121,"Neither: 107",0.82,0.9,-0.776536668231615,0.296824541582299,5.86666666666667,3.64245846709031,0.186262080703482,0.62087360234494,-1.35263584884146,-0.795560642044843,"FN: 125","(-0.8,0.8]"
"ITIH4","ITIH4",4.49833754397921,111.020267371295,0.48,">=",28.7710141555259,"maximize_metric",0.766666666666667,0.838461538461538,0.8,0.966666666666667,0.943666666666667,"COVID19","HC",0.769230769230769,"class","x",NA,20,80,29,1,-0.528297279094694,-0.189241999638528,"Neither: 107",0.8,0.966666666666667,-1.5810443846508,0.134655559878051,15.9724137931035,5.32117642501935,0.0999443758585241,0.333147919528414,-2.37917495457821,-0.528297279094694,"FN: 125","(-0.8,0.8]"
"C3","C3",2.53529946997375,118.10007031714,0.35,">=",31.1350128160643,"maximize_metric",0.683333333333333,0.792307692307692,0.75,0.933333333333333,0.855333333333333,"COVID19","HC",0.769230769230769,"class","x",NA,25,75,28,2,-1.02464352457354,-0.218689200964829,"Specificity: 44",0.75,0.933333333333333,-0.833979332432304,0.241378007383109,7.01785714285714,3.62500409147537,0.154962006963833,0.516540023212776,-1.72487407927062,-1.02464352457354,"FN: 125","(-Inf,-0.8]"
"C9","C9",4.81233388268451,88.46185583865,0.55,">=",26.2105821712908,"maximize_metric",0.833333333333333,0.907692307692308,0.9,0.933333333333333,0.958,"COVID19","HC",0.769230769230769,"class","x",NA,10,90,28,2,-0.261033916144544,-0.0363676441708748,"Neither: 107",0.9,0.933333333333333,-1.38938794695014,0.217895308583705,9.80357142857143,4.3781197117887,0.13397524801102,0.446584160036734,-1.97446052050454,-0.261033916144544,"FN: 125","(-0.8,0.8]"
"C7","C7",1.12675719203766,193.620393307287,0.29,">=",25.2385121800617,"maximize_metric",0.333333333333333,0.523076923076923,0.4,0.933333333333333,0.677,"COVID19","HC",0.769230769230769,"class","x",NA,60,40,28,2,-1.25372640710224,-0.847297860387204,"Specificity: 44",0.4,0.933333333333333,-0.667356748076954,0.183707249036047,6.18214285714286,3.67343525107418,0.178260289480203,0.594200964934009,-1.44779768871419,-1.25372640710224,"FN: 125","(-Inf,-0.8]"
"C5","C5",4.94157501566821,461.029830843195,0.64,">=",26.3931427034107,"maximize_metric",0.743333333333333,0.838461538461538,0.81,0.933333333333333,0.935,"COVID19","HC",0.769230769230769,"class","x",NA,19,81,28,2,0.0825904076485049,-0.141728159828701,"Neither: 107",0.81,0.933333333333333,-1.63932182348316,0.185168531114267,11.0571428571429,5.12536762798072,0.139060361999477,0.463534539998256,-1.91398546065841,0.0825904076485049,"FN: 125","(-0.8,0.8]"
"ITIH2","ITIH2",0.126565020524558,47.2570238377066,1.14,">=",26.760215788247,"maximize_metric",0.166666666666667,0.592307692307692,0.6,0.566666666666667,0.532333333333333,"COVID19","HC",0.769230769230769,"class","x",NA,40,60,17,13,1.991614428721,0.0571584138399486,"Sensitivity: 39",0.6,0.566666666666667,-0.464856475247597,0.580595405676291,4.14841628959276,4.0140275261864,0.290281440866228,0.967604802887427,-0.115578617621395,1.991614428721,"Neither: 60","(0.8, Inf]"
