"","protein","thetabar","Q","alphamin","direction","optimal_cutpoint","method","youden","acc","sensitivity","specificity","AUC","pos_class","neg_class","prevalence","outcome","predictor","boot","FN","TP","TN","FP","z_alpha","log_sens_sp","pref","corr_sens","corr_spec","talpha_val_q","inv_talpha_val","d_talpha_val_q","d_talpha_val_p","c1_prev","c1","z_c1","z_alphamin","cat_c1","cat_alphamin"
"IGLV4-69","IGLV4-69",1.6541484935358,137.635033141806,0.4,">=",27.79958855,"maximize_metric",0.522875816993464,0.751937984496124,0.745098039215686,0.777777777777778,0.750181554103123,"COVID19","HC",0.790697674418605,"class","x",NA,26,76,21,6,-1.36896934085443,-0.0429250447170339,"Specificity: 129",0.745098039215686,0.777777777777778,-0.19952787346106,0.427484569419641,3.85714285714286,3.73039078912347,0.256007211018278,0.967138352735715,-0.116069490526719,-1.36896934085443,"Neither: 319","(-Inf,-0.8]"
"IGLV8-61","IGLV8-61",1.05154349250987,155.967610953478,0.42,">=",29.50347287,"maximize_metric",0.269063180827887,0.465116279069767,0.343137254901961,0.925925925925926,0.663035584604212,"COVID19","HC",0.790697674418605,"class","x",NA,67,35,25,2,-1.30371154664719,-0.992663710658729,"Specificity: 129",0.343137254901961,0.925925925925926,-0.971531222891558,0.157302052450865,7.3764,4.54495277719728,0.163097952272173,0.616147819694876,-1.35579104258745,-1.30371154664719,"FN: 106","(-Inf,-0.8]"
"IGLV10-54","IGLV10-54",0.224424533385698,102.360521010044,1.17,"<=",25.71489425,"maximize_metric",0.222222222222222,0.643410852713178,0.666666666666667,0.555555555555556,0.56717501815541,"COVID19","HC",0.790697674418605,"class","x",NA,34,68,15,12,1.14345573612419,0.182321556793955,"Sensitivity: 113",0.666666666666667,0.555555555555556,-0.460925421104346,0.604871156670197,4.1265,4.03487687686733,0.258828460893408,0.97779640781954,-0.0784245418838129,1.14345573612419,"Neither: 319","(0.8, Inf]"
"IGLV7-46","IGLV7-46",0.091725787594006,122.514854756254,1.18,">=",25.41425554,"maximize_metric",0.221132897603486,0.534883720930233,0.480392156862745,0.740740740740741,0.533769063180828,"COVID19","HC",0.790697674418605,"class","x",NA,53,49,20,7,1.17608463322781,-0.433047922723306,"Sensitivity: 113",0.480392156862745,0.740740740740741,-1.34682776019056,0.366093128340627,5.65842857142857,4.51678897608333,0.211299055245354,0.798240875371338,-0.712626443112518,1.17608463322781,"Neither: 319","(0.8, Inf]"
"IGLV5-37","IGLV5-37",0.846049919282198,48.3947949863106,0.6,"<=",23.23791831,"maximize_metric",0.265795206971678,0.527131782945736,0.450980392156863,0.814814814814815,0.627450980392157,"COVID19","HC",0.790697674418605,"class","x",NA,56,46,22,5,-0.716391398782061,-0.591537004149163,"Neither: 255",0.450980392156863,0.814814814814815,-0.725127194437718,0.306279075912139,4.95818181818182,3.97710028196298,0.212328203754576,0.802128769739509,-0.69889414555281,-0.716391398782061,"Neither: 319","(-0.8,0.8]"
"IGLV2-18","IGLV2-18",0.374791743083773,61.4241887256548,0.82,"<=",25.98567902,"maximize_metric",0.208061002178649,0.589147286821705,0.57843137254902,0.62962962962963,0.548293391430646,"COVID19","HC",0.790697674418605,"class","x",NA,43,59,17,10,0.00144433749754439,-0.0848118474304385,"Neither: 255",0.57843137254902,0.62962962962963,-0.268570697969659,0.517697096356792,4.08811764705882,4.03053306452749,0.260977276905432,0.985914157198298,-0.0497521193774695,0.00144433749754439,"Neither: 319","(-0.8,0.8]"
"IGLV3-10","IGLV3-10",0.939096054057793,129.427512646455,0.35,">=",30.59681565,"maximize_metric",0.282135076252723,0.604651162790698,0.57843137254902,0.703703703703704,0.641249092229484,"COVID19","HC",0.790697674418605,"class","x",NA,43,59,19,8,-1.53211382637252,-0.196037482540663,"Specificity: 129",0.57843137254902,0.703703703703704,0.154068149768944,0.463608342556965,3.52598684210526,3.83105807017455,0.287608448988261,1.08652080728899,0.305597158329534,-1.53211382637252,"Neither: 319","(-Inf,-0.8]"
"IGLV3-9","IGLV3-9",-0.228795755758827,127.290236443572,1.34,"<=",30.40608573,"maximize_metric",0.163398692810457,0.596899224806202,0.607843137254902,0.555555555555556,0.511256354393609,"COVID19","HC",0.790697674418605,"class","x",NA,40,62,15,12,1.6981469868857,0.0899482366629394,"Sensitivity: 113",0.607843137254902,0.555555555555556,-0.698707290894482,0.594319543410274,4.203,3.88157556358639,0.244462499281168,0.923524997284413,-0.270114718590957,1.6981469868857,"Neither: 319","(0.8, Inf]"
"IGKV2D-28","IGKV2D-28",0.278741056821173,77.9784947904311,1.07,">=",30.65027267,"maximize_metric",0.183006535947712,0.418604651162791,0.294117647058824,0.888888888888889,0.567901234567901,"COVID19","HC",0.790697674418605,"class","x",NA,72,30,24,3,0.817166765088006,-1.10599239596573,"Sensitivity: 113",0.294117647058824,0.888888888888889,-2.24149207458932,0.156923558387656,10.67625,7.92170935016879,0.196410075005735,0.741993616688331,-0.911295444893103,0.817166765088006,"FN: 106","(0.8, Inf]"
"IGHV3-64","IGHV3-64",0.808405492091184,180.278558797727,0.43,">=",24.03305057,"maximize_metric",0.223311546840959,0.751937984496124,0.852941176470588,0.37037037037037,0.603485838779956,"COVID19","HC",0.790697674418605,"class","x",NA,15,87,10,17,-1.27108264954357,0.834187078380596,"Specificity: 129",0.852941176470588,0.37037037037037,1.36047716918846,0.758568159020569,4.92194117647059,7.06972794845841,0.380215550632376,1.43636985794453,1.54128691984001,-1.27108264954357,"FP: 72","(-Inf,-0.8]"
