"","protein","thetabar","Q","alphamin","direction","optimal_cutpoint","method","youden","acc","sensitivity","specificity","AUC","pos_class","neg_class","prevalence","outcome","predictor","boot","FN","TP","TN","FP","z_alpha","log_sens_sp","pref","corr_sens","corr_spec","talpha_val_q","inv_talpha_val","d_talpha_val_q","d_talpha_val_p","c1_prev","c1","z_c1","z_alphamin","cat_c1","cat_alphamin"
"APOB","APOB",1.83080309470575,113.120111875061,0.78,">=",-1.03461206232307,"maximize_metric",0.569230769230769,0.777777777777778,0.769230769230769,0.8,0.738461538461539,"COVID19","HC",0.722222222222222,"class","x",NA,3,10,4,1,-0.518859962976911,-0.0392207131532813,"Neither: 137",0.769230769230769,0.8,-0.983126439095263,0.371604157023544,5.425,4.04045915247746,0.286455806627257,0.744785097230868,-0.900715105693146,-0.518859962976911,"FN: 157","(-0.8,0.8]"
"C3","C3",7.71634494764555,33.734547986242,0.92,">=",-0.888068911807275,"maximize_metric",0.923076923076923,0.944444444444444,0.923076923076923,1,0.984615384615385,"COVID19","HC",0.722222222222222,"class","x",NA,1,12,5,0,0.246774860440239,-0.0800427076735364,"Neither: 137",0.923076923076923,0.9999,-8.47340513681783,0.000279088785767905,9201.08010801181,3297.52231893418,0.137840101388785,0.358384263610842,-2.26441708358593,0.246774860440239,"FN: 157","(-0.8,0.8]"
"ALB","ALB",8.66378710788027,41.6462894396015,0.98,"<=",2.01046212699693,"maximize_metric",1,1,1,1,1,"COVID19","HC",0.722222222222222,"class","x",NA,0,13,5,0,0.57490407047616,0,"Neither: 137",0.9999,0.9999,-9.02603155943643,0.000277381466139018,9801.02010201128,3534.06094949843,0.138684973318912,0.36058093062917,-2.25666451449957,0.57490407047616,"FN: 157","(-0.8,0.8]"
"A2M","A2M",5.22894322378269,68.9906030041911,0.71,">=",-1.25272459584408,"maximize_metric",0.769230769230769,0.833333333333333,0.769230769230769,1,0.892307692307692,"COVID19","HC",0.722222222222222,"class","x",NA,3,10,5,0,-0.901677374685487,-0.262364264467491,"Specificity: 57",0.769230769230769,0.9999,-6.53921265765274,0.000323265306762061,7101.29012901368,2197.62879663981,0.119026519055751,0.309468949544953,-2.43705105519505,-0.901677374685487,"FN: 157","(-Inf,-0.8]"
"CP","CP",8.66378710788027,41.6462894396015,0.98,">=",-2.7990821473289,"maximize_metric",1,1,1,1,1,"COVID19","HC",0.722222222222222,"class","x",NA,0,13,5,0,0.57490407047616,0,"Neither: 137",0.9999,0.9999,-9.02603155943643,0.000277381466139018,9801.02010201128,3534.06094949843,0.138684973318912,0.36058093062917,-2.25666451449957,0.57490407047616,"FN: 157","(-0.8,0.8]"
"C4B","C4B",7.0491559184994,42.3934107498594,0.85,">=",-2.38173474733147,"maximize_metric",0.923076923076923,0.944444444444444,0.923076923076923,1,0.969230769230769,"COVID19","HC",0.722222222222222,"class","x",NA,1,12,5,0,-0.136042551268337,-0.0800427076735364,"Neither: 137",0.923076923076923,0.9999,-7.82867431042947,0.000303689458620135,8501.15011501244,2800.06211883257,0.126682502274598,0.329374505913954,-2.36679953338246,-0.136042551268337,"FN: 157","(-0.8,0.8]"
"C4A","C4A",7.0491559184994,42.3934107498594,0.85,">=",-2.37154316753718,"maximize_metric",0.923076923076923,0.944444444444444,0.923076923076923,1,0.969230769230769,"COVID19","HC",0.722222222222222,"class","x",NA,1,12,5,0,-0.136042551268337,-0.0800427076735364,"Neither: 137",0.923076923076923,0.9999,-7.82867431042947,0.000303689458620135,8501.15011501244,2800.06211883257,0.126682502274598,0.329374505913954,-2.36679953338246,-0.136042551268337,"FN: 157","(-0.8,0.8]"
"TF","TF",1.3520045419633,41.7898431754437,0.92,"<=",-1.01942519900356,"maximize_metric",0.338461538461539,0.611111111111111,0.538461538461538,0.8,0.569230769230769,"COVID19","HC",0.722222222222222,"class","x",NA,6,7,4,1,0.246774860440239,-0.395895657092014,"Neither: 137",0.538461538461538,0.8,-1.23968784402003,0.320714508977899,5.95,4.45850077033912,0.288203023292768,0.749327860561196,-0.884682595409382,0.246774860440239,"FN: 157","(-0.8,0.8]"
"CFH","CFH",3.55984995467521,76.2544413911051,1.02,">=",-2.62328661764592,"maximize_metric",0.646153846153846,0.833333333333333,0.846153846153846,0.8,0.815384615384615,"COVID19","HC",0.722222222222222,"class","x",NA,2,11,4,1,0.793656877166774,0.0560894666510436,"Neither: 137",0.846153846153846,0.8,-1.42294599039486,0.363469487993124,6.325,4.34588409480322,0.26426780752832,0.687096299573631,-1.10431282242269,0.793656877166774,"FN: 157","(-0.8,0.8]"
"ITIH4","ITIH4",6.22945907159271,47.0054139534271,0.75,">=",-3.24539274732487,"maximize_metric",0.923076923076923,0.944444444444444,0.923076923076923,1,0.953846153846154,"COVID19","HC",0.722222222222222,"class","x",NA,1,12,5,0,-0.682924567994872,-0.0800427076735364,"Neither: 137",0.923076923076923,0.9999,-6.9076302727318,0.000352133064547287,7501.25012501333,2131.12711340297,0.109270356370673,0.284102926563749,-2.52657388408408,-0.682924567994872,"FN: 157","(-0.8,0.8]"
"PLG","PLG",5.11907180534679,81.0701105956294,0.83,">=",-3.270015670522,"maximize_metric",0.723076923076923,0.888888888888889,0.923076923076923,0.8,0.892307692307692,"COVID19","HC",0.722222222222222,"class","x",NA,1,12,4,1,-0.245418954613644,0.143100843640673,"Neither: 137",0.923076923076923,0.8,-1.07475551228268,0.394291037179347,5.6125,4.03666479375286,0.276625992376416,0.719227580178682,-0.990913763464073,-0.245418954613644,"FN: 157","(-0.8,0.8]"
"HP","HP",8.66378710788027,41.6462894396015,0.98,">=",-1.51266628390889,"maximize_metric",1,1,1,1,1,"COVID19","HC",0.722222222222222,"class","x",NA,0,13,5,0,0.57490407047616,0,"Neither: 137",0.9999,0.9999,-9.02603155943643,0.000277381466139018,9801.02010201128,3534.06094949843,0.138684973318912,0.36058093062917,-2.25666451449957,0.57490407047616,"FN: 157","(-0.8,0.8]"
"SERPINA1","SERPINA1",7.0491559184994,42.3934107498594,0.85,">=",-0.896400131047136,"maximize_metric",0.923076923076923,0.944444444444444,0.923076923076923,1,0.969230769230769,"COVID19","HC",0.722222222222222,"class","x",NA,1,12,5,0,-0.136042551268337,-0.0800427076735364,"Neither: 137",0.923076923076923,0.9999,-7.82867431042947,0.000303689458620135,8501.15011501244,2800.06211883257,0.126682502274598,0.329374505913954,-2.36679953338246,-0.136042551268337,"FN: 157","(-0.8,0.8]"
"C5","C5",5.16107793480612,42.5818482934136,0.61,">=",-4.08181708442511,"maximize_metric",0.923076923076923,0.944444444444444,0.923076923076923,1,0.938461538461538,"COVID19","HC",0.722222222222222,"class","x",NA,1,12,5,0,-1.44855939141202,-0.0800427076735364,"Specificity: 57",0.923076923076923,0.9999,-5.61816861995508,0.000469936019995909,6101.39013901457,1299.43969433295,0.081913217550957,0.212974365632488,-2.77760377529289,-1.44855939141202,"FN: 157","(-Inf,-0.8]"
"GC","GC",1.46760059275278,31.8936586809012,0.91,">=",-3.27944219105102,"maximize_metric",0.646153846153846,0.833333333333333,0.846153846153846,0.8,0.753846153846154,"COVID19","HC",0.722222222222222,"class","x",NA,2,11,4,1,0.192086658767585,0.0560894666510436,"Neither: 137",0.846153846153846,0.8,-1.22136202938254,0.37313660616097,5.9125,4.17760095444487,0.271758071520239,0.70657098595262,-1.03558194499403,0.192086658767585,"FN: 157","(-0.8,0.8]"
"APOA1","APOA1",5.22894322378269,68.9906030041911,0.71,"<=",-1.80823922769341,"maximize_metric",0.769230769230769,0.833333333333333,0.769230769230769,1,0.892307692307692,"COVID19","HC",0.722222222222222,"class","x",NA,3,10,5,0,-0.901677374685487,-0.262364264467491,"Specificity: 57",0.769230769230769,0.9999,-6.53921265765274,0.000323265306762061,7101.29012901368,2197.62879663981,0.119026519055751,0.309468949544953,-2.43705105519505,-0.901677374685487,"FN: 157","(-Inf,-0.8]"
"SERPINA3","SERPINA3",8.66378710788027,41.6462894396015,0.98,">=",-3.58714327694534,"maximize_metric",1,1,1,1,1,"COVID19","HC",0.722222222222222,"class","x",NA,0,13,5,0,0.57490407047616,0,"Neither: 137",0.9999,0.9999,-9.02603155943643,0.000277381466139018,9801.02010201128,3534.06094949843,0.138684973318912,0.36058093062917,-2.25666451449957,0.57490407047616,"FN: 157","(-0.8,0.8]"
"HPX","HPX",6.02023771889652,83.5218416018541,0.88,">=",-2.94537381125627,"maximize_metric",0.8,0.944444444444444,1,0.8,0.923076923076923,"COVID19","HC",0.722222222222222,"class","x",NA,0,13,4,1,0.0280220537496243,0.22314355131421,"Neither: 137",0.9999,0.8,-1.16638458547009,0.403020096454483,5.8,4.05962399874949,0.269205835460841,0.699935172198187,-1.05900133634749,0.0280220537496243,"FN: 157","(-0.8,0.8]"
"VWF","VWF",8.66378710788027,41.6462894396015,0.98,">=",-5.91598111936074,"maximize_metric",1,1,1,1,1,"COVID19","HC",0.722222222222222,"class","x",NA,0,13,5,0,0.57490407047616,0,"Neither: 137",0.9999,0.9999,-9.02603155943643,0.000277381466139018,9801.02010201128,3534.06094949843,0.138684973318912,0.36058093062917,-2.25666451449957,0.57490407047616,"FN: 157","(-0.8,0.8]"
"CFB","CFB",5.33541123689656,59.8406953821332,0.72,">=",-3.22955452947881,"maximize_metric",0.769230769230769,0.833333333333333,0.769230769230769,1,0.907692307692308,"COVID19","HC",0.722222222222222,"class","x",NA,3,10,5,0,-0.846989173012833,-0.262364264467491,"Specificity: 57",0.769230769230769,0.9999,-6.6313170614225,0.000318044044681676,7201.28012801359,2265.11779717178,0.120978372910302,0.314543769566786,-2.41914078818971,-0.846989173012833,"FN: 157","(-Inf,-0.8]"
"IGHG1","IGHG1",0.676744808791644,68.2544354496767,0.89,">=",-2.32193694618071,"maximize_metric",0.446153846153846,0.777777777777778,0.846153846153846,0.6,0.615384615384615,"COVID19","HC",0.722222222222222,"class","x",NA,2,11,3,2,0.0827102554222779,0.343771539102825,"Neither: 137",0.846153846153846,0.6,-0.248482308987748,0.592183452309441,4.075,4.2247247127679,0.398747023385361,1.03674226080194,0.129672323060071,0.0827102554222779,"Neither: 78","(-0.8,0.8]"
"IGHM","IGHM",0.375980891440967,188.308223646092,0.92,">=",-3.35512241842128,"maximize_metric",0.384615384615385,0.555555555555556,0.384615384615385,1,0.569230769230769,"COVID19","HC",0.722222222222222,"class","x",NA,8,5,5,0,0.246774860440239,-0.955511445027436,"Neither: 137",0.384615384615385,0.9999,-8.47340513681783,0.000182899640443064,9201.08010801181,5031.16116312543,0.210308133730139,0.546801147698362,-1.59944833832899,0.246774860440239,"FN: 157","(-0.8,0.8]"
"ITIH2","ITIH2",2.26003556777771,32.8792405983335,1.19,"<=",-3.09730351623575,"maximize_metric",0.723076923076923,0.888888888888889,0.923076923076923,0.8,0.784615384615385,"COVID19","HC",0.722222222222222,"class","x",NA,1,12,4,1,1.72335630560188,0.143100843640673,"Sensitivity: 48",0.923076923076923,0.8,-1.73448483923207,0.361900916517418,6.9625,4.55758816839159,0.25176567702757,0.654590760271683,-1.2190327308226,1.72335630560188,"FN: 157","(0.8, Inf]"
"F2","F2",2.75066984282647,55.0056886495063,1.34,">=",-3.88436942674246,"maximize_metric",0.8,0.944444444444444,1,0.8,0.815384615384615,"COVID19","HC",0.722222222222222,"class","x",NA,0,13,4,1,2.54367933069169,0.22314355131421,"Sensitivity: 48",0.9999,0.8,-2.00937205879432,0.362009712326355,7.525,4.73605665400136,0.242067807513486,0.629376299535064,-1.30802065990104,2.54367933069169,"FN: 157","(0.8, Inf]"
"AHSG","AHSG",1.94367104886528,49.7199328474097,0.76,"<=",-3.29373120305671,"maximize_metric",0.446153846153846,0.777777777777778,0.846153846153846,0.6,0.646153846153846,"COVID19","HC",0.722222222222222,"class","x",NA,2,11,3,2,-0.628236366322219,0.343771539102825,"Neither: 137",0.846153846153846,0.6,-0.0629571827545293,0.592371027344266,3.96666666666667,4.32496170115841,0.419356338186013,1.09032647928363,0.318783987345927,-0.628236366322219,"Neither: 78","(-0.8,0.8]"
"HBA1","HBA1",5.28005551347943,101.501026501068,0.91,">=",-4.05593843310282,"maximize_metric",0.8,0.944444444444444,1,0.8,0.892307692307692,"COVID19","HC",0.722222222222222,"class","x",NA,0,13,4,1,0.192086658767585,0.22314355131421,"Neither: 137",0.9999,0.8,-1.22136202938254,0.400026163440823,5.9125,4.09159709236863,0.266163414693032,0.692024878201883,-1.0869186766581,0.192086658767585,"FN: 157","(-0.8,0.8]"
"KNG1","KNG1",1.30067613235946,38.7716772932142,0.77,">=",-3.94710236592666,"maximize_metric",0.492307692307692,0.722222222222222,0.692307692307692,0.8,0.692307692307692,"COVID19","HC",0.722222222222222,"class","x",NA,4,9,4,1,-0.573548164649565,-0.144581228811108,"Neither: 137",0.692307692307692,0.8,-0.964800624457779,0.35880860335819,5.3875,4.06429487389043,0.290151338489411,0.75439348007247,-0.866804799230586,-0.573548164649565,"FN: 157","(-0.8,0.8]"
