"","protein","thetabar","Q","alphamin","direction","optimal_cutpoint","method","youden","acc","sensitivity","specificity","AUC","pos_class","neg_class","prevalence","outcome","predictor","boot","FN","TP","TN","FP","z_alpha","log_sens_sp","pref","corr_sens","corr_spec","talpha_val_q","inv_talpha_val","d_talpha_val_q","d_talpha_val_p","c1_prev","c1","z_c1","z_alphamin","cat_c1","cat_alphamin"
"APOC2","APOC2",1.3769104204981,30.9694303103463,0.89,">=",0.00735504578348039,"maximize_metric",0.5275,0.754385964912281,0.6875,0.84,0.7525,"COVID19","HC",0.56140350877193,"class","x",NA,10,22,21,4,-0.073300723724429,-0.200340062296633,"Neither: 73",0.6875,0.84,-1.43746524300529,0.298365156750985,6.88392857142857,4.56494152760326,0.518070536530851,0.663130286759489,-1.37537478379099,-0.073300723724429,"FN: 64","(-0.8,0.8]"
"TTR","TTR",1.28503063458676,82.5452109610799,0.77,"<=",-0.271696464010067,"maximize_metric",0.59875,0.789473684210526,0.71875,0.88,0.73375,"COVID19","HC",0.56140350877193,"class","x",NA,9,23,22,3,-0.551428266026515,-0.202408315360692,"Neither: 73",0.71875,0.88,-1.47536787591691,0.255906085859213,7.81439393939394,4.66193347558346,0.466080358380557,0.596582858727113,-1.64707523902464,-0.551428266026515,"FN: 64","(-0.8,0.8]"
"ITIH3","ITIH3",3.77293894309543,75.9018447093866,0.55,">=",-0.700872732965331,"maximize_metric",0.72875,0.87719298245614,0.96875,0.76,0.92125,"COVID19","HC",0.56140350877193,"class","x",NA,1,31,19,6,-1.42799542691367,0.24268814738718,"Specificity: 30",0.96875,0.76,-0.386980569334528,0.466129506779213,4.19956140350877,3.89594409334533,0.724767667495704,0.927702614394501,-0.295176435243448,-1.42799542691367,"Neither: 60","(-Inf,-0.8]"
"LPA","LPA",1.15483775792649,73.8071957348851,1.16,"<=",-0.404790856014186,"maximize_metric",0.59,0.789473684210526,0.75,0.84,0.72875,"COVID19","HC",0.56140350877193,"class","x",NA,8,24,21,4,1.00248624645526,-0.113328685307003,"Sensitivity: 28",0.75,0.84,-1.97933765274643,0.282045419656274,8.25,5.28280320341205,0.500265454868565,0.640339782231763,-1.46842406665997,1.00248624645526,"FN: 64","(0.8, Inf]"
"IGHG1","IGHG1",1.70372664816362,80.5187804808214,1.01,">=",-0.198350645444048,"maximize_metric",0.50125,0.754385964912281,0.78125,0.72,0.7025,"COVID19","HC",0.56140350877193,"class","x",NA,7,25,18,7,0.404826818577657,0.0816439890405102,"Neither: 73",0.78125,0.72,-0.960476306268701,0.452113411998872,4.98214285714286,4.04089605108569,0.63365305460573,0.811075909895335,-0.771341024044801,0.404826818577657,"Neither: 60","(-0.8,0.8]"
"GSN","GSN",-0.219874584958291,18.8375824437587,0.84,">=",-0.214131131266959,"maximize_metric",0.0912500000000001,0.543859649122807,0.53125,0.56,0.4625,"COVID19","HC",0.56140350877193,"class","x",NA,15,17,14,11,-0.272520533016965,-0.0527040634905684,"Neither: 73",0.53125,0.56,-0.0170342092452446,0.574784325238313,3.98051948051948,4.18944509591785,0.822255486301169,1.0524870224655,0.214294501220933,-0.272520533016965,"Neither: 60","(-0.8,0.8]"
"C1QB","C1QB",0.533329152579788,19.680450685168,1.06,">=",-0.218913964264128,"maximize_metric",0.2875,0.649122807017544,0.6875,0.6,0.6025,"COVID19","HC",0.56140350877193,"class","x",NA,10,22,15,10,0.604046627870193,0.13613217432458,"Neither: 73",0.6875,0.6,-0.491092089446573,0.560227479556153,4.21666666666667,4.02955725648578,0.74658298971451,0.955626226834573,-0.181169651870177,0.604046627870193,"Neither: 60","(-0.8,0.8]"
"IGLL5","IGLL5",1.10483537552251,43.3117506078586,0.89,"<=",-0.457956589516182,"maximize_metric",0.3625,0.666666666666667,0.5625,0.8,0.655,"COVID19","HC",0.56140350877193,"class","x",NA,14,18,20,5,-0.073300723724429,-0.352220593589352,"Neither: 73",0.5625,0.8,-1.18471040010758,0.335563677498066,5.8375,4.32284266699818,0.578538900829522,0.740529793061787,-1.05936736293375,-0.073300723724429,"FN: 64","(-0.8,0.8]"
"IGKV2-24","IGKV2-24",0.582360397047392,49.7882688869704,1.13,"<=",-0.18858043690068,"maximize_metric",0.29625,0.649122807017544,0.65625,0.64,0.6075,"COVID19","HC",0.56140350877193,"class","x",NA,11,21,16,9,0.882954360879742,0.025073637552116,"Sensitivity: 28",0.65625,0.64,-0.766196130424414,0.515813485048745,4.49826388888889,3.98754257577109,0.692548884252023,0.886462571842589,-0.463551662754245,0.882954360879742,"Neither: 60","(0.8, Inf]"
"IGKV1-6","IGKV1-6",0.873476015221591,72.7174666410641,1.11,">=",0.0791638281277968,"maximize_metric",0.43375,0.701754385964912,0.59375,0.84,0.70125,"COVID19","HC",0.56140350877193,"class","x",NA,13,19,21,4,0.803266437162729,-0.346943536488508,"Sensitivity: 28",0.59375,0.84,-1.87899091020177,0.269256073628246,7.99702380952381,5.3404065915867,0.521718172791779,0.667799261173477,-1.35631225183052,0.803266437162729,"FN: 64","(0.8, Inf]"
"CFB","CFB",2.38819110846763,69.5834837155,0.79,"<=",-0.27908047971937,"maximize_metric",0.64375,0.824561403508772,0.84375,0.8,0.8025,"COVID19","HC",0.56140350877193,"class","x",NA,5,27,20,5,-0.4717403423095,0.0532445145188123,"Neither: 73",0.84375,0.8,-1.00145225373275,0.382253541858728,5.4625,4.02542351444412,0.575718466024616,0.736919636511509,-1.07410694351827,-0.4717403423095,"FN: 64","(-0.8,0.8]"
"C2","C2",1.89342773406587,175.305907586394,0.45,">=",-0.12973783654125,"maximize_metric",0.67875,0.824561403508772,0.71875,0.96,0.75625,"COVID19","HC",0.56140350877193,"class","x",NA,9,23,24,1,-1.82643504549874,-0.289419692350322,"Specificity: 30",0.71875,0.96,-1.38522002968429,0.158662255339628,12.8645833333333,4.67851743551339,0.284120492035226,0.36367422980509,-2.59799674533999,-1.82643504549874,"FN: 64","(-Inf,-0.8]"
