"","protein","thetabar","Q","alphamin","direction","optimal_cutpoint","method","youden","acc","sensitivity","specificity","AUC","pos_class","neg_class","prevalence","outcome","predictor","boot","FN","TP","TN","FP","z_alpha","log_sens_sp","pref","corr_sens","corr_spec","talpha_val_q","inv_talpha_val","d_talpha_val_q","d_talpha_val_p","c1_prev","c1","z_c1","z_alphamin","cat_c1","cat_alphamin"
"APOB","APOB",0.666091218817036,31.9615262091764,0.9,">=",0.0412429822318813,"maximize_metric",0.316993464052288,0.657142857142857,0.705882352941177,0.611111111111111,0.654411764705882,"COVID19","HC",0.485714285714286,"class","x",NA,10,24,22,14,-0.724424877652832,0.144169790829578,"Neither: 447",0.705882352941177,0.611111111111111,-0.308291314349193,0.552092953847962,4.11428571428571,4.08602697380994,1.05155105943638,0.99313155613436,-0.0258266938458226,-0.724424877652832,"Neither: 428","(-0.8,0.8]"
"C3","C3",1.19354584498351,35.3636343059624,1.24,">=",-0.0846703239869906,"maximize_metric",0.465686274509804,0.728571428571429,0.882352941176471,0.583333333333333,0.721813725490196,"COVID19","HC",0.485714285714286,"class","x",NA,4,30,21,15,0.675944499080281,0.413833357778681,"Neither: 447",0.882352941176471,0.583333333333333,-0.675943893761994,0.597394796267048,4.27885714285714,3.96338463640068,0.980758358837838,0.926271783346847,-0.277232531348921,0.675944499080281,"Neither: 428","(-0.8,0.8]"
"ALB","ALB",1.01579584922734,51.2892987495806,1.6,"<=",0.108357178090419,"maximize_metric",0.359477124183007,0.671428571428571,0.970588235294118,0.388888888888889,0.671160130718954,"COVID19","HC",0.485714285714286,"class","x",NA,1,33,14,22,2.15868854503299,0.91460864569117,"Sensitivity: 170",0.970588235294118,0.388888888888889,-0.41017773262013,0.79358894747401,3.64675324675325,3.9540378358603,1.14804265973319,1.08426251197024,0.316843544463095,2.15868854503299,"Neither: 428","(0.8, Inf]"
"A2M","A2M",1.512824239143,49.2134803429162,1.58,"<=",-0.107803289534515,"maximize_metric",0.341503267973856,0.671428571428571,0.647058823529412,0.694444444444444,0.70016339869281,"COVID19","HC",0.485714285714286,"class","x",NA,12,22,25,11,2.07631387581339,-0.0706749576699362,"Sensitivity: 170",0.647058823529412,0.694444444444444,-1.72013528403231,0.441134133138447,5.77570909090909,4.33319905930769,0.794377460741836,0.750245379589512,-0.939126277232788,2.07631387581339,"FN: 226","(0.8, Inf]"
"FN1","FN1",-0.633823209269957,186.829363472147,1.29,"<=",-0.210896782498619,"maximize_metric",0.166666666666667,0.585714285714286,0.5,0.666666666666667,0.524101307189543,"COVID19","HC",0.485714285714286,"class","x",NA,17,17,24,12,0.881881172129268,-0.287682072451781,"Sensitivity: 170",0.5,0.666666666666667,-1.12932962562506,0.465015570542679,4.935,4.10124208614215,0.879937511777325,0.831052094456363,-0.635277206558578,0.881881172129268,"Neither: 428","(0.8, Inf]"
"C4B; C4B_2; LOC100293534","C4B; C4B_2; LOC100293534",0.559667788394218,43.1383461389938,1.41,">=",-0.147202107181229,"maximize_metric",0.351307189542484,0.671428571428571,0.823529411764706,0.527777777777778,0.627859477124183,"COVID19","HC",0.485714285714286,"class","x",NA,6,28,19,17,1.37612918744684,0.444923944848712,"Sensitivity: 170",0.823529411764706,0.527777777777778,-0.680873712122945,0.644433612627934,4.10377708978328,3.84729225936328,0.992647378162714,0.937500301598119,-0.23501110406631,1.37612918744684,"Neither: 428","(0.8, Inf]"
"C4A; C4B","C4A; C4B",1.49480386498474,63.088219393194,1.21,">=",-0.045431429247006,"maximize_metric",0.316993464052288,0.657142857142857,0.705882352941177,0.611111111111111,0.674019607843137,"COVID19","HC",0.485714285714286,"class","x",NA,10,24,22,14,0.552382495250888,0.144169790829578,"Neither: 447",0.705882352941177,0.611111111111111,-0.753742123470173,0.548979279076076,4.40415584415584,3.95567297079944,0.951001682126754,0.898168255341935,-0.382907299603387,0.552382495250888,"Neither: 428","(-0.8,0.8]"
"TF","TF",1.29159516606559,53.1284998217877,1.36,"<=",0.0717626693000913,"maximize_metric",0.465686274509804,0.728571428571429,0.882352941176471,0.583333333333333,0.725081699346405,"COVID19","HC",0.485714285714286,"class","x",NA,4,30,21,15,1.17019251439785,0.413833357778681,"Sensitivity: 170",0.882352941176471,0.583333333333333,-0.845679722332385,0.597721027574183,4.36114285714286,3.86624469712355,0.938669286898753,0.886520993182156,-0.42670328597629,1.17019251439785,"Neither: 428","(0.8, Inf]"
"CP","CP",0.403618543074397,126.618653001024,0.94,">=",-0.0954195650786824,"maximize_metric",0.323529411764706,0.657142857142857,0.823529411764706,0.5,0.620098039215686,"COVID19","HC",0.485714285714286,"class","x",NA,6,28,18,18,-0.559675539213643,0.498991166118988,"Neither: 447",0.823529411764706,0.5,0.0831776616671935,0.657212563807424,4,4.52257842947315,1.19715311368407,1.13064460736829,0.491249305244748,-0.559675539213643,"Neither: 428","(-0.8,0.8]"
"CFH","CFH",0.622863955781657,56.2412502844938,0.84,">=",-0.0954195650786824,"maximize_metric",0.243464052287582,0.614285714285714,0.882352941176471,0.361111111111111,0.563725490196078,"COVID19","HC",0.485714285714286,"class","x",NA,4,30,13,23,-0.971548885311617,0.893406438040567,"Specificity: 168",0.882352941176471,0.361111111111111,0.805199947031058,0.759082239774102,4.52709030100334,5.92152053506733,1.38496138922491,1.30801908982353,1.15821209100025,-0.971548885311617,"FP: 131","(-Inf,-0.8]"
