"","protein","thetabar","Q","alphamin","direction","optimal_cutpoint","method","youden","acc","sensitivity","specificity","AUC","pos_class","neg_class","prevalence","outcome","predictor","boot","FN","TP","TN","FP","z_alpha","log_sens_sp","pref","corr_sens","corr_spec","talpha_val_q","inv_talpha_val","d_talpha_val_q","d_talpha_val_p","c1_prev","c1","z_c1","z_alphamin","cat_c1","cat_alphamin"
"IGKV3-7","IGKV3-7",7.51436331456061,57.9234046590985,0.95,">=",-1.38830000079695,"maximize_metric",0.875,0.956521739130435,1,0.875,0.975,"COVID19","HC",0.652173913043478,"class","x",NA,0,15,7,1,0.621481749096468,0.133531392624523,"Neither: 253",0.9999,0.875,-1.8352615023401,0.277050753886588,8.8,4.88135872087035,0.295839922476991,0.554699854644358,-1.37783046073784,0.621481749096468,"FN: 335","(-0.8,0.8]"
"IGLV4-69","IGLV4-69",1.22623009914587,95.8594544822706,0.44,"<=",-0.286999999361946,"maximize_metric",0.454545454545455,0.6,0.454545454545455,1,0.647727272727273,"COVID19","HC",0.733333333333333,"class","x",NA,12,10,8,0,-1.65983036564465,-0.78845736036427,"Specificity: 118",0.454545454545455,0.9999,-4.05239375586905,0.000390635875143413,4401.56015601609,1127.9292511136,0.0931842521232912,0.256256693339051,-2.30126173003809,-1.65983036564465,"FN: 335","(-Inf,-0.8]"
"IGLV8-61","IGLV8-61",1.14064403929772,60.8868037677882,0.85,"<=",0.566799999911297,"maximize_metric",0.488636363636364,0.8,0.863636363636364,0.625,0.6875,"COVID19","HC",0.733333333333333,"class","x",NA,3,19,5,3,0.174165648166837,0.32340015505386,"Neither: 253",0.863636363636364,0.625,-0.293200691427371,0.57336422528998,4.10666666666667,4.17798592455404,0.369951528148233,1.01736670240764,0.0537353778780014,0.174165648166837,"Neither: 97","(-0.8,0.8]"
"IGLV4-60","IGLV4-60",0.375344983444566,28.5678266863404,0.83,"<=",0.585699999670504,"maximize_metric",0.272727272727273,0.7,0.772727272727273,0.5,0.545454545454546,"COVID19","HC",0.733333333333333,"class","x",NA,5,17,4,4,0.0847024279809102,0.435318071257845,"Neither: 253",0.772727272727273,0.5,0.235670041390381,0.663889916310221,4,4.73120964645786,0.430109967859805,1.18280241161446,0.565620141034509,0.0847024279809102,"Neither: 97","(-0.8,0.8]"
"IGLV10-54","IGLV10-54",2.63111663473519,82.3968717722376,0.86,"<=",0.318200000144717,"maximize_metric",0.659090909090909,0.866666666666667,0.909090909090909,0.75,0.778409090909091,"COVID19","HC",0.733333333333333,"class","x",NA,2,20,6,2,0.2188972582598,0.192371892647456,"Neither: 253",0.909090909090909,0.75,-0.864255587968076,0.451906289200326,4.96,3.9829857076255,0.292007749825916,0.803021312021269,-0.609483826232555,0.2188972582598,"Neither: 97","(-0.8,0.8]"
"IGLV7-46","IGLV7-46",3.70573430339688,109.822850037422,0.6,"<=",-0.0118999995436742,"maximize_metric",0.602272727272727,0.766666666666667,0.727272727272727,0.875,0.829545454545455,"COVID19","HC",0.733333333333333,"class","x",NA,6,16,7,1,-0.944124604157243,-0.184922338494012,"Specificity: 118",0.727272727272727,0.875,-1.06072097533357,0.282405888689306,6.4,4.07556520242528,0.231566204683255,0.63680706287895,-1.12377751750016,-0.944124604157243,"FN: 335","(-Inf,-0.8]"
"IGLV5-37","IGLV5-37",1.91585966651822,47.5494071403089,1.36,">=",-0.338199999761506,"maximize_metric",0.625,0.85,1,0.625,0.791666666666667,"COVID19","HC",0.6,"class","x",NA,0,12,5,3,2.45547776290796,0.470003629245736,"Sensitivity: 80",0.9999,0.625,-1.03312546137868,0.580647054564248,4.65066666666667,3.86837532146505,0.554526278879737,0.831789418319606,-0.520470666077542,2.45547776290796,"Neither: 97","(0.8, Inf]"
"IGLV2-33","IGLV2-33",-0.395868012046086,18.3549424261883,1.13,">=",-0.226600000699268,"maximize_metric",0.136363636363636,0.6,0.636363636363636,0.5,0.448863636363636,"COVID19","HC",0.733333333333333,"class","x",NA,8,14,4,4,1.4266507307698,0.241162056816888,"Sensitivity: 80",0.636363636363636,0.5,-0.180218266945586,0.648393888584029,4,4.21712753600476,0.383375230545887,1.05428188400119,0.16795690282864,1.4266507307698,"Neither: 97","(0.8, Inf]"
"IGLV2-18","IGLV2-18",0.452626447136392,48.6668419503201,1.22,"<=",0.0528000005661258,"maximize_metric",0.465909090909091,0.666666666666667,0.590909090909091,0.875,0.642045454545455,"COVID19","HC",0.733333333333333,"class","x",NA,9,13,7,1,1.82923522160647,-0.392561703272256,"Sensitivity: 80",0.590909090909091,0.875,-2.43276419460227,0.203325054033579,10.6514285714286,6.97931364015594,0.238271534730256,0.655246720508203,-1.06672224313714,1.82923522160647,"FN: 335","(0.8, Inf]"
"IGLV3-16","IGLV3-16",1.49762579271954,312.559790527783,0.81,">=",-0.430499999135263,"maximize_metric",0.5,0.633333333333333,0.5,1,0.698863636363636,"COVID19","HC",0.733333333333333,"class","x",NA,11,11,8,0,-0.00476079220501568,-0.693147180559945,"Neither: 253",0.5,0.9999,-7.4602566953504,0.000218522511501287,8101.19011901279,3707.90218847233,0.166435801249866,0.457698453437132,-1.67796843893415,-0.00476079220501568,"FN: 335","(-0.8,0.8]"
