"","protein","thetabar","Q","alphamin","direction","optimal_cutpoint","method","youden","acc","sensitivity","specificity","AUC","pos_class","neg_class","prevalence","outcome","predictor","boot","FN","TP","TN","FP","z_alpha","log_sens_sp","pref","corr_sens","corr_spec","talpha_val_q","inv_talpha_val","d_talpha_val_q","d_talpha_val_p","c1_prev","c1","z_c1","z_alphamin","cat_c1","cat_alphamin"
"HRG","HRG",0.127961211330764,27.7798746834467,0.93,">=",4.06706730750777,"maximize_metric",0.152222222222222,0.557377049180328,0.472222222222222,0.68,0.495555555555556,"COVID19","HC",0.590163934426229,"class","x",NA,19,17,17,8,-0.19351784149951,-0.364643113587909,"Neither: 425",0.472222222222222,0.68,-0.647015028896356,0.453313503910953,4.47977941176471,4.00880640363134,0.621435360978733,0.894866919809375,-0.385429158419881,-0.19351784149951,"Neither: 415","(-0.8,0.8]"
"GPX3","GPX3",-0.0372204752514581,58.3389435029375,0.88,">=",3.84089220191265,"maximize_metric",0.142222222222222,0.508196721311475,0.222222222222222,0.92,0.514444444444444,"COVID19","HC",0.590163934426229,"class","x",NA,28,8,23,2,-0.420898249073161,-1.42069578783722,"Neither: 425",0.222222222222222,0.92,-2.12925380497953,0.132295691935233,12.2173913043478,7.942528399462,0.451458464777644,0.650100189279807,-1.28277026919245,-0.420898249073161,"FN: 212","(-0.8,0.8]"
"SAA4","SAA4",0.0249034804296791,17.9889151208222,1.26,"<=",4.13733137373022,"maximize_metric",0.146666666666667,0.590163934426229,0.666666666666667,0.48,0.527777777777778,"COVID19","HC",0.590163934426229,"class","x",NA,12,24,12,13,1.30719284848658,0.328504066972036,"Sensitivity: 162",0.666666666666667,0.48,-0.280810159373048,0.668433261399179,3.96474358974359,4.11683314817023,0.721083682649057,1.03836050301464,0.140633722199409,1.30719284848658,"Neither: 415","(0.8, Inf]"
"SERPING1","SERPING1",1.86345982670911,205.49495552241,1.18,">=",4.24608424263685,"maximize_metric",0.276666666666667,0.688524590163934,0.916666666666667,0.36,0.658888888888889,"COVID19","HC",0.590163934426229,"class","x",NA,3,33,9,16,0.943384196368743,0.934639870542352,"Sensitivity: 162",0.916666666666667,0.36,0.31113524187469,0.789644336947002,4.12152777777778,5.39250349946188,0.908593681459458,1.30837490130162,1.13053549340501,0.943384196368743,"FP: 117","(0.8, Inf]"
"CALR","CALR",0.703706191206101,39.7123532653529,0.57,">=",3.1962567136962,"maximize_metric",0.203703703703704,0.666666666666667,0.925925925925926,0.277777777777778,0.578189300411523,"COVID19","HC",0.6,"class","x",NA,2,25,5,13,-1.8306567760298,1.20397280432594,"Specificity: 157",0.925925925925926,0.277777777777778,1.64624463076301,0.81695214032351,5.93723076923077,8.50987983887212,0.955538608220508,1.43330791233076,1.58855332387773,-1.8306567760298,"FP: 117","(-Inf,-0.8]"
"CALU","CALU",0.388058526366937,27.8525912563283,0.84,">=",3.64641084388542,"maximize_metric",0.296466973886329,0.653846153846154,0.67741935483871,0.619047619047619,0.605222734254992,"COVID19","HC",0.596153846153846,"class","x",NA,10,21,13,8,-0.602802575132081,0.0901083135001628,"Neither: 425",0.67741935483871,0.619047619047619,-0.254363179572825,0.543994025558445,4.07884615384615,4.08796092571134,0.678933146397285,1.00223464468171,0.00819244730084722,-0.602802575132081,"Neither: 415","(-0.8,0.8]"
"LAMB1","LAMB1",0.362910740544642,11.617309180841,1.03,"<=",3.81620544571915,"maximize_metric",0.166666666666667,0.56,0.5,0.666666666666667,0.560763888888889,"COVID19","HC",0.64,"class","x",NA,16,16,12,6,0.261242973647791,-0.287682072451781,"Neither: 425",0.5,0.666666666666667,-0.738269502463234,0.465917695889584,4.545,4.02689035194484,0.498377518805054,0.886004477875652,-0.417919821966184,0.261242973647791,"Neither: 415","(-0.8,0.8]"
"NOTCH2","NOTCH2",-0.0422311333747488,16.9851161874585,0.96,">=",3.79766152585376,"maximize_metric",0.173202614379085,0.596153846153846,0.617647058823529,0.555555555555556,0.537581699346405,"COVID19","HC",0.653846153846154,"class","x",NA,13,21,10,8,-0.0570895969553199,0.105948578009381,"Neither: 425",0.617647058823529,0.555555555555556,-0.167194876069472,0.591973634374047,4.032,4.17054874291816,0.547603563933582,1.0343622874301,0.125975834642636,-0.0570895969553199,"Neither: 415","(-0.8,0.8]"
"ELANE","ELANE",0.544017992244424,29.5527733878274,0.95,">=",3.5937940425289,"maximize_metric",0.3,0.604651162790698,0.5,0.8,0.614285714285714,"COVID19","HC",0.651162790697674,"class","x",NA,14,14,12,3,-0.10256567847005,-0.470003629245736,"Neither: 425",0.5,0.8,-1.29466528793248,0.317236749728915,6.0625,4.53247727851004,0.400513456127544,0.747625118104749,-0.925233410443514,-0.10256567847005,"FN: 212","(-0.8,0.8]"
"SERPINB3","SERPINB3",-0.145990703593975,27.5075010684321,0.86,"<=",3.83508943382562,"maximize_metric",0.215384615384616,0.611111111111111,0.6,0.615384615384615,0.523076923076923,"COVID19","HC",0.277777777777778,"class","x",NA,2,3,8,5,-0.511850412102621,-0.02531780798429,"Neither: 425",0.6,0.615384615384615,-0.268260932732456,0.536933355064133,4.0885,4.06353719856867,2.58412540449518,0.9938943863443,-0.0223838351229365,-0.511850412102621,"Neither: 415","(-0.8,0.8]"
"DBN1","DBN1",1.41127749147532,56.6111894341935,0.93,">=",3.41318095432859,"maximize_metric",0.274193548387097,0.666666666666667,0.774193548387097,0.5,0.646774193548387,"COVID19","HC",0.607843137254902,"class","x",NA,7,24,10,10,-0.19351784149951,0.437213806422745,"Neither: 425",0.774193548387097,0.5,0.0970406052783922,0.659079769029245,4,4.54962243888936,0.733810070788607,1.13740560972234,0.503743716263484,-0.19351784149951,"Neither: 415","(-0.8,0.8]"
"F9","F9",0.365964679687723,35.7660694010515,0.82,">=",3.6935282165936,"maximize_metric",0.146666666666667,0.590163934426229,0.666666666666667,0.48,0.505555555555556,"COVID19","HC",0.590163934426229,"class","x",NA,12,24,12,13,-0.693754738161542,0.328504066972036,"Neither: 425",0.666666666666667,0.48,0.329863923321172,0.657395951558887,4.03525641025641,4.69155483412737,0.807389632560971,1.1626410708878,0.596259626019997,-0.693754738161542,"Neither: 415","(-0.8,0.8]"
