"","protein","thetabar","Q","alphamin","direction","optimal_cutpoint","method","youden","acc","sensitivity","specificity","AUC","pos_class","neg_class","prevalence","outcome","predictor","boot","FN","TP","TN","FP","z_alpha","log_sens_sp","pref","corr_sens","corr_spec","talpha_val_q","inv_talpha_val","d_talpha_val_q","d_talpha_val_p","c1_prev","c1","z_c1","z_alphamin","cat_c1","cat_alphamin"
"IGKV1D-8","IGKV1D-8",0.119193068136169,39.595167473134,1.28,"<=",17.4571779472839,"maximize_metric",0.249589490968801,0.728260869565217,0.904761904761905,0.344827586206897,0.562123700054735,"COVID19","HC",0.684782608695652,"class","x",NA,6,57,10,19,1.34552995714462,0.964627278435446,"Sensitivity: 87",0.904761904761905,0.344827586206897,0.225334961584905,0.815094117541847,4.04168421052632,5.4642436725215,0.622336293206663,1.35197194731103,1.36376756908955,1.34552995714462,"FP: 64","(0.8, Inf]"
"IGKV3-7","IGKV3-7",-0.00766830255080651,14.5913106937896,0.96,"<=",15.3031296082803,"maximize_metric",0.0577010449795547,0.470588235294118,0.380281690140845,0.67741935483871,0.497046796910495,"COVID19","HC",0.696078431372549,"class","x",NA,44,27,21,10,0.237618712908021,-0.577378244275263,"Neither: 221",0.380281690140845,0.67741935483871,-0.681102669599264,0.433723493153015,4.5112380952381,4.04995036656391,0.391974032601957,0.897746977894804,-0.396194516221588,0.237618712908021,"Neither: 226","(-0.8,0.8]"
"IGLV2-14","IGLV2-14",0.311763256728026,24.9644593273869,0.99,"<=",18.5615602654313,"maximize_metric",0.162199000454339,0.568627450980392,0.549295774647887,0.612903225806452,0.557928214447978,"COVID19","HC",0.696078431372549,"class","x",NA,32,39,19,12,0.341485392055203,-0.109570005592963,"Neither: 221",0.549295774647887,0.612903225806452,-0.445146041578282,0.52736972797141,4.20539473684211,4.01421781275378,0.416771019206414,0.954540076246948,-0.176141224268963,0.341485392055203,"Neither: 226","(-0.8,0.8]"
"APOA1","APOA1",0.855648810297667,152.428076148282,0.32,"<=",25.5958054590035,"maximize_metric",0.339845524761472,0.57843137254902,0.436619718309859,0.903225806451613,0.64970467969105,"COVID19","HC",0.696078431372549,"class","x",NA,40,31,28,3,-1.97820377556518,-0.726909978246227,"Specificity: 94",0.436619718309859,0.903225806451613,-0.576325046620748,0.239359513077779,5.16666666666667,3.54556608766464,0.299625303182928,0.686238597612512,-1.21571513945113,-1.97820377556518,"FN: 112","(-Inf,-0.8]"
"APOA2","APOA2",0.610670037680294,76.6076596410155,0.77,"<=",17.902066275724,"maximize_metric",0.284870513402999,0.666666666666667,0.704225352112676,0.580645161290323,0.612448886869605,"COVID19","HC",0.696078431372549,"class","x",NA,21,50,18,13,-0.420203588357461,0.192958574975812,"Neither: 221",0.704225352112676,0.580645161290323,-0.000512142903732138,0.584352240637893,3.95448717948718,4.27693482889044,0.472221553759579,1.08153968764291,0.315937626423453,-0.420203588357461,"Neither: 226","(-0.8,0.8]"
"IGHV3-64","IGHV3-64",1.49221356180087,67.6114315283718,0.45,">=",19.6757885155552,"maximize_metric",0.379827351203998,0.656862745098039,0.605633802816901,0.774193548387097,0.702862335302135,"COVID19","HC",0.696078431372549,"class","x",NA,28,43,24,7,-1.52811483259406,-0.245546387210552,"Specificity: 94",0.605633802816901,0.774193548387097,-0.272937945030764,0.401206692287056,3.99494047619048,3.71015566937797,0.405494683313599,0.928713629524694,-0.27620962669055,-1.52811483259406,"Neither: 226","(-Inf,-0.8]"
"SERPINC1","SERPINC1",0.0445939209299351,112.836853539803,0.52,"<=",22.9906372828048,"maximize_metric",0.140845070422535,0.401960784313726,0.140845070422535,1,0.514311676510677,"COVID19","HC",0.696078431372549,"class","x",NA,61,10,31,0,-1.28575924791731,-1.96009478404727,"Specificity: 94",0.140845070422535,0.9999,-4.78922898602718,0.000216553993975833,5201.48014801537,2402.72903666565,0.201688528132545,0.461931790239056,-2.08482516869906,-1.28575924791731,"FN: 112","(-Inf,-0.8]"
"LRG1","LRG1",-0.0779645043990092,37.4106076210862,1.3,"<=",22.4414546909023,"maximize_metric",0.131758291685597,0.598039215686274,0.647887323943662,0.483870967741935,0.509313948205361,"COVID19","HC",0.696078431372549,"class","x",NA,25,46,15,16,1.41477440990941,0.291898522830716,"Sensitivity: 87",0.647887323943662,0.483870967741935,-0.351662124550919,0.667765699012323,3.96541666666667,4.05373742928358,0.446344443284883,1.02227275720086,0.0862991047348925,1.41477440990941,"Neither: 226","(0.8, Inf]"
"PARN","PARN",0.0225998066075252,30.2959958602936,0.92,">=",17.4125296141956,"maximize_metric",0.0749659245797365,0.647058823529412,0.816901408450704,0.258064516129032,0.483416628805089,"COVID19","HC",0.696078431372549,"class","x",NA,13,58,8,23,0.0991298073784463,1.15230879631041,"Neither: 221",0.816901408450704,0.258064516129032,1.18829576635822,0.842100724876255,5.425,7.93230929503295,0.638415235012713,1.4621768285775,1.79077274428828,0.0991298073784463,"FP: 64","(-0.8,0.8]"
"IGLV3-10","IGLV3-10",0.249044234034138,143.813658233622,0.93,">=",16.7613302973293,"maximize_metric",0.291231258518855,0.607843137254902,0.549295774647887,0.741935483870968,0.577464788732394,"COVID19","HC",0.696078431372549,"class","x",NA,32,39,23,8,0.13375203376084,-0.300625242355672,"Neither: 221",0.549295774647887,0.741935483870968,-0.940339968654022,0.393460291524747,5.04592391304348,4.1277492955259,0.357170810682953,0.818036372854506,-0.705045090527169,0.13375203376084,"Neither: 226","(-0.8,0.8]"
"IGKV6-21","IGKV6-21",-0.162866609735561,71.4194941747571,1.41,">=",16.7745532368305,"maximize_metric",0.192185370286234,0.627450980392157,0.676056338028169,0.516129032258065,0.512948659700136,"COVID19","HC",0.696078431372549,"class","x",NA,23,48,16,15,1.79561890011574,0.269919616111941,"Sensitivity: 87",0.676056338028169,0.516129032258065,-0.633346070245175,0.645356210815105,4.057125,3.848481047783,0.41416587140003,0.948573447400067,-0.19925981363478,1.79561890011574,"Neither: 226","(0.8, Inf]"
"IGHV3-13","IGHV3-13",0.840711112873995,73.0793021492188,0.86,">=",17.5791498833382,"maximize_metric",0.375738300772376,0.666666666666667,0.633802816901408,0.741935483870968,0.682644252612449,"COVID19","HC",0.696078431372549,"class","x",NA,26,45,23,8,-0.108603550915917,-0.157524398714999,"Neither: 221",0.633802816901408,0.741935483870968,-0.824627263058731,0.411815356263987,4.86902173913044,4.02648143614712,0.361066613505078,0.826959018027759,-0.670472977008636,-0.108603550915917,"Neither: 226","(-0.8,0.8]"
"IGLV5-45","IGLV5-45",0.0606958362073229,14.4490453344343,1.14,"<=",17.0251517609479,"maximize_metric",0.0826896865061335,0.715686274509804,0.985915492957746,0.0967741935483871,0.500227169468423,"COVID19","HC",0.696078431372549,"class","x",NA,1,70,3,28,0.86081878779111,2.32119028082508,"Sensitivity: 87",0.985915492957746,0.0967741935483871,1.89239015608932,0.95468509084472,10.1488095238095,20.1724123477436,0.867852823155165,1.98766291754893,3.82684661785088,0.86081878779111,"FP: 64","(0.8, Inf]"
"PIGR","PIGR",-0.430941668634944,150.662604104382,0.95,"<=",17.4893098923005,"maximize_metric",0.154020899591095,0.588235294117647,0.605633802816901,0.548387096774194,0.501363016810541,"COVID19","HC",0.696078431372549,"class","x",NA,28,43,17,14,0.202996486525628,0.0992940990811771,"Neither: 221",0.605633802816901,0.548387096774194,-0.124370827676016,0.596916854144499,4.01827731092437,4.19643305326556,0.45597784220659,1.04433634827961,0.171787764273607,0.202996486525628,"Neither: 226","(-0.8,0.8]"
"C8A","C8A",-0.0640652872297125,285.014619872416,0.86,"<=",20.9184767983033,"maximize_metric",0.182644252612449,0.519607843137255,0.408450704225352,0.774193548387097,0.517946388005452,"COVID19","HC",0.696078431372549,"class","x",NA,42,29,24,7,-0.108603550915917,-0.639450672917641,"Neither: 221",0.408450704225352,0.774193548387097,-0.987982221153248,0.336650375123882,5.28107142857143,4.27312982048797,0.353286783516885,0.809140697732219,-0.73951270457884,-0.108603550915917,"Neither: 226","(-0.8,0.8]"
"IGHV1-2","IGHV1-2",0.066411903470625,173.331207830081,0.98,">=",18.5226917172692,"maximize_metric",0.16492503407542,0.431372549019608,0.197183098591549,0.967741935483871,0.534756928668787,"COVID19","HC",0.696078431372549,"class","x",NA,57,14,30,1,0.306863165672809,-1.59083272460307,"Neither: 221",0.197183098591549,0.967741935483871,-3.33186184111599,0.0491844986834818,31.434,20.9977402242514,0.291659585857868,0.667994535351892,-1.28640446747732,0.306863165672809,"FN: 112","(-0.8,0.8]"
