"","protein","thetabar","Q","alphamin","direction","optimal_cutpoint","method","youden","acc","sensitivity","specificity","AUC","pos_class","neg_class","prevalence","outcome","predictor","boot","FN","TP","TN","FP","z_alpha","log_sens_sp","pref","corr_sens","corr_spec","talpha_val_q","inv_talpha_val","d_talpha_val_q","d_talpha_val_p","c1_prev","c1","z_c1","z_alphamin","cat_c1","cat_alphamin"
"KRT14","KRT14",3.34287499216353,110.958344780269,0.74,"<=",21.088288768976,"maximize_metric",0.7,0.916666666666667,0.95,0.75,0.8125,"COVID19","HC",0.833333333333333,"class","x",NA,1,19,3,1,-0.490045258033741,0.23638877806423,"Neither: 264",0.95,0.75,-0.663378415939475,0.473049959321803,4.64,3.95543532032638,0.170492901738206,0.85246450869103,-0.515236506346234,-0.490045258033741,"Neither: 269","(-0.8,0.8]"
"KRT6A","KRT6A",-0.193163681584052,118.212559960963,1.01,"<=",20.2641188703648,"maximize_metric",-0.0288461538461539,0.411764705882353,0.346153846153846,0.625,0.5,"COVID19","HC",0.764705882352941,"class","x",NA,17,9,5,3,0.516548157647196,-0.590868331439527,"Neither: 264",0.346153846153846,0.625,-0.525333952588565,0.475100246308249,4.27733333333333,4.01194155899597,0.288601205567521,0.937953918094443,-0.216682821129071,0.516548157647196,"Neither: 269","(-0.8,0.8]"
"KRT16","KRT16",2.85423471512145,265.120070810648,0.95,">=",19.6379974499966,"maximize_metric",0.424501424501424,0.8,0.962962962962963,0.461538461538462,0.712250712250712,"COVID19","HC",0.675,"class","x",NA,1,26,6,7,0.292860731940321,0.735449560250635,"Neither: 264",0.962962962962963,0.461538461538462,0.223762134659244,0.719847498929932,4.03928571428571,5.06768265802367,0.604066046933429,1.25459871286174,0.88913216861436,0.292860731940321,"FP: 48","(-0.8,0.8]"
"KRT10","KRT10",2.23224422021365,109.834260796087,1.01,">=",22.7212143652108,"maximize_metric",0.505882352941176,0.732394366197183,0.705882352941177,0.8,0.767647058823529,"COVID19","HC",0.71830985915493,"class","x",NA,15,36,16,4,0.516548157647196,-0.125163142954006,"Neither: 264",0.705882352941177,0.8,-1.40462017575737,0.341346017762013,6.2875,4.46193980193129,0.278295079838228,0.709652453587482,-1.01397741053709,0.516548157647196,"FN: 188","(-0.8,0.8]"
"KRT5","KRT5",1.09962456672945,48.1711024881993,0.71,"<=",22.5198214686116,"maximize_metric",0.356521739130435,0.857142857142857,0.956521739130435,0.4,0.634782608695652,"COVID19","HC",0.821428571428571,"class","x",NA,1,22,2,3,-0.601888970887179,0.871838969303321,"Neither: 264",0.956521739130435,0.4,0.819328851243807,0.76477039762158,4.40833333333333,6.41238687274063,0.316218634309557,1.45460571782396,1.58761434105447,-0.601888970887179,"FP: 48","(-0.8,0.8]"
"KRT4","KRT4",3.67802766254335,41.4337592010373,0.79,">=",21.0707105884699,"maximize_metric",0.6,0.75,0.6,1,0.733333333333333,"COVID19","HC",0.625,"class","x",NA,2,3,3,0,-0.303639069944679,-0.510825623765991,"Neither: 264",0.6,0.9999,-7.27604788781087,0.00025834469056238,7901.21012101297,3059.14039159793,0.232304192249913,0.387173653749855,-2.14016642936176,-0.303639069944679,"FN: 188","(-0.8,0.8]"
"KRT2","KRT2",1.77173179078499,71.9563917113091,0.97,">=",20.743039599854,"maximize_metric",0.530637254901961,0.805970149253731,0.843137254901961,0.6875,0.77328431372549,"COVID19","HC",0.761194029850746,"class","x",NA,8,43,11,5,0.367423207175946,0.204067932410647,"Neither: 264",0.843137254901961,0.6875,-0.742322032586857,0.505513685870924,4.60218181818182,4.00180991641029,0.272798821797385,0.869546244479163,-0.455582156116863,0.367423207175946,"Neither: 269","(-0.8,0.8]"
"HRNR","HRNR",-0.0135692615176056,35.2501331809205,1.2,"<=",21.5682047893793,"maximize_metric",0.348484848484848,0.68,0.681818181818182,0.666666666666667,0.545454545454545,"COVID19","HC",0.88,"class","x",NA,7,15,2,1,1.22489167238563,0.0224728558520586,"Sensitivity: 115",0.681818181818182,0.666666666666667,-0.9939626599152,0.490841854569992,4.8,4.01600034663195,0.114090918938408,0.836666738881657,-0.570406876895223,1.22489167238563,"Neither: 269","(0.8, Inf]"
"PLXNB1","PLXNB1",0.44758791286167,54.4559927096031,0.69,">=",21.2888390450037,"maximize_metric",0.233333333333333,0.769230769230769,0.9,0.333333333333333,0.529166666666667,"COVID19","HC",0.769230769230769,"class","x",NA,4,36,4,8,-0.676451446122804,0.993251773010283,"Neither: 264",0.9,0.333333333333333,1.15941117356059,0.796499920170957,4.965,7.3036340177593,0.441307191405396,1.47102397135132,1.64495161978443,-0.676451446122804,"FP: 48","(-0.8,0.8]"
"SVIL","SVIL",5.36061213670188,34.8122579053316,1.29,"<=",19.7842226647734,"maximize_metric",0.875,0.909090909090909,1,0.875,0.916666666666667,"COVID19","HC",0.272727272727273,"class","x",NA,0,3,7,1,1.56042281094595,0.133531392624523,"Sensitivity: 115",0.9999,0.875,-2.58767230000358,0.234900787744056,11.1314285714286,6.41966440424573,1.53790728370021,0.576715231387578,-1.47823254889027,1.56042281094595,"FN: 188","(0.8, Inf]"
"COL9A1","COL9A1",-0.292125454440975,31.6601784002306,1.12,">=",13.0477374043091,"maximize_metric",0.354545454545454,0.851851851851852,0.954545454545455,0.4,0.545454545454545,"COVID19","HC",0.814814814814815,"class","x",NA,1,21,2,3,0.926641771443134,0.869770716239262,"Sensitivity: 115",0.954545454545455,0.4,0.234211145431347,0.785817821380737,4.06666666666667,5.53391856361504,0.30927264699786,1.36079964679058,1.26001647369057,0.926641771443134,"FP: 48","(0.8, Inf]"
"ERCC6","ERCC6",4.61130045904018,222.267906697111,0.66,"<=",21.8662737694967,"maximize_metric",0.700657894736842,0.814814814814815,0.763157894736842,0.9375,0.896381578947368,"COVID19","HC",0.703703703703704,"class","x",NA,9,29,15,1,-0.788295158976241,-0.20575180860234,"Neither: 264",0.763157894736842,0.9375,-1.74342693835391,0.168403541161928,11.9893333333333,5.5305159647781,0.194225836934987,0.461286362720594,-1.88134346475069,-0.788295158976241,"FN: 188","(-0.8,0.8]"
"SLC22A25","SLC22A25",3.06222207326845,91.6304833160988,0.92,"<=",21.7411888041661,"maximize_metric",0.596491228070176,0.785714285714286,0.763157894736842,0.833333333333333,0.842105263157895,"COVID19","HC",0.678571428571429,"class","x",NA,9,29,15,3,0.181017019086884,-0.0879687729459572,"Neither: 264",0.763157894736842,0.833333333333333,-1.45151143035234,0.312418647001679,6.816,4.51548983456131,0.31380813342485,0.662483837230238,-1.1787038291464,0.181017019086884,"FN: 188","(-0.8,0.8]"
"TIAM2","TIAM2",1.17986776278461,50.6113541708751,0.63,"<=",21.5419379168934,"maximize_metric",0.435064935064935,0.793103448275862,0.863636363636364,0.571428571428571,0.655844155844156,"COVID19","HC",0.758620689655172,"class","x",NA,3,19,4,3,-0.900138871829679,0.413012313743547,"Specificity: 126",0.863636363636364,0.571428571428571,0.232875977427591,0.620335704403562,3.8675,4.62403011935742,0.380422058359311,1.19561218341498,0.683134187491354,-0.900138871829679,"Neither: 269","(-Inf,-0.8]"
"IGLV8-61","IGLV8-61",2.82853260358288,36.5572729745012,1.25,">=",21.1986248875029,"maximize_metric",0.547619047619048,0.769230769230769,0.714285714285714,0.833333333333333,0.761904761904762,"COVID19","HC",0.538461538461538,"class","x",NA,2,5,5,1,1.4112978604747,-0.154150679827258,"Sensitivity: 115",0.714285714285714,0.833333333333333,-2.1029581689396,0.282021650007385,8.4,5.47688357657687,0.558865671079273,0.652009949592485,-1.2152816669701,1.4112978604747,"FN: 188","(0.8, Inf]"
"IGLV7-43","IGLV7-43",1.19487494822556,119.194261771121,0.82,"<=",20.9386205118407,"maximize_metric",0.511904761904762,0.758620689655172,0.761904761904762,0.75,0.696428571428571,"COVID19","HC",0.724137931034483,"class","x",NA,5,16,6,2,-0.191795357091242,0.0157483569681391,"Neither: 264",0.761904761904762,0.75,-0.797296530625209,0.427506224756567,4.85333333333333,3.97925850784259,0.312343681934269,0.819902165077456,-0.62895360596105,-0.191795357091242,"Neither: 269","(-0.8,0.8]"
"IGLV3-16","IGLV3-16",1.52694169471737,97.1362780022373,0.65,"<=",19.4393885753665,"maximize_metric",0.444444444444444,0.7,0.666666666666667,0.777777777777778,0.714285714285714,"COVID19","HC",0.7,"class","x",NA,7,14,7,2,-0.825576396594054,-0.154150679827258,"Specificity: 126",0.666666666666667,0.777777777777778,-0.638375829725355,0.391641982169976,4.66071428571429,3.8787671057994,0.356668239613738,0.832225892432054,-0.58591559408329,-0.825576396594054,"Neither: 269","(-Inf,-0.8]"
"IGLV3-10","IGLV3-10",0.990049839891775,35.4345257877432,0.9,"<=",21.1405227541027,"maximize_metric",0.377777777777778,0.72972972972973,0.777777777777778,0.6,0.6,"COVID19","HC",0.72972972972973,"class","x",NA,6,21,6,4,0.106454543851259,0.259511195485085,"Neither: 264",0.777777777777778,0.6,-0.26275347254415,0.580714299437491,4.08333333333333,4.17332491707405,0.378532872296966,1.02203875520181,0.0769656923473408,0.106454543851259,"Neither: 269","(-0.8,0.8]"
"IGKV2D-28","IGKV2D-28",1.88275472737623,62.7448186028038,0.64,"<=",19.9251487407532,"maximize_metric",0.361111111111111,0.653846153846154,0.611111111111111,0.75,0.666666666666667,"COVID19","HC",0.692307692307692,"class","x",NA,7,11,6,2,-0.862857634211866,-0.204794412646013,"Specificity: 126",0.611111111111111,0.75,-0.495980772582308,0.412821252600355,4.37333333333333,3.86646790417444,0.392933730099028,0.884100892722813,-0.404753124772454,-0.862857634211866,"Neither: 269","(-Inf,-0.8]"
"IGKV3-11","IGKV3-11",1.24804829121751,55.5929109020719,0.63,"<=",19.9208529290718,"maximize_metric",0.262820512820513,0.530612244897959,0.416666666666667,0.846153846153846,0.63034188034188,"COVID19","HC",0.73469387755102,"class","x",NA,21,15,11,2,-0.900138871829679,-0.708414652690734,"Specificity: 126",0.416666666666667,0.846153846153846,-0.950371275459465,0.263844499694883,5.71409090909091,4.24878992356586,0.268509072499278,0.743563585382617,-0.895549953405557,-0.900138871829679,"FN: 188","(-Inf,-0.8]"
"IGHV3-49","IGHV3-49",0.131042903033439,89.9482712154716,0.96,">=",19.6749370415646,"maximize_metric",0.25,0.611111111111111,0.583333333333333,0.666666666666667,0.555555555555556,"COVID19","HC",0.666666666666667,"class","x",NA,5,7,4,2,0.330141969558134,-0.133531392624522,"Neither: 264",0.583333333333333,0.666666666666667,-0.632984084688894,0.480663494345011,4.44,3.99979441793663,0.450427299317188,0.900854598634375,-0.346244349523603,0.330141969558134,"Neither: 269","(-0.8,0.8]"
"IGHV3-15","IGHV3-15",1.20590389518463,33.1233073892156,0.82,"<=",20.4603399013716,"maximize_metric",0.383333333333333,0.647058823529412,0.583333333333333,0.8,0.657407407407407,"COVID19","HC",0.705882352941177,"class","x",NA,15,21,12,3,-0.191795357091242,-0.315852949418477,"Neither: 264",0.583333333333333,0.8,-1.05642969764519,0.336421904579845,5.575,4.21565392837591,0.31507129509536,0.756171108228863,-0.851520845783064,-0.191795357091242,"FN: 188","(-0.8,0.8]"
"IGHV3-74","IGHV3-74",0.500986923425396,83.8385104456375,0.62,">=",21.7432861933152,"maximize_metric",0.247311827956989,0.604651162790698,0.580645161290323,0.666666666666667,0.56989247311828,"COVID19","HC",0.720930232558139,"class","x",NA,13,18,8,4,-0.937420109447492,-0.138150338480817,"Specificity: 126",0.580645161290323,0.666666666666667,-0.121597769784961,0.489021335963558,3.93,3.9685381898518,0.390892705230417,1.00980615517858,0.0342459234050852,-0.937420109447492,"Neither: 269","(-Inf,-0.8]"
"IGLV9-49","IGLV9-49",2.98679109387325,37.1614619903301,0.78,"<=",19.86529226722,"maximize_metric",0.638888888888889,0.846153846153846,0.888888888888889,0.75,0.777777777777778,"COVID19","HC",0.692307692307692,"class","x",NA,1,8,3,1,-0.340920307562491,0.169899036795397,"Neither: 264",0.888888888888889,0.75,-0.730337473282342,0.452351165307717,4.74666666666667,3.9520289782746,0.370040166505113,0.832590374636503,-0.584642717055671,-0.340920307562491,"Neither: 269","(-0.8,0.8]"
"IGHV1-18","IGHV1-18",-0.591006654578782,250.809034264605,1.12,">=",20.0007207711936,"maximize_metric",0.276315789473684,0.565217391304348,0.526315789473684,0.75,0.473684210526316,"COVID19","HC",0.826086956521739,"class","x",NA,9,10,3,1,0.926641771443134,-0.354171813720614,"Sensitivity: 115",0.526315789473684,0.75,-1.29948946069671,0.363854652660219,5.65333333333333,4.46148386223449,0.166142646309626,0.789177569970724,-0.736252757516002,0.926641771443134,"Neither: 269","(0.8, Inf]"
"IGKV1-6","IGKV1-6",-0.168804695404426,41.2634855437909,1.28,">=",18.2975969684813,"maximize_metric",0.3125,0.75,0.8125,0.5,0.546875,"COVID19","HC",0.8,"class","x",NA,3,13,2,2,1.52314157332813,0.485507815781701,"Sensitivity: 115",0.8125,0.5,-0.388162421113569,0.688454069508171,4,4.17029375241575,0.260643359525984,1.04257343810394,0.148678730230969,1.52314157332813,"Neither: 269","(0.8, Inf]"
"SSC5D","SSC5D",1.33873821181106,15.5282898695745,1.05,"<=",19.9857919166613,"maximize_metric",0.458333333333333,0.71875,0.708333333333333,0.75,0.697916666666667,"COVID19","HC",0.75,"class","x",NA,7,17,6,2,0.665673108118446,-0.0571584138399485,"Neither: 264",0.708333333333333,0.75,-1.18231111034669,0.403155437253272,5.46666666666667,4.19615872254599,0.255863336740609,0.767590010221828,-0.811642745151373,0.665673108118446,"FN: 188","(-0.8,0.8]"
"BDP1","BDP1",0.600523206225657,344.186073282551,0.86,">=",20.84345185873,"maximize_metric",0.380952380952381,0.48,0.380952380952381,1,0.571428571428571,"COVID19","HC",0.84,"class","x",NA,13,8,4,0,-0.0426704066199914,-0.965080896043587,"Neither: 264",0.380952380952381,0.9999,-7.92077871419923,0.000174724536006869,8601.14011401235,4923.17358762934,0.109025935817151,0.572386163040044,-1.49335090469285,-0.0426704066199914,"FN: 188","(-0.8,0.8]"
