"","protein","thetabar","Q","alphamin","direction","optimal_cutpoint","method","youden","acc","sensitivity","specificity","AUC","pos_class","neg_class","prevalence","outcome","predictor","boot","FN","TP","TN","FP","z_alpha","log_sens_sp","pref","corr_sens","corr_spec","talpha_val_q","inv_talpha_val","d_talpha_val_q","d_talpha_val_p","c1_prev","c1","z_c1","z_alphamin","cat_c1","cat_alphamin"
"CRP","CRP",5.18117009795146,194.374887488663,0.64,">=",13.2048578047277,"maximize_metric",0.948717948717949,0.956521739130435,0.948717948717949,1,0.948717948717949,"COVID19","HC",0.847826086956522,"class","x",NA,2,37,7,0,-0.175205068840203,-0.052643733485422,"Neither: 258",0.948717948717949,0.9999,-5.89448183126438,0.000445412670197616,6401.36013601431,1438.23037382661,0.0403264162249836,0.224675747539195,-2.77738421064011,-0.175205068840203,"FN: 403","(-0.8,0.8]"
"ANKRD12","ANKRD12",3.03967272883013,419.814080010024,0.66,">=",7.27484660958104,"maximize_metric",0.672932330827068,0.822222222222222,0.815789473684211,0.857142857142857,0.815789473684211,"COVID19","HC",0.844444444444444,"class","x",NA,7,31,6,1,-0.0845714767912718,-0.0494482754139811,"Neither: 258",0.815789473684211,0.857142857142857,-1.07773878740798,0.314983499030669,6.18333333333333,4.05150511567985,0.120700251708437,0.655229937845799,-1.23504317566397,-0.0845714767912718,"FN: 403","(-0.8,0.8]"
"LGALS3BP","LGALS3BP",8.81646314434231,77.3262517209641,0.96,"<=",17.4490588133255,"maximize_metric",1,1,1,1,1,"COVID19","HC",0.847826086956522,"class","x",NA,0,39,7,0,1.27493240394269,0,"Sensitivity: 101",0.9999,0.9999,-8.84182275189689,0.000283337339214793,9601.04010401146,3389.22768530593,0.0633601059140725,0.353006304378404,-2.31767556464249,1.27493240394269,"FN: 403","(0.8, Inf]"
"IGFBP2","IGFBP2",2.6304592746854,485.911284987185,0.61,">=",8.91905219760822,"maximize_metric",0.641025641025641,0.688888888888889,0.641025641025641,1,0.773504273504274,"COVID19","HC",0.866666666666667,"class","x",NA,14,25,6,0,-0.311155456913599,-0.444685821261446,"Neither: 258",0.641025641025641,0.9999,-5.61816861995508,0.000309209614883907,6101.39013901457,1974.16220234192,0.049778370990682,0.323559411439433,-2.42316089576883,-0.311155456913599,"FN: 403","(-0.8,0.8]"
"NCF4","NCF4",7.19676148211901,70.6706348139782,0.78,"<=",14.3225990879485,"maximize_metric",0.948717948717949,0.956521739130435,0.948717948717949,1,0.985347985347985,"COVID19","HC",0.847826086956522,"class","x",NA,2,37,7,0,0.459230075502312,-0.052643733485422,"Neither: 258",0.948717948717949,0.9999,-7.1839434840411,0.000340734469293661,7801.22012201306,2290.39298360563,0.0526963949375806,0.29359420036652,-2.53050295792961,0.459230075502312,"FN: 403","(-0.8,0.8]"
"PRPF40A","PRPF40A",4.2107267916713,570.937915382719,0.74,"<=",19.882803584961,"maximize_metric",0.846153846153846,0.869565217391304,0.846153846153846,1,0.853479853479853,"COVID19","HC",0.847826086956522,"class","x",NA,6,33,7,0,0.277962891404451,-0.167054084663166,"Neither: 258",0.846153846153846,0.9999,-6.81552586896204,0.000323719470548466,7401.26012601342,2287.19025569273,0.0554664099025487,0.309027140885628,-2.475218726609,0.277962891404451,"FN: 403","(-0.8,0.8]"
"WHAMM","WHAMM",5.32111630774276,74.1252877602512,0.58,">=",8.77970484689784,"maximize_metric",0.846153846153846,0.869565217391304,0.846153846153846,1,0.952380952380952,"COVID19","HC",0.847826086956522,"class","x",NA,6,33,7,0,-0.447105844986995,-0.167054084663166,"Neither: 258",0.846153846153846,0.9999,-5.34185540864578,0.000447452178846355,5801.42014201484,1297.64853983136,0.0401472864709808,0.22367773890975,-2.78095929990206,-0.447105844986995,"FN: 403","(-0.8,0.8]"
"NHLH2","NHLH2",3.50835225768727,44.0218004607176,0.99,"<=",3.63471545328883,"maximize_metric",0.607142857142857,0.818181818181818,0.75,0.857142857142857,0.785714285714286,"COVID19","HC",0.363636363636364,"class","x",NA,1,3,6,1,1.41088279201608,-0.133531392624523,"Sensitivity: 101",0.75,0.857142857142857,-1.77075886093923,0.275139781893222,8.10833333333333,4.99154315164483,1.07731147157802,0.61560655518744,-1.37698296023564,1.41088279201608,"FN: 403","(0.8, Inf]"
"RCN1","RCN1",3.37678763864078,263.682984793601,0.48,"<=",15.5426262536612,"maximize_metric",0.82051282051282,0.847826086956522,0.82051282051282,1,0.857142857142857,"COVID19","HC",0.847826086956522,"class","x",NA,7,32,7,0,-0.900273805231649,-0.19782574332992,"Specificity: 97",0.82051282051282,0.9999,-4.42081137094811,0.000584023527127809,4801.52015201573,823.405585860667,0.0307799908156327,0.171488520258525,-2.96791270860494,-0.900273805231649,"FN: 403","(-Inf,-0.8]"
"LBP","LBP",4.50240320037261,74.5519493458984,0.43,">=",12.8761343253113,"maximize_metric",0.923076923076923,0.934782608695652,0.923076923076923,1,0.941391941391941,"COVID19","HC",0.847826086956522,"class","x",NA,3,36,7,0,-1.12685778535398,-0.0800427076735364,"Specificity: 97",0.923076923076923,0.9999,-3.96028935209928,0.000876770899772398,4301.57015701617,492.007362910254,0.020529483568145,0.114378551308237,-3.17249334119736,-1.12685778535398,"FN: 403","(-Inf,-0.8]"
