"","protein","thetabar","Q","alphamin","direction","optimal_cutpoint","method","youden","acc","sensitivity","specificity","AUC","pos_class","neg_class","prevalence","outcome","predictor","boot","FN","TP","TN","FP","z_alpha","log_sens_sp","pref","corr_sens","corr_spec","talpha_val_q","inv_talpha_val","d_talpha_val_q","d_talpha_val_p","c1_prev","c1","z_c1","z_alphamin","cat_c1","cat_alphamin"
"IGHV3-64","IGHV3-64",0.997324260910433,28.3126531064498,1.32,">=",8.96,"maximize_metric",0.247619047619048,0.627659574468085,0.714285714285714,0.533333333333333,0.646031746031746,"COVID19","HC",0.521276595744681,"class","x",NA,14,35,24,21,0.736801619326842,0.292136422801161,"Neither: 163",0.714285714285714,0.533333333333333,-0.578570980294689,0.625644324590381,4.10357142857143,3.92627930389104,0.878689885242307,0.956795652819401,-0.149266637725925,0.736801619326842,"Neither: 164","(-0.8,0.8]"
"IGHV6-1","IGHV6-1",0.399794190305992,13.4286954705476,1.38,"<=",5.57,"maximize_metric",0.191666666666667,0.671875,0.9,0.291666666666667,0.565625,"COVID19","HC",0.625,"class","x",NA,4,36,7,17,0.924073682334874,1.12678316563481,"Sensitivity: 80",0.9,0.291666666666667,0.288049211318845,0.851382915612289,4.07394957983193,5.79268722124295,0.853130915009791,1.42188485834965,1.45756939805373,0.924073682334874,"FP: 43","(0.8, Inf]"
"IGHV3-73","IGHV3-73",0.320435563247094,179.394711664648,1.28,"<=",7.9725,"maximize_metric",0.320181405895692,0.670212765957447,0.897959183673469,0.422222222222222,0.587074829931973,"COVID19","HC",0.521276595744681,"class","x",NA,5,44,19,26,0.611953577321487,0.754592846411514,"Neither: 163",0.897959183673469,0.422222222222222,-0.0813634906037194,0.740970632648914,3.92064777327935,4.50707148183304,1.05573046052344,1.14957316812553,0.516760126169372,0.611953577321487,"Neither: 164","(-0.8,0.8]"
"IGHV3-72","IGHV3-72",0.582794492006371,87.8294561322945,1.18,">=",10.365,"maximize_metric",0.308843537414966,0.659574468085106,0.775510204081633,0.533333333333333,0.585034013605442,"COVID19","HC",0.521276595744681,"class","x",NA,11,38,24,21,0.299833472308099,0.374374521038133,"Neither: 163",0.775510204081633,0.533333333333333,-0.383866160688991,0.631374443386735,4.06607142857143,4.09341800847515,0.924543875431994,1.00672555324817,0.0232361043671081,0.299833472308099,"Neither: 164","(-0.8,0.8]"
"IGHV3-35","IGHV3-35",1.17335541281756,35.4251946377517,0.95,"<=",8.015,"maximize_metric",0.412244897959184,0.702127659574468,0.612244897959184,0.8,0.689115646258503,"COVID19","HC",0.521276595744681,"class","x",NA,19,30,36,9,-0.418042769222693,-0.267479365134262,"Neither: 163",0.612244897959184,0.8,-1.29466528793248,0.339097543820631,6.0625,4.39029048253973,0.665055574885042,0.724171625985935,-0.952959057716682,-0.418042769222693,"FN: 108","(-0.8,0.8]"
"IGHV3-38","IGHV3-38",0.205906382869719,34.7339690649761,1.15,">=",7.684,"maximize_metric",0.161873840445269,0.591397849462366,0.775510204081633,0.386363636363636,0.547077922077922,"COVID19","HC",0.526881720430108,"class","x",NA,11,38,17,27,0.206197440804082,0.696742151477804,"Neither: 163",0.775510204081633,0.386363636363636,0.246724163281717,0.748091610480092,4.07407407407407,4.91148740641865,1.08253191814942,1.20554690884821,0.710143723511864,0.206197440804082,"Neither: 164","(-0.8,0.8]"
"IGHV3-66","IGHV3-66",0.91245852783456,111.79051468195,1.48,">=",8.505,"maximize_metric",0.410884353741497,0.712765957446808,0.877551020408163,0.533333333333333,0.682539682539683,"COVID19","HC",0.521276595744681,"class","x",NA,6,43,24,21,1.23619378734826,0.49798847700531,"Sensitivity: 80",0.877551020408163,0.533333333333333,-0.801090774129773,0.650883981143155,4.14642857142857,3.76330692986576,0.833512055341253,0.907602015816031,-0.319225664356002,1.23619378734826,"Neither: 164","(0.8, Inf]"
"IGKV2-24","IGKV2-24",-0.0819810656100378,19.9321175605829,1.06,">=",7.286,"maximize_metric",0.105215419501134,0.563829787234043,0.816326530612245,0.288888888888889,0.492063492063492,"COVID19","HC",0.521276595744681,"class","x",NA,9,40,13,32,-0.0747106537079665,1.03877228831209,"Neither: 163",0.816326530612245,0.288888888888889,0.805828162181427,0.81505384477558,4.74447115384615,6.38308794942261,1.23554751526648,1.34537396106795,1.19323200767737,-0.0747106537079665,"FP: 43","(-0.8,0.8]"
"IGKV1-9","IGKV1-9",0.0544165260911195,31.2936177166203,1.23,">=",7.20333333333333,"maximize_metric",0.0698412698412698,0.542553191489362,0.714285714285714,0.355555555555556,0.501587301587302,"COVID19","HC",0.521276595744681,"class","x",NA,14,35,16,29,0.455893524814793,0.697601530909325,"Neither: 163",0.714285714285714,0.355555555555556,0.255815809464384,0.767606116870197,4.07424568965517,4.91572453331283,1.10804336356123,1.20653610698889,0.713561302763478,0.455893524814793,"Neither: 164","(-0.8,0.8]"
"IGHV7-4-1","IGHV7-4-1",0.611025772582656,36.0235544992469,0.74,">=",7.91,"maximize_metric",0.2140589569161,0.606382978723404,0.591836734693878,0.622222222222222,0.578458049886621,"COVID19","HC",0.521276595744681,"class","x",NA,20,29,28,17,-1.07349498975081,-0.0500664885290367,"Specificity: 72",0.591836734693878,0.622222222222222,-0.122535313538591,0.530571151486336,3.98382352941176,4.07883623986077,0.940270066819894,1.023849628315,0.0823980470000261,-1.07349498975081,"Neither: 164","(-Inf,-0.8]"
"PABPN1L","PABPN1L",1.5850257467469,21.5725665361349,1.01,"<=",10.2463636363636,"maximize_metric",0.429024943310658,0.712765957446808,0.673469387755102,0.755555555555556,0.756235827664399,"COVID19","HC",0.521276595744681,"class","x",NA,16,33,34,11,-0.230770706214661,-0.115010771489988,"Neither: 163",0.673469387755102,0.755555555555556,-1.14535594363905,0.396925346714675,5.44211229946524,4.18614690350569,0.706420671628966,0.769213620218208,-0.79734353580131,-0.230770706214661,"Neither: 164","(-0.8,0.8]"
