"mean_covid","mean_healthy","sd_covid","sd_healthy","number_covid","number_healthy","uniprot","gene_name","gene_id","entrez_id","prot_id"
21.8312124950001,19.4846341133698,2.48619443981417,NA,5,1,"A2I7N1;A2I7N0",NA,NA,NA,NA
19.9527290410053,21.0337846837818,0.866033114921859,0.349881698412718,17,3,"ENSEMBL:ENSBTAP00000014147",NA,NA,NA,NA
21.2618626325549,20.7859855951212,2.09954973951874,1.6751714453903,33,10,"ENSEMBL:ENSBTAP00000024146",NA,NA,NA,NA
25.6284062042568,25.2295250110682,1.0657003927222,1.28907513582483,51,20,"ENSEMBL:ENSBTAP00000024466;ENSEMBL:ENSBTAP00000024462",NA,NA,NA,NA
20.1791125759196,20.2614601730943,3.26949582534425,1.40107353954923,9,2,"ENSEMBL:ENSBTAP00000031360",NA,NA,NA,NA
25.7225532114017,25.4260189940228,3.14953541272619,2.89970488479861,50,19,"P00761",NA,NA,NA,NA
23.3782175730663,23.2514507396285,1.17593461254941,0.966170492902133,10,5,"P01030",NA,NA,NA,NA
19.7753590498473,20.1289859652243,2.31717553820653,0.21472660130021,29,2,"P01966",NA,NA,NA,NA
NA,NA,NA,NA,0,0,"P02070",NA,NA,NA,NA
20.0803849784491,21.501850605518,0.989173917338468,1.24079982729378,20,4,"P02533","KRT14","ENSG00000186847",3861,"ENSP00000167586"
21.1097712246132,20.9434904753673,1.75715920501274,1.26626785278971,26,8,"P02538","KRT6A","ENSG00000205420",3853,"ENSP00000369317"
22.8417171130701,20.0573519009515,2.08626688723002,NA,2,1,"P02672",NA,NA,NA,NA
21.1090014116,20.8824707259254,1.32267410192525,0.520269013475761,24,6,"P02676",NA,NA,NA,NA
32.0611274680116,32.9931871779125,1.0797563834547,0.969982222546498,51,20,"P02768-1;P02768",NA,NA,NA,NA
29.4111227587832,28.6581808664879,3.44628977477877,3.8065407799198,51,20,"P02769",NA,NA,NA,NA
17.9469974693016,17.3112338871943,2.51491386982342,NA,4,1,"P05787","KRT8","ENSG00000170421",3856,"ENSP00000447566"
20.3770682797178,21.7735416882514,0.519631898198837,NA,4,1,"Q8NHM4",NA,NA,NA,NA
21.6634469181326,NA,NA,NA,1,0,"P08727","KRT19","ENSG00000171345",3880,"ENSP00000355124"
NA,NA,NA,NA,0,0,"P08729","KRT7","ENSG00000135480",3855,"ENSP00000329243"
21.6824787548499,20.3925136946401,1.59030250710269,1.98795509316092,27,13,"P08779","KRT16","ENSG00000186832",3868,"ENSP00000301653"
23.8482309533507,20.8408094512733,2.97550052630782,3.26948619189714,51,20,"P13645","KRT10","ENSG00000186395",3858,"ENSP00000269576"
19.2540202163631,18.0322323169749,2.61100507163351,2.12903719252484,25,4,"P13646-1",NA,NA,NA,NA
20.7887159427568,21.4483495624123,1.49745626783062,1.61679840018213,23,5,"P13647","KRT5","ENSG00000186081",3852,"ENSP00000252242"
20.4790304584757,20.1504863615492,1.57118691733615,1.54281540407951,35,10,"P15497",NA,NA,NA,NA
21.8933964901711,NA,6.6547777638537,NA,2,0,"P17690",NA,NA,NA,NA
20.9712542465747,19.014940444171,3.20861787148762,1.26145034962981,5,3,"P19013","KRT4","ENSG00000170477",3851,"ENSP00000448220"
20.8619925054077,NA,1.58222476806589,NA,5,0,"P34955;Q8NI35",NA,NA,NA,NA
23.7047209663382,NA,NA,NA,1,0,"P35908;Q7Z794",NA,NA,NA,NA
23.1787900705434,20.2768198085595,2.69255748783807,3.30473092507201,51,16,"P35908","KRT2","ENSG00000172867",3849,"ENSP00000310861"
21.9063991360123,NA,1.91394085381992,NA,5,0,"P41361",NA,NA,NA,NA
19.5277838687638,NA,1.32012749590611,NA,7,0,"Q04695;Q04695",NA,NA,NA,NA
22.2485340546643,21.807482314974,1.78104208751384,1.51602389417895,46,16,"Q1RMK2",NA,NA,NA,NA
21.1957691793252,21.3784979780597,1.07730755424032,0.825604021787356,48,18,"Q1RMN8",NA,NA,NA,NA
19.5671007246158,19.0565974769652,1.07736824232825,0.375340598253555,19,3,"Q28107",NA,NA,NA,NA
19.6913087020332,NA,1.90690464296032,NA,3,0,"Q29RQ1",NA,NA,NA,NA
19.5732227525383,19.8514542092585,0.942118493489182,0.132387726277286,6,4,"Q2KIS7",NA,NA,NA,NA
21.8154950264886,22.276026244095,1.06247545247241,1.39247555015118,41,16,"Q2UVX4",NA,NA,NA,NA
25.7023379891391,25.4173063098785,1.38445842114916,1.58770389801185,47,18,"Q32PJ2",NA,NA,NA,NA
21.312374672728,20.0831728304043,1.67926887089892,0.72725458617274,5,4,"Q3KUS7",NA,NA,NA,NA
NA,NA,NA,NA,0,0,"Q3MHH8",NA,NA,NA,NA
20.2904279959952,19.8453316192376,2.40087318792555,1.66119079122828,20,9,"Q3SX09",NA,NA,NA,NA
