"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
"COMP",-1.15696846580896,-0.00719033101017611,-8.98189437291733,2.83777690415873e-09,5.04840511249839e-06,11.3021896138418,"COMP"
"GSN",-0.93207357411471,0.0519786972729989,-8.53277419351924,7.51128829082286e-09,6.68129093468693e-06,10.3828871501324,"GSN"
"APOA4",-1.06391693460262,0.00748421751632792,-8.15082655083976,1.7553411858466e-08,1.04091732320704e-05,9.57755658338652,"APOA4"
"CRTAC1",-0.850458064166834,0.0611353705727437,-7.59652386700902,6.2275323903705e-08,2.76969503061728e-05,8.37061830675477,"CRTAC1"
"C9",0.691633427354724,-0.0317997838002389,7.38619300711104,1.01762094611271e-07,2.99960536390581e-05,7.90100985034394,"C9"
"SERPINA1",0.876341622613354,-0.0253851894752994,7.35772018209899,1.08804820207967e-07,2.99960536390581e-05,7.83695592520302,"SERPINA1"
"LUM",-0.856680599124192,0.126505728354976,-7.32315831062267,1.18028316736035e-07,2.99960536390581e-05,7.75905063073998,"LUM"
"ILF2",1.35363241999024,-0.0571096547076405,7.22645014273743,1.48326810232767e-07,3.29841744255116e-05,7.5401754150133,"ILF2"
"CA6",-1.05895300674537,0.0317539084852712,-6.99546403573967,2.57228778568668e-07,4.42487424054486e-05,7.01218591712154,"CA6"
"LBP",0.917073254883404,-0.0229827126729457,6.95867875742078,2.80972793633333e-07,4.42487424054486e-05,6.92743571078382,"LBP"
"APOC1",-1.5065546162766,-0.11404419950289,-6.95831468797184,2.81218660871866e-07,4.42487424054486e-05,6.92659602345088,"APOC1"
"CLEC3B",-0.854012934272645,0.0129935848778908,-6.93354403994428,2.98473810492065e-07,4.42487424054486e-05,6.86942380435915,"CLEC3B"
"SHH",-2.08564392769423,-0.17462200281459,-6.51481866528649,8.25910331351194e-07,0.000113022652267213,5.89099912806058,"SHH"
"CDH13",-0.755396930031819,0.0619886588912372,-6.47884634119613,9.02239298296977e-07,0.00011464883654788,5.80592634741209,"CDH13"
"THBS4",-0.942344383574602,0.0242624281722306,-6.44135746474045,9.8945573938218e-07,0.000117349450690726,5.71710309340693,"THBS4"
"CD99",-0.619194401329967,0.0110246675974652,-6.34655936332549,1.25036100990262e-06,0.000132480176953868,5.4917624056915,"CD99"
"UBE2L6",0.789463172901975,-0.0165963324000957,6.31363701277976,1.35654256736372e-06,0.000132480176953868,5.41326258469794,"UBE2L6"
"SERPINA3",0.81186462041877,-0.0140740690031435,6.2823747962835,1.46586302289901e-06,0.000132480176953868,5.33860808488959,"SERPINA3"
"PSMA4",0.994499787180124,-0.075847309684119,6.27440634115596,1.49513451451222e-06,0.000132480176953868,5.31956186755202,"PSMA4"
"ART3",-0.639499894149649,0.0375935930012929,-6.27399402210197,1.49666521706164e-06,0.000132480176953868,5.31857614964853,"ART3"
"TALDO1",0.68358942792388,-0.0244164310880251,6.25630785302618,1.56384694549254e-06,0.000132480176953868,5.27627666055555,"TALDO1"
"NEGR1",-0.797133736045665,0.012760766537626,-6.22135526356552,1.70577998576128e-06,0.000136694678469318,5.19258035270748,"NEGR1"
"EPHA4",-0.678791172088821,0.0303995861151553,-6.20712128193069,1.7672724029198e-06,0.000136694678469318,5.15845795288043,"EPHA4"
"CRISP3",-0.760644449571602,0.105731403745964,-6.15863858840004,1.99415892954597e-06,0.000147817030652595,5.04206924312619,"CRISP3"
"MADCAM1",-0.799506009905133,-0.0138997894410519,-6.09843510095757,2.31762225304667e-06,0.000164921999526801,4.89719739224116,"MADCAM1"
"EXTL2",-0.572528379872734,0.0829148917891603,-6.07159135070877,2.47857584370659e-06,0.000168170528639556,4.83248036935106,"EXTL2"
"MCAM",-0.706992366353251,0.0627446324208354,-6.05987625182449,2.55233517328162e-06,0.000168170528639556,4.8042136521538,"MCAM"
"ORM2",0.780948961217719,-0.108748785459287,5.95306841218607,3.3366907032302e-06,0.000211999027180233,4.54587285415061,"ORM2"
"CBLN4",-0.916176447217303,0.0561850225440783,-5.91875566145873,3.63750239881719e-06,0.000220003889495308,4.46264456569725,"CBLN4"
"CYB5R2",-0.901553684470135,0.0891396680213652,-5.91091533767172,3.71001499992087e-06,0.000220003889495308,4.44361167588407,"CYB5R2"
"MRC2",-0.711347691240506,0.032706658102001,-5.82029645540725,4.6626405674339e-06,0.00026757540546661,4.22321944717778,"MRC2"
"ISG15",1.81171259656611,-0.242793506800137,5.65017237557812,7.17474643287154e-06,0.000398871059502452,3.80754890295951,"ISG15"
"AFM",-0.580056267928681,0.0640347363810396,-5.52538768078482,9.85683475083219e-06,0.000531373000658499,3.50121988505352,"AFM"
"ORM1",0.793732802749259,-0.101367510632625,5.511127051986,1.02219203119971e-05,0.000534846948089496,3.46614155479111,"ORM1"
"HMCN2",-0.632236784212816,0.115575633712686,-5.44154498914057,1.22092858391445e-05,0.000597341517254549,3.29479089450768,"HMCN2"
"ZG16",-0.605961636936508,0.0506025905067189,-5.43129183608489,1.25334853760514e-05,0.000597341517254549,3.26951575269532,"ZG16"
"ENG",-0.569966279712319,0.0222824608872443,-5.42678347482016,1.26787770092009e-05,0.000597341517254549,3.25840010487008,"ENG"
"PCOLCE",-0.517975070637737,0.00872013722314709,-5.42430413827091,1.27594028418622e-05,0.000597341517254549,3.25228661641504,"PCOLCE"
"LCP1",0.647834904780124,-0.0397096117234116,5.29871841016963,1.7599413829094e-05,0.000796184818546763,2.94215818353718,"LCP1"
"LRP2",-1.4057526522368,0.173581110363319,-6.4522867946823,2.29633908231632e-05,0.00092205852919689,2.94073687727331,"LRP2"
"MACROH2A1",1.25140226546087,0.0320877982788342,5.29207510109252,1.7901850894812e-05,0.000796184818546763,2.92572919647971,"MACROH2A1"
"PSME1",0.848939034475253,-0.0413534863762513,5.27779170505947,1.85699771333506e-05,0.000805755837078796,2.89039875091147,"PSME1"
"C4BPB",0.658783212173225,-0.0113045080713976,5.20991664146431,2.21054222518711e-05,0.00092205852919689,2.72237617241627,"C4BPB"
"IGDCC4",-0.588166058379488,0.0947304149898198,-5.20454620881684,2.24125817175058e-05,0.00092205852919689,2.70907307328264,"IGDCC4"
"ARHGAP35",-0.911368134916672,-0.0619236321631461,-5.1890439021934,2.33235715648454e-05,0.00092205852919689,2.67066552932013,"ARHGAP35"
"SEMA4D",-0.401240833064278,0.0177852090081687,-5.14465650480368,2.61437011469698e-05,0.000981149896418872,2.5606410473802,"SEMA4D"
"WDR87",0.759742595118161,-0.0466130815080042,5.13702563634803,2.66620368732444e-05,0.000981149896418872,2.54171865898118,"WDR87"
"S100A8",0.998050945240098,-0.156147545725173,5.13323519080539,2.69233416117016e-05,0.000981149896418872,2.53231864858391,"S100A8"
"LGALS3BP",0.649907491765182,-0.00676890019765447,5.13177968425207,2.70243647692663e-05,0.000981149896418872,2.52870896922933,"LGALS3BP"
"PGLYRP2",-0.51671336755264,0.137868786662382,-5.10520598016186,2.89373597444291e-05,0.00102959125970679,2.46279284992628,"PGLYRP2"
"LTA4H",0.647771143310844,-0.034979283772102,5.0919519437184,2.99418700974605e-05,0.00104444288045847,2.42990738671184,"LTA4H"
"ATRN",-0.551473236286997,0.0228022829748312,-5.06035446389369,3.24804855567189e-05,0.00110544160218083,2.35148679833429,"ATRN"
"ALB",-0.867661917965819,0.0895487491328317,-5.04573661685833,3.3727122727801e-05,0.00110544160218083,2.31519748772273,"ALB"
"PLXDC1",-0.517300616784013,0.0349013735059076,-5.03946048690275,3.42770256699696e-05,0.00110544160218083,2.29961498383478,"PLXDC1"
"CYRIB",0.664857130813035,-0.0679089835730664,5.03810097193004,3.43973270995696e-05,0.00110544160218083,2.29623941404716,"CYRIB"
"CDH5",-0.5006814047176,0.0537363154435132,-5.03214498388733,3.49293885672146e-05,0.00110544160218083,2.28145058951144,"CDH5"
"PKHD1L1",-0.665109223718995,0.0518372965727968,-5.02674566400298,3.54188708961817e-05,0.00110544160218083,2.26804319277217,"PKHD1L1"
"HRG",-0.659525950433947,0.0455841516612756,-5.01214318523571,3.6777509809373e-05,0.00112805499915301,2.23177921151772,"HRG"
"SERPINA4",-0.707711030245674,0.0561996263432264,-4.99862459000243,3.80819743361586e-05,0.001148268344814,2.19820244946619,"SERPINA4"
"PI16",-0.815132892953186,-0.00269789394484489,-4.98357786662789,3.95886685885809e-05,0.00117380402365142,2.16082542137051,"PI16"
"APOA2",-0.692183496296445,0.0809301527315187,-4.96671261502192,4.13487951701289e-05,0.00120401531706023,2.11892548411471,"APOA2"
"ATP6AP1",0.55982750048022,0.113281685526665,4.96101348721268,4.19611858671919e-05,0.00120401531706023,2.10476535626017,"ATP6AP1"
"AHSG",-0.525260068988827,0.106145562840414,-4.94814888051001,4.33772432955506e-05,0.00122489072734579,2.07279961873009,"AHSG"
"VIL1",-1.34750246563145,-0.0791977699078449,-5.84070157866807,6.08299620035649e-05,0.00148241784115537,2.0620242089076,"VIL1"
"ANTXR1",-0.694021121509357,0.0821675802879869,-4.93452563444508,4.49291836484427e-05,0.00124889090172781,2.03894575907213,"ANTXR1"
"S100A12",0.925284916463929,-0.0479897514766752,4.92355791999327,4.62190430382805e-05,0.00126497965484771,2.01168879905661,"S100A12"
"VIM",0.667236700565248,-0.0451367585826044,4.89421124328048,4.98562088867651e-05,0.00134385144862962,1.93874831666305,"VIM"
"DSC2",-0.389796715659362,0.0928101060403258,-4.88026101925433,5.16846010640532e-05,0.00137234187004404,1.90407180121349,"DSC2"
"WARS1",0.928691467994852,-0.05767887802352,4.86505825536332,5.37538825094887e-05,0.00140629642624089,1.86627967108144,"WARS1"
"TNXB",-0.480641690074417,0.0544388071444637,-4.85505402824866,5.51607324609915e-05,0.0014221875804073,1.84140940655891,"TNXB"
"NCAM2",-0.410720707942409,0.0623742069011598,-4.83557005020405,5.80075955737022e-05,0.00147042058693916,1.79297083738388,"NCAM2"
"F13A1",-0.688601878037966,0.0434425538956978,-4.83107802097117,5.86845765445084e-05,0.00147042058693916,1.78180304722416,"F13A1"
"IGFBP7",-0.685336308239625,0.0215897298183235,-4.81808003858145,6.06884338739654e-05,0.00148241784115537,1.74948787305295,"IGFBP7"
"PPM1A",-0.700777189707497,0.0183845697787739,-4.80975867714953,6.20071930723006e-05,0.00148821806553281,1.72879931193075,"PPM1A"
"PSMA6",0.709635277705262,-0.0650357412928263,4.80520446843143,6.27410651573698e-05,0.00148821806553281,1.71747658727341,"PSMA6"
"STAT1",0.552092713755019,-3.06237235144656e-05,4.79274270677933,6.47939930549098e-05,0.00151669096900901,1.68649391996541,"STAT1"
"PSMA7",1.06281012873891,-0.168192630908725,4.77494896540732,6.78425651444643e-05,0.00156742757651951,1.6422549025556,"PSMA7"
"DNPEP",0.729543400181279,-0.0679636062770123,4.75928489349266,7.06450227513689e-05,0.00161124994198314,1.60331127996815,"DNPEP"
"SRC",-0.806825757908252,-0.0530297227056865,-4.73695878655575,7.48410356965218e-05,0.00168534433549509,1.54780655053082,"SRC"
"SEC22B",0.95794909737411,-0.125751053177324,5.41557345168132,0.000123465213846846,0.00232878657853517,1.41477331250305,"SEC22B"
"QSOX2",-0.689417456314281,0.0943150472832386,-4.67302058356267,8.82903657691181e-05,0.00196335700879076,1.38887384041224,"QSOX2"
"INCENP",0.718728107700211,-0.0902968710202536,4.66770015702723,8.95130234194028e-05,0.00196597121806318,1.37565098411588,"INCENP"
"MX1",1.24527550945577,-0.157373974353602,4.64907925055795,9.39271312025742e-05,0.00203776056596804,1.32937598131477,"MX1"
"IGFBP6",-0.599583539192138,0.0380617669371199,-4.64346858131432,9.52993547060449e-05,0.00204262110869944,1.31543401321434,"IGFBP6"
"NPL",0.904651378176909,-0.103316200412732,4.61516679910357,0.000102532947595048,0.0021715013544237,1.24511610598132,"NPL"
