"","x"
"1","A1BG"
"2","A2M"
"3","ACTB"
"4","AGT"
"5","AHSG"
"6","ALB"
"7","APCS"
"8","APOA1"
"9","APOA2"
"10","APOA4"
"11","APOB"
"12","APOC1"
"13","APOC2"
"14","APOC3"
"15","APOE"
"16","APOH"
"17","APOL1"
"18","C1QB"
"19","C1QC"
"20","C1R"
"21","C1S"
"22","C2"
"23","C3"
"24","C4A"
"25","C4BPA"
"26","C4B"
"27","C5"
"28","C6"
"29","C7"
"30","C8B"
"31","C8G"
"32","C9"
"33","CFB"
"34","CFH"
"35","CFI"
"36","CLU"
"37","CPN2"
"38","CP"
"39","CRP"
"40","F2"
"41","FCN3"
"42","FGA"
"43","FGB"
"44","FGG"
"45","FN1"
"46","GC"
"47","GPLD1"
"48","GSN"
"49","HBA1"
"50","HBB"
"51","HPR"
"52","HPX"
"53","HP"
"54","HRG"
"55","IGFALS"
"56","IGHA1"
"57","IGHG2"
"58","IGHG4"
"59","IGHM"
"60","IGHV3-15"
"61","IGHV3-49"
"62","IGHV3-74"
"63","IGHV5-51"
"64","IGKC"
"65","IGKV1-39"
"66","IGKV3-20"
"67","IGKV3D-11"
"68","IGKV3D-15"
"69","IGKV4-1"
"70","IGLC2"
"71","IGLV3-21"
"72","ITIH1"
"73","ITIH2"
"74","ITIH3"
"75","ITIH4"
"76","KLKB1"
"77","KNG1"
"78","LBP"
"79","LGALS3BP"
"80","LRG1"
"81","LUM"
"82","PGLYRP2"
"83","PLG"
"84","PON1"
"85","PROS1"
"86","RBP4"
"87","SAA1"
"88","SAA2"
"89","SAA4"
"90","SERPINA1"
"91","SERPINA3"
"92","SERPINA4"
"93","SERPINA6"
"94","SERPINA7"
"95","SERPINC1"
"96","SERPIND1"
"97","SERPINF1"
"98","SERPINF2"
"99","SERPING1"
"100","TF"
"101","TTR"
"102","VTN"
"103","KRT10"
"104","DSG1"
"105","DPYSL2"
"106","APOM"
"107","PCYOX1"
"108","CTSS"
"109","TGOLN2"
"110","COLEC10"
"111","TIE1"
"112","C8A"
"113","ANG"
"114","FHL1"
"115","PIGR"
"116","KRT17"
"117","CALD1"
"118","CNTN3"
"119","NID1"
"120","CRHBP"
"121","GSTO1"
"122","EEF1A2"
"123","STMN1"
"124","SERPINA10"
"125","ALAD"
"126","H6PD"
"127","PSMB2"
"128","KCTD12"
"129","IGHG1"
"130","CD163"
"131","IGKV3-7"
"132","GANAB"
"133","HBD"
