"","Gene_name","Method","Sensitivity","lower.Sensitivity","upper.Sensitivity","Specificity","lower.Specificity","upper.Specificity","Mean.DOR","Median.DOR","lower.Mean.DOR","upper.Mean.DOR","Mean.Pos.LR","Median.Pos.LR","lower.Pos.LR","upper.Pos.LR","Mean.Neg.LR","Median.Neg.LR","lower.Neg.LR","upper.Neg.LR","AUC","Method.1","DOR","lower.DOR","upper.DOR","lnDOR","lower.lnDOR","upper.lnDOR","tau.2","lower.tau.2","upper.tau.2","tau","lower.tau","upper.tau","I.2","Q","p.value","df","k.study"
"IGHV3-64","IGHV3-64","Bivariate model, Reitsma 2005",0.665,0.534,0.775,0.652,0.516,0.767,3.79,3.72,2.57,5.38,1.93,1.9,1.51,2.5,0.518,0.517,0.397,0.647,0.704,"Univariate model, Glas 2003",3.609,2.483,5.246,1.284,0.909,1.658,0,0,0.178,0,0,0.422,0,2.188,0.902,6,7
"IGHV6-1","IGHV6-1","Bivariate model, Reitsma 2005",0.633,0.483,0.761,0.647,0.48,0.784,3.23,3.16,2.13,4.7,1.82,1.78,1.38,2.45,0.572,0.572,0.442,0.706,0.68,"Univariate model, Glas 2003",3.19,2.151,4.73,1.16,0.766,1.554,0,0,2.676,0,0,1.636,0,7.899,0.443,8,9
"IGHV3-73","IGHV3-73","Bivariate model, Reitsma 2005",0.554,0.35,0.742,0.702,0.542,0.825,3.02,2.93,1.8,4.75,1.86,1.83,1.41,2.48,0.637,0.639,0.44,0.827,0.681,"Univariate model, Glas 2003",3.298,2.087,5.21,1.193,0.736,1.651,0,0,0.964,0,0,0.982,0,3.33,0.649,5,6
"IGHV3-72","IGHV3-72","Bivariate model, Reitsma 2005",0.778,0.56,0.906,0.547,0.346,0.734,4.41,4.23,2.4,7.47,1.73,1.7,1.33,2.37,0.419,0.411,0.235,0.649,0.704,"Univariate model, Glas 2003",4.721,2.517,8.855,1.552,0.923,2.181,0.473,0,4.533,0.688,0,2.129,13.607,10.417,0.318,9,10
"IGHV3-35","IGHV3-35","Bivariate model, Reitsma 2005",0.641,0.545,0.727,0.755,0.526,0.896,6.15,5.52,2.22,13.8,2.87,2.61,1.42,5.8,0.49,0.482,0.373,0.653,0.691,"Univariate model, Glas 2003",4.794,2.382,9.652,1.567,0.868,2.267,0.079,0,20.01,0.281,0,4.473,0,2.961,0.398,3,4
"IGHV3-38","IGHV3-38","Bivariate model, Reitsma 2005",0.585,0.405,0.745,0.644,0.414,0.823,2.65,2.55,1.48,4.38,1.69,1.63,1.18,2.57,0.656,0.655,0.499,0.822,0.643,"Univariate model, Glas 2003",3.112,1.536,6.305,1.135,0.429,1.841,0.235,0,11.962,0.485,0,3.459,11.508,5.65,0.342,5,6
"IGKV2-24","IGKV2-24","Bivariate model, Reitsma 2005",0.664,0.534,0.773,0.684,0.466,0.843,4.48,4.27,2.33,7.83,2.2,2.09,1.38,3.65,0.502,0.5,0.389,0.63,0.715,"Univariate model, Glas 2003",5.567,2.243,13.819,1.717,0.808,2.626,0.72,0,20.062,0.849,0,4.479,35.777,7.785,0.168,5,6
"IGHV7-4-1","IGHV7-4-1","Bivariate model, Reitsma 2005",0.525,0.328,0.714,0.636,0.478,0.768,2.02,1.93,1.07,3.48,1.45,1.43,1.04,1.96,0.75,0.752,0.518,0.976,0.617,"Univariate model, Glas 2003",2.027,1.171,3.508,0.707,0.158,1.255,0,0,7.059,0,0,2.657,0,1.691,0.639,3,4
"CD5L","CD5L","Bivariate model, Reitsma 2005",0.62,0.557,0.679,0.678,0.567,0.773,3.52,3.44,2.29,5.16,1.96,1.93,1.48,2.61,0.564,0.562,0.483,0.659,0.672,"Univariate model, Glas 2003",3.935,2.415,6.411,1.37,0.882,1.858,0.298,0,3.448,0.546,0,1.857,15.542,11.84,0.296,10,11
"FCMR","FCMR","Bivariate model, Reitsma 2005",0.872,0.713,0.95,0.584,0.438,0.717,11.6,9.61,2.89,31.9,2.13,2.07,1.45,3.12,0.242,0.22,0.084,0.525,0.613,"Univariate model, Glas 2003",11.635,4.234,31.967,2.454,1.443,3.465,0,0,729.107,0,0,27.002,0,0.966,0.326,1,2
"FCN3","FCN3","Bivariate model, Reitsma 2005",0.688,0.549,0.8,0.759,0.649,0.842,7.18,6.93,4.11,11.7,2.88,2.83,2.07,4.02,0.417,0.413,0.282,0.568,0.789,"Univariate model, Glas 2003",8.043,4.602,14.059,2.085,1.526,2.643,0.436,0,1.533,0.66,0,1.238,0,9.25,0.509,10,11
"ATRN","ATRN","Bivariate model, Reitsma 2005",0.817,0.739,0.875,0.763,0.625,0.861,15.6,14.3,6.42,31.8,3.58,3.43,2.15,5.9,0.247,0.242,0.161,0.361,0.858,"Univariate model, Glas 2003",15.201,7.106,32.514,2.721,1.961,3.482,1.024,0,6.492,1.012,0,2.548,17.773,12.161,0.274,10,11
"APOM","APOM","Bivariate model, Reitsma 2005",0.618,0.514,0.713,0.784,0.646,0.879,6.22,5.9,3.1,11.2,2.98,2.86,1.81,4.84,0.493,0.491,0.379,0.619,0.738,"Univariate model, Glas 2003",6.724,3.512,12.874,1.906,1.256,2.555,0.673,0,3.002,0.82,0,1.733,0.076,10.008,0.44,10,11
"CP","CP","Bivariate model, Reitsma 2005",0.647,0.489,0.778,0.714,0.544,0.839,4.71,4.57,2.85,7.33,2.31,2.24,1.6,3.37,0.501,0.499,0.365,0.646,0.73,"Univariate model, Glas 2003",4.76,2.984,7.594,1.56,1.093,2.027,0.242,0,1.198,0.492,0,1.095,0,9.709,0.466,10,11
"F2","F2","Bivariate model, Reitsma 2005",0.587,0.482,0.685,0.752,0.621,0.848,4.44,4.31,2.72,6.84,2.42,2.36,1.68,3.5,0.553,0.553,0.452,0.658,0.703,"Univariate model, Glas 2003",5.413,2.907,10.08,1.689,1.067,2.311,0.56,0,7.565,0.748,0,2.75,30.562,14.401,0.155,10,11
"C1R","C1R","Bivariate model, Reitsma 2005",0.599,0.519,0.674,0.787,0.671,0.87,5.79,5.53,3.07,9.96,2.9,2.81,1.85,4.5,0.514,0.512,0.417,0.623,0.713,"Univariate model, Glas 2003",5.832,3.321,10.241,1.763,1.2,2.326,0.429,0,1.897,0.655,0,1.377,0,8.941,0.443,9,10
