Protein ID	Gene ID	Gene Name	Description	Coverage	Proteins in group	Amount Proteins	set1_Amount PSMs	set2_Amount PSMs	set1_Amount Peptides	set2_Amount Peptides	set1_Amount Unique peptides	set2_Amount Unique peptides	set1_q-value	set2_q-value	set1_MS1 precursor area	set2_MS1 precursor area	1_set1_tmt16plex_126	2_set1_tmt16plex_127N	3_set1_tmt16plex_127C	4_set1_tmt16plex_128N	5_set1_tmt16plex_128C	6_set1_tmt16plex_129N	IS_set1_tmt16plex_129C	HC2_set1_tmt16plex_130N	HC3_set1_tmt16plex_130C	HC4_set1_tmt16plex_131N	IS_set1_tmt16plex_131C	17_set1_tmt16plex_132N	18_set1_tmt16plex_132C	19_set1_tmt16plex_133N	20_set1_tmt16plex_133C	IS_set1_tmt16plex_134N	IS_set2_tmt16plex_126	7_set2_tmt16plex_127N	8_set2_tmt16plex_127C	9_set2_tmt16plex_128N	10_set2_tmt16plex_128C	11_set2_tmt16plex_129N	12_set2_tmt16plex_129C	13_set2_tmt16plex_130N	14_set2_tmt16plex_130C	15_set2_tmt16plex_131N	16_set2_tmt16plex_131C	IS_set2_tmt16plex_132N	HC5_set2_tmt16plex_132C	HC6_set2_tmt16plex_133N	HC7_set2_tmt16plex_133C	HC9_set2_tmt16plex_134N	set1_Amount fully quanted PSMs	set1_tmt16plex_126 - Amount quanted PSMs	set1_tmt16plex_127N - Amount quanted PSMs	set1_tmt16plex_127C - Amount quanted PSMs	set1_tmt16plex_128N - Amount quanted PSMs	set1_tmt16plex_128C - Amount quanted PSMs	set1_tmt16plex_129N - Amount quanted PSMs	set1_tmt16plex_129C - Amount quanted PSMs	set1_tmt16plex_130N - Amount quanted PSMs	set1_tmt16plex_130C - Amount quanted PSMs	set1_tmt16plex_131N - Amount quanted PSMs	set1_tmt16plex_131C - Amount quanted PSMs	set1_tmt16plex_132N - Amount quanted PSMs	set1_tmt16plex_132C - Amount quanted PSMs	set1_tmt16plex_133N - Amount quanted PSMs	set1_tmt16plex_133C - Amount quanted PSMs	set1_tmt16plex_134N - Amount quanted PSMs	set2_Amount fully quanted PSMs	set2_tmt16plex_126 - Amount quanted PSMs	set2_tmt16plex_127N - Amount quanted PSMs	set2_tmt16plex_127C - Amount quanted PSMs	set2_tmt16plex_128N - Amount quanted PSMs	set2_tmt16plex_128C - Amount quanted PSMs	set2_tmt16plex_129N - Amount quanted PSMs	set2_tmt16plex_129C - Amount quanted PSMs	set2_tmt16plex_130N - Amount quanted PSMs	set2_tmt16plex_130C - Amount quanted PSMs	set2_tmt16plex_131N - Amount quanted PSMs	set2_tmt16plex_131C - Amount quanted PSMs	set2_tmt16plex_132N - Amount quanted PSMs	set2_tmt16plex_132C - Amount quanted PSMs	set2_tmt16plex_133N - Amount quanted PSMs	set2_tmt16plex_133C - Amount quanted PSMs	set2_tmt16plex_134N - Amount quanted PSMs
ENSP00000361097.4	ENSG00000173269.14	MMRN2	multimerin 2 [Source:HGNC Symbol;Acc:HGNC:19888]	0.09483667017913593	ENSP00000361097.4,ENSP00000477052.1,ENSP00000473405.1	3	10	7	6	4	6	4	0.0	0.0	1042832092.2369791	3113833510.589193	0.0707155378780406	0.0705758549594293	0.0391165306982835	0.0504727616160032	0.166300341665801	-0.0358532649905836	-0.029317420703598	0.539307361709564	0.331011726644985	0.0140645838484206	0.0331617816720957	0.0350878257505283	0.157392228270782	-0.0236361539411689	0.13800359272436	-0.011631067726217	0.0254760134572649	0.229539785590815	0.265633170481516	-0.0364022732413076	0.174655544812939	0.0886429550294254	0.230456413701552	0.128902578553175	0.00747451196589921	0.19302911658867	-0.0133997871528955	-0.0254760134572649	0.321660419691904	0.573528004882238	0.612129475591107	0.763737115946403	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
ENSP00000217407.2	ENSG00000129988.6	LBP	lipopolysaccharide binding protein [Source:HGNC Symbol;Acc:HGNC:6517]	0.48440748440748443	ENSP00000217407.2	1	101	134	25	29	25	29	0.0	0.0	41844910249.84188	171528954051.2388	0.459415470288075	-0.0875537999168738	0.0977070094697012	0.304395296473345	0.0454962607985401	0.411028005704097	-0.00802167433542689	-0.681883941303692	-1.15683119107678	-0.794817449798877	0.0052897648284862	-0.520975655659592	-0.273769306212023	0.29541652637562	0.199940766250988	0.00995678104070663	-2.53432493622086e-05	0.319076815651949	0.0556388716603049	0.48220557957287	0.38120515875034	0.216987947939994	0.861426264745897	0.287452847822381	0.809363324444526	0.274132713535463	0.0267418987195303	2.53432493622086e-05	-0.472804384180531	-0.610780915663833	-0.686295446525284	-0.762689779185024	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133
ENSP00000265983.3	ENSG00000110169.12	HPX	hemopexin [Source:HGNC Symbol;Acc:HGNC:5171]	0.7792207792207793	ENSP00000265983.3	1	1914	2374	55	53	55	53	0.0	0.0	1962874690013.7288	941526413941.1538	0.144536553253168	0.202678153875395	0.145561114486956	0.0683474176027019	0.152333139788674	0.0486118373712081	0.00545834394536104	0.168391698530549	0.0143858645557469	-0.135679838933775	-0.0026889015456959	0.167331187169921	-0.00168502009385918	0.272930289310976	-0.0453070169527194	-0.0095765411559583	-0.00270302795604849	0.120837256767016	-0.329133880878706	0.0715074237591615	0.203848059063731	-0.109682682913673	-0.00410024226004513	0.146437114168275	-0.0491396120888634	0.216641708937139	-0.212361004464864	0.00270302795604493	0.00589754208500892	0.256844258086785	0.123759091244779	0.277301014353688	1907	1907	1907	1907	1907	1907	1907	1907	1907	1907	1907	1907	1907	1907	1907	1907	1907	2355	2355	2355	2355	2355	2355	2355	2355	2355	2355	2355	2355	2355	2355	2355	2355	2355
ENSP00000245907.4	ENSG00000125730.17	C3	complement C3 [Source:HGNC Symbol;Acc:HGNC:1318]	0.9140108238123873	ENSP00000245907.4,ENSP00000469482.1,ENSP00000307077.2,ENSP00000307975.4	4	8690	10380	340	360	264	280	0.0	0.0	3004345012876.9185	3060429878397.367	0.0119602263514631	0.351876622715726	0.102753652943552	-0.0544507609163123	0.0846952031185584	-0.108390018635513	0.00566209287750485	0.15082149175472	-0.150972804981014	-0.343565229645873	-0.00417556388078832	0.19442391422861	0.135161846841906	0.442913145265201	0.0452766516912391	-0.00380016676225292	0.0	0.132342078628303	0.0198070947147198	0.0202518734687054	0.15593672914574	0.252346412948028	-0.034454119130193	0.191423251960572	0.110315260653987	0.410952396140932	-0.280070681673756	0.0	-0.105074067777489	0.358121678026786	-0.0525608082101154	-0.0800817118946373	6456	6456	6456	6456	6456	6456	6456	6456	6456	6456	6456	6456	6456	6456	6456	6456	6456	8113	8113	8113	8113	8113	8113	8113	8113	8113	8113	8113	8113	8113	8113	8113	8113	8113
ENSP00000264005.5	ENSG00000213398.8	LCAT	lecithin-cholesterol acyltransferase [Source:HGNC Symbol;Acc:HGNC:6522]	0.36363636363636365	ENSP00000264005.5,ENSP00000463220.1,ENSP00000464651.1,ENSP00000458141.1,ENSP00000459014.1	5	51	51	17	16	17	16	0.0	0.0	6478082122.448242	71582251489.455	-0.0200872592270578	0.408014550675817	0.216047321474818	-0.00331571775161521	0.067094987409984	-0.0882209128861469	0.0118590347688299	0.296542707721844	0.112035154918539	-0.0641392277642954	-0.0227968955720872	0.0895463336454387	0.112843850575306	0.434009770945776	0.0194497677592267	0.0298985193972037	0.00429305141052438	0.00348996715391081	0.0536204579290676	0.25355597210806	-0.118371295929698	-0.133624310526259	-0.0909351889526713	0.337482839906464	-0.0938220145039104	0.210635998421347	-0.254744506589354	-0.00429305141052083	0.373357341071307	0.349051045977257	-0.119402622903486	0.142692387912424	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51
ENSP00000355180.3	ENSG00000142156.16	COL6A1	collagen type VI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2211]	0.2140077821011673	ENSP00000355180.3,ENSP00000483630.2,ENSP00000507333.1	3	22	21	12	12	12	12	0.0	0.0	1592735108.976237	2740667480.145036	-0.245803969770621	0.107486741264278	-0.147557223180766	-0.0559998213959751	0.709320884535567	-0.308855195056537	-0.000615650781649713	0.47488909372599	0.544027834796426	-0.0309762108220832	-0.0189934049306375	0.174051674956492	-0.202007728216685	0.312281822247333	0.0130953209446529	0.011089727689404	-0.0014313477373733	0.118510674847263	-0.254462071190991	0.108323751344496	0.419956259858502	-0.42472830093542	-0.174516612013849	0.13702035755081	-0.122877694757772	-0.278914235553904	-0.180302755419888	0.0014313477373733	-0.116267588129908	0.181042380070174	0.0239406086723832	0.298018448403564	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21
ENSP00000308938.9	ENSG00000122194.19	PLG	plasminogen [Source:HGNC Symbol;Acc:HGNC:9071]	0.762962962962963	ENSP00000308938.9,ENSP00000355891.2,ENSP00000352458.4,ENSP00000386317.3,ENSP00000386505.2,ENSP00000386975.1,ENSP00000347933.3	7	798	1026	64	64	49	49	0.0	0.0	407422462959.0236	675893907996.0133	-0.0241749193766552	0.197419457847234	0.180303594158019	0.0423706743005958	-0.119430937063051	-0.0737951908416719	0.00794379280703073	0.23344054796204	0.0140421374397111	0.0901276991016182	-0.00705618477022085	0.0169327336530909	0.205659826681559	0.326133271044965	-0.292867675750845	-0.000773782431345182	0.00289627397500514	-0.223135805615771	-0.146888911704863	0.0677252292102963	-0.213988138807064	-0.0263628974563268	0.0432271454243347	-0.0865482737835741	0.0100761597453385	0.100533807070358	-0.395237064672544	-0.00289627397500425	0.0	0.357113185085013	0.199645319036795	0.0823814133946179	681	681	681	681	681	681	681	681	681	681	681	681	681	681	681	681	681	902	902	902	902	902	902	902	902	902	902	902	902	902	902	902	902	902
ENSP00000356671.3	ENSG00000117601.15	SERPINC1	serpin family C member 1 [Source:HGNC Symbol;Acc:HGNC:775]	0.7068965517241379	ENSP00000356671.3	1	1324	1472	67	66	67	66	0.0	0.0	1075359809852.6333	791003120030.4027	0.313145236878078	0.156609947988098	0.594524635784538	-0.258012302374439	0.0153496185144384	-0.137112943596417	0.016127476728113	0.579216868493447	0.396455321066632	0.156765660713418	-0.0129503480542787	-0.355907014025355	-0.100781199352246	0.338790188505753	0.194791061981583	-0.00228448162122952	-0.0024545586987621	-0.487534285496897	-0.408210726971641	0.122365490961325	-0.00568087183885524	-0.338233249323875	-0.0605576303468753	-0.0405841768897108	-0.163085514619212	-0.21293697861269	0.303492335767753	0.0024545586987621	0.427042787759563	0.445507059996883	0.567410364920729	0.747564620821601	1323	1323	1323	1323	1323	1323	1323	1323	1323	1323	1323	1323	1323	1323	1323	1323	1323	1461	1461	1461	1461	1461	1461	1461	1461	1461	1461	1461	1461	1461	1461	1461	1461	1461
ENSP00000363827.3	ENSG00000142798.20	HSPG2	heparan sulfate proteoglycan 2 [Source:HGNC Symbol;Acc:HGNC:5273]	0.17239808699612844	ENSP00000363827.3,ENSP00000363808.5,ENSP00000489161.1,ENSP00000497688.1,ENSP00000397573.1	5	50	71	40	44	40	44	0.0	0.0	3905377315.7646766	15766459493.383951	0.0143602614826115	-0.0479747194619282	-0.167793769602742	-0.108167223732409	0.000800600137967677	-0.0598333479359141	0.00850705401441676	0.303023884579495	0.587001034742345	0.340717973201613	0.00425289960282882	0.145571338486798	-0.0574426913441908	-0.0358920411354244	-0.0911565492773327	-0.000413744123680004	-0.00467444037167652	0.0677323731755113	0.0168024742521915	-0.223761622379399	0.198058904225615	-0.221359721098708	-0.00857866470307389	0.0423525895542056	0.0332697386421934	0.165115477713718	0.23240345946855	0.00467444037167652	0.227832055011705	0.1608984055761	0.27865708377378	0.486117742991025	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71
ENSP00000261405.5	ENSG00000110799.14	VWF	von Willebrand factor [Source:HGNC Symbol;Acc:HGNC:12726]	0.5421258442943476	ENSP00000261405.5	1	399	540	126	134	126	134	0.0	0.0	175416168313.08212	274147498370.81717	-0.029331143145555	0.0499800218694002	-0.00579167615018505	0.166377927306254	0.426652956151976	0.14742597310978	0.000955605445114749	-0.308385502028901	-0.348895499273821	-0.584354215501326	-0.0076277243803311	-0.0480282807519945	0.155916709901904	0.385311956411988	-0.0338396437590873	0.0109663465578826	-0.0030767910790459	0.191160786768753	-0.125064302029864	0.177512279852163	0.320341063253572	0.149529621919387	-0.150236501164621	0.540326837353053	0.257365302051475	0.00790044967886239	0.122054157644767	0.0030767910790459	-0.11373058331313	-0.273563857850151	-0.614911363381051	-0.434285644096406	397	397	397	397	397	397	397	397	397	397	397	397	397	397	397	397	397	537	537	537	537	537	537	537	537	537	537	537	537	537	537	537	537	537
ENSP00000223642.1	ENSG00000106804.8	C5	complement C5 [Source:HGNC Symbol;Acc:HGNC:1331]	0.8239856801909308	ENSP00000223642.1	1	1744	1804	158	150	158	150	0.0	0.0	292329238060.8825	531997659423.32587	0.181192449670132	0.290855143800451	0.513973315770189	0.232511406958402	0.0310688469761651	0.249757431210508	0.00091269607561717	0.0468434065128722	-0.213557142925731	-0.367314662273277	-0.0116665673064169	0.154480321269734	0.330658499612221	0.568276754423781	0.308811815801405	0.00766675228881653	0.000279620935808467	0.0905036183010512	0.0584066864888886	0.115167493494138	-0.0616511142861143	0.131857803895634	0.228785663785723	0.179515756510307	0.0728380878652715	0.466036466437172	0.017990321715029	-0.000279620935808467	-0.147242154936842	0.170146036797119	-0.0797040373926556	-0.225284981564718	1739	1739	1739	1739	1739	1739	1739	1739	1739	1739	1739	1739	1739	1739	1739	1739	1739	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
ENSP00000374777.2	ENSG00000211592.8	IGKC	immunoglobulin kappa constant [Source:HGNC Symbol;Acc:HGNC:5716]	0.7102803738317757	ENSP00000374777.2	1	67	102	7	7	7	7	0.0	0.0	24793079510.2404	60082958908.88101	-0.165972253286753	-0.0840542465434293	0.490347497512872	0.195453238968383	0.301545854904582	-0.046065968323493	0.0111865432290132	-0.206403299805066	0.537050229072554	-0.22080072511894	-0.0231368447274249	0.173599042521584	-0.298450371710507	-0.143246073955654	0.145485523223755	0.00653562442597533	0.0119789278812101	0.679907770291097	-0.202790175044711	0.69832948694679	-0.279904107612394	0.0875226392808113	-0.501362868975651	-0.211533819893459	0.125737797571198	-0.0699046165174009	-0.352073355813677	-0.011978927881211	-0.141541140853837	0.325525973489	0.629097596718124	0.2055995413348	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102
ENSP00000233242.1	ENSG00000084674.15	APOB	apolipoprotein B [Source:HGNC Symbol;Acc:HGNC:603]	0.7626561472715319	ENSP00000233242.1,ENSP00000382200.4,ENSP00000501110.1,ENSP00000501253.1	4	2712	3106	417	398	417	398	0.0	0.0	653403099266.0343	775824341523.9634	0.199539394628425	0.017446151254866	0.224603642430944	0.36683934039965	0.284019702240626	0.500704409275863	0.00480504451051811	0.165789632635241	0.177394448980385	-0.230093129389037	-0.0156545653008173	-0.22790377657377	0.170159560566971	0.174337936308145	-0.0483625164194761	0.00488644792286941	0.0043383858251751	0.416706878601888	-0.0605088251227901	0.168116184982443	0.149320183770843	-0.121982143591887	-0.0764798651874239	0.211506253625494	-0.114212858325573	-0.110445183958356	-0.513751913236209	-0.0043383858251751	0.0247453158744246	0.353681582990285	-0.0951537027995002	-0.347216353944328	2698	2698	2698	2698	2698	2698	2698	2698	2698	2698	2698	2698	2698	2698	2698	2698	2698	3083	3083	3083	3083	3083	3083	3083	3083	3083	3083	3083	3083	3083	3083	3083	3083	3083
ENSP00000262644.4	ENSG00000104331.9	BPNT2	3'(2'), 5'-bisphosphate nucleotidase 2 [Source:HGNC Symbol;Acc:HGNC:26019]	0.20891364902506965	ENSP00000262644.4,ENSP00000428617.1	2	3	5	3	3	3	3	0.0	0.0	519152689.3129883	637932850.9723307	0.364606288967664	0.0402059368136047	0.136117822094837	-0.0242485026747659	0.125778471576712	-0.0376269462435843	-0.0110823341545681	-0.0607788098912572	0.3532019484456	-0.128448626802252	-0.0092086738845687	-0.116551573044676	0.123665452608902	0.295885114317286	-0.0633452540301285	0.00679376158040768	-0.00647809767131413	-0.112097791733961	-0.201578703799154	-0.00325497319745871	0.0956915927980724	-0.269926786542235	-0.177106734328068	0.0695887197265854	-0.0216144743395716	-0.0947963057659997	-0.110975772500428	0.00647809767131413	0.144885157577789	0.26584800513851	0.168857376416494	0.154711518461388	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
ENSP00000226218.4	ENSG00000109072.14	VTN	vitronectin [Source:HGNC Symbol;Acc:HGNC:12724]	0.696652719665272	ENSP00000226218.4,ENSP00000452347.3,ENSP00000440439.1	3	360	412	46	48	46	48	0.0	0.0	614758880977.6097	2132547285338.6594	0.109996572975929	0.133597827210687	0.218117657433167	-0.0496415023951684	0.113034978952758	0.0404186966733917	0.00844418858636775	0.126245204758479	-0.0292824386610437	0.0287818168481202	-0.00300817368982464	0.00814926041011255	0.0515949624803742	0.0806606026541576	0.19629411357506	-0.00375184096124137	0.0146402691111955	0.0232384634912925	0.147041510379011	0.00254064984336022	-0.143139443717558	-0.176701383144158	-0.225303608913058	0.0622141200126372	0.115273680687398	0.139932213872664	0.0306648772588316	-0.0146402691111991	0.0789324118703121	0.110631417221783	-0.100071231987226	0.0297436450714876	359	359	359	359	359	359	359	359	359	359	359	359	359	359	359	359	359	412	412	412	412	412	412	412	412	412	412	412	412	412	412	412	412	412
ENSP00000323929.8	ENSG00000175899.15	A2M	alpha-2-macroglobulin [Source:HGNC Symbol;Acc:HGNC:7]	0.7103120759837178	ENSP00000323929.8,ENSP00000385710.2,ENSP00000438599.1,ENSP00000445717.1	4	355	462	92	97	77	83	0.0	0.0	66453442013.69387	105923683697.54085	-0.379354128533786	0.0540779886056075	0.240374581844625	-0.31975274029522	0.124435704665909	-0.458681487959494	-0.00996649526101567	0.169637266992007	1.23217133702774	0.000850921334851762	-0.0105159236474055	0.279167721826157	-0.560195847071746	-0.0289719248838898	0.213751520199693	0.0138797109900057	0.000632461877824397	0.197994217055699	-0.218759886477059	0.344535937760099	0.224259127859415	0.134704697506691	-0.0434788354170239	-0.142015169259569	-0.311369253848127	0.131500609974262	-0.0599230923359162	-0.000632461877824397	-0.152279387967448	-0.00804540944513654	0.426232271231545	0.408779097622645	280	280	280	280	280	280	280	280	280	280	280	280	280	280	280	280	280	377	377	377	377	377	377	377	377	377	377	377	377	377	377	377	377	377
ENSP00000263408.4	ENSG00000113600.11	C9	complement C9 [Source:HGNC Symbol;Acc:HGNC:1358]	0.7316636851520573	ENSP00000263408.4	1	433	474	37	43	37	43	0.0	0.0	1154909700057.6145	515585936112.6907	0.219385824444604	0.223746523858841	0.224156788709706	0.0581703800995754	0.0451944979321013	-0.00338252548664997	-0.000887748604635696	-0.687600612004772	-0.495052193910167	-0.524076758901694	0.0084508771278351	-0.140780228885701	0.181089339339421	0.364734334723734	0.259114587770977	-0.00259821006575933	0.000226927299141977	0.0649054701426577	-0.08616551693156	0.249352872927979	0.0863386000205448	-0.0704103871608792	0.374979721184669	0.17410588821895	0.102684013654036	0.316040995186162	0.0176409974725402	-0.000226927299142865	-0.637617503790081	-0.322903337328336	-0.411600672190287	-0.340883130852171	427	427	427	427	427	427	427	427	427	427	427	427	427	427	427	427	427	472	472	472	472	472	472	472	472	472	472	472	472	472	472	472	472	472
ENSP00000255030.5	ENSG00000132693.12	CRP	C-reactive protein [Source:HGNC Symbol;Acc:HGNC:2367]	0.35714285714285715	ENSP00000255030.5,ENSP00000357093.1,ENSP00000357092.1,ENSP00000357091.1,ENSP00000402788.1	5	101	273	10	9	10	9	0.0	0.0	45867274084.015625	213853446729.48996	0.452470607874154	-0.46015987057661	-0.834949284188866	-0.216581297119946	-0.227243898205055	-0.236807008642408	0.000749027515264622	-1.47597714690349	-1.72226077202519	-1.27048341375733	-0.0175962501127298	-0.908692178177289	-0.649759424058476	0.151851257590842	0.520231048816825	0.0200009986055658	0.0003863980672838	0.601275459175424	0.0565094531635397	0.785524610295049	0.612431476510895	-0.400028977192778	0.751212060550546	0.867088021272503	0.819111844958143	0.545142111152009	0.575730368058932	-0.000386398067282911	-0.48515242206603	-0.722753878976583	-0.745299417804398	-0.55050756424212	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256
ENSP00000356382.2	ENSG00000143278.5	F13B	coagulation factor XIII B chain [Source:HGNC Symbol;Acc:HGNC:3534]	0.6717095310136157	ENSP00000356382.2,ENSP00000497116.1	2	210	168	38	37	38	37	0.0	0.0	25116209743.93034	188423184651.83618	0.244056157652366	0.0589146244228367	0.22435012991957	0.124609197507816	0.192265202077962	-0.150342531714386	0.00408414306975846	0.365922492259944	0.128406361178754	-0.044902695409835	-0.0134904988905724	0.0104755778675756	-0.0497725455977172	-0.0303095892929708	-0.0291873061177093	0.0165214766952282	0.00404341372599504	0.016305597822468	-0.111581000302991	0.065300168108708	0.0682315592716858	-0.159045031742258	-0.0231674923238936	-0.053087060239176	-0.171779588456864	0.133736704639436	-0.218926517618027	-0.00404341372599504	0.334279042337574	0.277381495544988	0.150637471028471	0.231165923777086	207	207	207	207	207	207	207	207	207	207	207	207	207	207	207	207	207	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168
ENSP00000356399.4	ENSG00000000971.16	CFH	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]	0.6888708367181153	ENSP00000356399.4,ENSP00000487250.1,ENSP00000352658.2	3	1733	1665	93	84	85	76	0.0	0.0	792124027171.7086	1157530096550.5203	0.0075676157571074	0.191818164347993	0.361622187873158	0.140274421678161	-0.274019516912542	0.0851298114333474	-0.00340838096779716	-0.0496248215348345	-0.29077587812519	-0.367436202397592	0.00318022433081566	0.259130449937691	-0.0201148949588887	0.264166921293414	0.1088953695279	-0.00499112088747111	0.00166553327874297	0.00264273033459439	0.0656203365182559	0.100870278704122	0.00417260874610292	0.0472182587523475	-0.0643792330712154	0.0265823361965865	0.0536950383952686	0.232183400857604	-0.173730525379721	-0.00166553327874652	-0.123512026224901	0.118856439480355	-0.0636547819313193	-0.268694939352009	1639	1639	1639	1639	1639	1639	1639	1639	1639	1639	1639	1639	1639	1639	1639	1639	1639	1599	1599	1599	1599	1599	1599	1599	1599	1599	1599	1599	1599	1599	1599	1599	1599	1599
ENSP00000232003.4	ENSG00000113905.5	HRG	histidine rich glycoprotein [Source:HGNC Symbol;Acc:HGNC:5181]	0.6152380952380953	ENSP00000232003.4	1	369	448	30	32	30	32	0.0	0.0	590533997579.8219	456885450812.7608	-0.0870878346192825	0.36617781292872	-0.227048518655543	0.0533693738685432	-0.441352192954776	-0.140374653430421	0.00872366162387106	0.614175974900339	0.69265616446324	0.406365349411002	-0.000253613966995303	0.062301306946722	0.0397493482675166	0.250778358033735	0.116799910009304	-0.0158105365701831	0.0116551650488761	-0.33320808121506	-0.371664679018206	-0.457121140001897	-0.379842711061592	-0.151517012987674	0.0243357797680028	-0.485494676357499	-0.445692003991733	0.294602056255822	-0.444577059683068	-0.011655165048877	0.36986777968332	0.865418507604371	0.508352145430553	0.630564922110651	368	368	368	368	368	368	368	368	368	368	368	368	368	368	368	368	368	444	444	444	444	444	444	444	444	444	444	444	444	444	444	444	444	444
ENSP00000376776.2	ENSG00000123454.12	DBH	dopamine beta-hydroxylase [Source:HGNC Symbol;Acc:HGNC:2689]	0.6029173419773096	ENSP00000376776.2,ENSP00000263611.3	2	46	66	21	21	21	21	0.0	0.0	7670670894.719523	116764728784.26534	-0.437083730634912	-0.0351568257153092	0.429283047326024	-0.629701830370715	-0.0836808934146269	0.409735764410519	-0.011661587512914	0.0831836485131676	0.494108958418705	0.367230620232536	-0.0126002243915355	-0.750036313024455	0.179622963372075	0.194881067915917	0.0904859720853999	0.0340475465556853	-0.00627634260232757	-0.513276044464658	-0.452734684751269	0.37142257190628	0.0905876021926222	-0.30964516935682	0.0187634797149014	0.547905566935485	0.142614379372176	0.202165875676693	-0.427082046865181	0.00627634260232757	0.153052157356835	0.354273784572151	0.57075796735103	0.229305328114558	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66
ENSP00000265627.5	ENSG00000105852.11	PON3	paraoxonase 3 [Source:HGNC Symbol;Acc:HGNC:9206]	0.5112994350282486	ENSP00000265627.5,ENSP00000413276.1,ENSP00000403850.1	3	39	34	17	17	17	17	0.0	0.0	11091505048.06022	60508445467.0507	0.0447369224376786	0.127584999297129	0.187907854297883	-0.337109938310284	0.172860877197394	-0.228176324249034	-0.00474697351012932	0.252459119128233	0.996140379179964	0.294862053165241	-0.014841596929223	-0.494687080935174	-0.117059566656598	-0.0370055315636169	-0.26693838757773	0.0269311281909772	0.015232028541158	0.0506081064727333	-0.1788445315333	-0.344712208186273	0.0338788338327429	-0.237026223620016	-0.0599797677416527	0.308587192315407	-0.318550099618946	0.166932544171392	0.036745659498461	-0.0152320285411562	0.76096894980871	0.50624050784393	0.611705444021368	0.369015946903886	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34
ENSP00000432799.3	ENSG00000145050.19	MANF	mesencephalic astrocyte derived neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:15461]	0.2032967032967033	ENSP00000432799.3,ENSP00000405280.1	2	3	2	3	2	3	2	0.0	0.0	92381026.46923828	798535612.5537109	0.652984211076014	-0.375337410892646	-0.315108095337447	0.154744177690521	-0.190968664766448	-0.0862004206628768	-0.0645374347633547	0.271840752264307	-0.327009061239915	0.667803498603531	0.0463724345433665	-0.147341420170983	0.327340293954915	-0.086581781985748	-0.156008954758715	0.00724704344548144	-0.0632199981484582	0.0914119609620148	0.0387611026120007	0.297457803300977	-0.0075266627103403	-0.0108606501758173	-0.0338804937616688	-0.0713189109651839	0.123096375390311	-0.267042033374503	-0.0159276889138029	0.0632199981484582	-0.21894705476116	-0.256624950129348	-0.37932992818601	-0.308163279391469	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
