Gene Name	Gene ID	Protein ID(s)	Description	set1_Amount PSMs	set2_Amount PSMs	set1_Amount Peptides	set2_Amount Peptides	set1_Amount Unique peptides	set2_Amount Unique peptides	set1_q-value	set2_q-value	set1_MS1 precursor area	set2_MS1 precursor area	1_set1_tmt16plex_126	2_set1_tmt16plex_127N	3_set1_tmt16plex_127C	4_set1_tmt16plex_128N	5_set1_tmt16plex_128C	6_set1_tmt16plex_129N	IS_set1_tmt16plex_129C	HC2_set1_tmt16plex_130N	HC3_set1_tmt16plex_130C	HC4_set1_tmt16plex_131N	IS_set1_tmt16plex_131C	17_set1_tmt16plex_132N	18_set1_tmt16plex_132C	19_set1_tmt16plex_133N	20_set1_tmt16plex_133C	IS_set1_tmt16plex_134N	IS_set2_tmt16plex_126	7_set2_tmt16plex_127N	8_set2_tmt16plex_127C	9_set2_tmt16plex_128N	10_set2_tmt16plex_128C	11_set2_tmt16plex_129N	12_set2_tmt16plex_129C	13_set2_tmt16plex_130N	14_set2_tmt16plex_130C	15_set2_tmt16plex_131N	16_set2_tmt16plex_131C	IS_set2_tmt16plex_132N	HC5_set2_tmt16plex_132C	HC6_set2_tmt16plex_133N	HC7_set2_tmt16plex_133C	HC9_set2_tmt16plex_134N	set1_Amount fully quanted PSMs	set1_tmt16plex_126 - Amount quanted PSMs	set1_tmt16plex_127N - Amount quanted PSMs	set1_tmt16plex_127C - Amount quanted PSMs	set1_tmt16plex_128N - Amount quanted PSMs	set1_tmt16plex_128C - Amount quanted PSMs	set1_tmt16plex_129N - Amount quanted PSMs	set1_tmt16plex_129C - Amount quanted PSMs	set1_tmt16plex_130N - Amount quanted PSMs	set1_tmt16plex_130C - Amount quanted PSMs	set1_tmt16plex_131N - Amount quanted PSMs	set1_tmt16plex_131C - Amount quanted PSMs	set1_tmt16plex_132N - Amount quanted PSMs	set1_tmt16plex_132C - Amount quanted PSMs	set1_tmt16plex_133N - Amount quanted PSMs	set1_tmt16plex_133C - Amount quanted PSMs	set1_tmt16plex_134N - Amount quanted PSMs	set2_Amount fully quanted PSMs	set2_tmt16plex_126 - Amount quanted PSMs	set2_tmt16plex_127N - Amount quanted PSMs	set2_tmt16plex_127C - Amount quanted PSMs	set2_tmt16plex_128N - Amount quanted PSMs	set2_tmt16plex_128C - Amount quanted PSMs	set2_tmt16plex_129N - Amount quanted PSMs	set2_tmt16plex_129C - Amount quanted PSMs	set2_tmt16plex_130N - Amount quanted PSMs	set2_tmt16plex_130C - Amount quanted PSMs	set2_tmt16plex_131N - Amount quanted PSMs	set2_tmt16plex_131C - Amount quanted PSMs	set2_tmt16plex_132N - Amount quanted PSMs	set2_tmt16plex_132C - Amount quanted PSMs	set2_tmt16plex_133N - Amount quanted PSMs	set2_tmt16plex_133C - Amount quanted PSMs	set2_tmt16plex_134N - Amount quanted PSMs
MSANTD2	ENSG00000120458.13	ENSP00000239614.4;ENSP00000501466.1;ENSP00000364118.3;ENSP00000435705.1;ENSP00000431707.1;ENSP00000434572.1	Myb/SANT DNA binding domain containing 2 [Source:HGNC Symbol;Acc:HGNC:26266]	1	NA	1	NA	1	NA	0.0	NA	1778270.4565429688	NA	0.23583145306875	0.160924166274857	0.400940564794521	0.132081456743107	0.274850720884008	0.177809409707165	-0.0303090752563069	-0.135620655925148	-0.143474273540861	-0.0862515517527349	-0.00463245831137549	0.284922812545652	0.340538930464118	0.432437123244579	0.137209756356595	0.0338188199699276	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FLG2	ENSG00000143520.6	ENSP00000373370.4	filaggrin family member 2 [Source:HGNC Symbol;Acc:HGNC:33276]	5	8	4	7	4	7	0.0	0.0	900391477.2559204	853437902.8713278	0.143729608238269	-0.321806400258815	0.642590613136679	0.783784088669734	-0.00951102809622295	0.054542123509834	0.0684999457964217	-0.0909893730081599	0.351490354725094	-0.100041717981478	0.0623735638185341	-0.517281389371394	0.353533180982084	-0.553249971771983	-0.578439330342258	0.0422737744215249	-0.000632539501406626	0.703245558611467	-0.133568627523885	-0.549386318659024	-0.0631879492984746	-0.774070740816043	0.135242697230032	0.376133321685465	0.232118185063998	1.16986072192663	1.72297230459843	0.00063253950140485	-0.054075540509392	0.290921148794066	0.129460621179885	0.0521412806668602	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
KRT10	ENSG00000186395.9	ENSP00000269576.5;ENSP00000490524.2	keratin 10 [Source:HGNC Symbol;Acc:HGNC:6413]	109	122	37	33	28	25	0.0	0.0	26675766651.450195	87493495980.37434	0.0712719828278825	-0.270817888192891	0.357218974575478	0.375449839980433	-0.278102599996976	-0.506763184431832	0.00109716037161078	-0.243805271432784	0.149970423980928	-0.366721006477652	-0.00809702532645851	-0.714124654183239	0.403702564093089	-0.750999419948425	-0.816791770057465	0.0150767285907607	0.00900444992767113	0.231316667218325	0.0175362886850925	-0.823583133273042	-0.258836815510776	-0.930358205254125	0.170597499665025	0.250315147994085	-0.0705934620968636	1.06737059438705	0.554962004939835	-0.00900444992767468	-0.258671959893578	0.261933394383359	0.144616699552858	-0.0219602760490529	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94
DSG1	ENSG00000134760.6	ENSP00000257192.4	desmoglein 1 [Source:HGNC Symbol;Acc:HGNC:3048]	8	14	8	11	8	11	0.0	0.0	1420755807.4067383	1657613666.3273315	-0.163527282216783	0.109687219590564	0.198465768493969	-0.0570576871219597	-0.146154373226899	-0.135946080491567	0.00266560470035415	0.12264806504881	0.0106773969822722	0.226708055997051	0.0141009691074299	-0.367480529224903	-0.0637509809774164	-0.338212784916901	-0.195883898886867	-0.0280050406178551	-0.00375697084038329	1.10618019564616	0.112892933052217	-0.496646648632488	-0.117433938379153	-0.526241014081217	-0.202962779154172	0.37102858781715	-0.303183515212055	0.594412372319798	0.87541656100913	0.00375697084037974	-0.0297569004794358	0.0836646610831	0.04515656838847	0.153893823467355	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14
DPYSL2	ENSG00000092964.18	ENSP00000427985.2;ENSP00000427954.1;ENSP00000309539.5;ENSP00000431117.1	dihydropyrimidinase like 2 [Source:HGNC Symbol;Acc:HGNC:3014]	NA	1	NA	1	NA	1	NA	0.0	NA	228448149.203125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0314966683723235	-0.114235700553046	0.40333322776047	-0.230553848822034	-0.0645001520727249	-0.296607940089665	-0.153358327351327	-0.189637833710361	0.0313332105459594	-0.0783454650307398	0.433949726071653	-0.0314966683723252	0.624863634266045	0.101803268474892	0.168552879470017	0.537597644497406	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BPI	ENSG00000101425.14	ENSP00000494528.2;ENSP00000409833.2;ENSP00000486976.1;ENSP00000262865.4	bactericidal permeability increasing protein [Source:HGNC Symbol;Acc:HGNC:1095]	1	NA	1	NA	1	NA	0.0	NA	73458078.37011719	NA	-0.529677705802232	-0.569830269455247	-0.432042746373208	-0.420886154293949	-0.662982069449741	-0.150388662561634	-0.0177682440950075	1.22318434001005	-0.252606903066818	2.50057813618318	0.105749569334604	-0.632422068219245	0.130470756328026	-0.510895031988554	0.0450861125034798	-0.0891040388373545	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IL1R2	ENSG00000115590.14	ENSP00000330959.3;ENSP00000377066.2;ENSP00000408415.1;ENSP00000414611.1	interleukin 1 receptor type 2 [Source:HGNC Symbol;Acc:HGNC:5994]	8	9	6	5	6	5	0.0	0.0	308811422.96451825	2215434531.4302573	-0.24163620434472	0.0124375681964182	-0.193169848578584	-0.209549331502462	-0.231599592088327	0.0485068749049899	-0.0270911720913514	0.76981277428321	0.150425931256256	0.313283012780902	0.0440078804154034	0.0128773744653579	-0.135606327507024	0.192143879727277	-0.103241511142611	-0.00643647611146481	0.0193516546378838	-0.036587951893118	-0.445757570715273	-0.33429499732479	-0.131072087827437	0.231189046713954	0.194730566281329	0.0954624806319373	-0.180107972762432	0.0336321614002735	0.0369770433100456	-0.0193516546378856	0.158395948206557	0.506143158497235	0.308287111681874	0.568388941862697	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
APOM	ENSG00000235754.7	ENSP00000397018.1;ENSP00000403062.1;ENSP00000389591.2;ENSP00000395189.2;ENSP00000383021.3;ENSP00000372930.4;ENSP00000413055.2;ENSP00000416335.2;ENSP00000394610.2;ENSP00000392489.1;ENSP00000393581.1;ENSP00000401684.2;ENSP00000414574.2;ENSP00000392021.2;ENSP00000398944.2;ENSP00000412182.1;ENSP00000413446.1;ENSP00000405730.2;ENSP00000365083.2;ENSP00000365085.4;ENSP00000365081.3	apolipoprotein M [Source:HGNC Symbol;Acc:HGNC:13916]	95	112	14	13	14	13	0.0	0.0	92939666158.16585	151468521903.8955	-0.0160546572579197	0.207133262373841	0.250809504556354	-0.0622315704304448	-0.248807718182106	-0.0452047424956641	0.019312276238864	0.728088237507789	0.304674991286937	0.200144884078524	-0.0210043207100448	-0.0782835408708209	0.165765660729709	0.0206614715448765	0.0529771225244868	-0.0119303059209015	0.00521258243389333	-0.131488646693768	0.0962015062263593	-0.192211218803477	-0.0629119397001849	-0.0367761746770983	0.187260905892366	0.0253211107045468	-0.173427953980195	0.127303317730228	-0.0447221397666517	-0.00521258243389333	0.353006391876761	0.397678854876089	0.413542845453148	0.157055853854114	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	112	112	112	112	112	112	112	112	112	112	112	112	112	112	112	112	112
NPPA	ENSG00000175206.11	ENSP00000365663.3;ENSP00000365659.1	natriuretic peptide A [Source:HGNC Symbol;Acc:HGNC:7939]	1	1	1	1	1	1	0.0	0.0	636514342.390625	694847820.6328125	1.57229266609842	-0.322214796991407	0.447458253470387	-0.417096529524628	-0.443687975844173	-0.431712496276723	-0.0556305906016981	-0.223896777041247	-0.0654161671997677	-0.645237834252422	0.0446515979877731	0.484999261744903	-0.474083332394797	-1.09692454609036	-0.514419330548174	0.00985627901617736	-0.0419718534966016	-0.193843080011678	-0.0322050127437095	0.0361613359202728	0.59566504626947	-0.420333438613412	0.364094157041517	-0.521738699130214	-0.190531449952353	-0.0717642491115846	0.0267854074188065	0.0419718534965998	0.0726210141289734	-0.286117038377117	-0.286271894185042	0.00818749788933104	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ANP32E	ENSG00000143401.15	ENSP00000463154.1;ENSP00000481415.1;ENSP00000393718.2;ENSP00000431434.1;ENSP00000358110.5;ENSP00000358111.2;ENSP00000435215.1;ENSP00000436529.1;ENSP00000432684.1;ENSP00000487027.1	acidic nuclear phosphoprotein 32 family member E [Source:HGNC Symbol;Acc:HGNC:16673]	1	NA	1	NA	1	NA	0.0	NA	1757927673.171875	NA	-0.162977244052568	-0.158671894960122	-0.384806746667063	-0.58535071713284	-0.132802100871035	-0.116159431973286	-0.0528389959597568	-0.0369802802483754	0.172571192535642	1.31469327628538	0.0490058112735809	-0.120555274416027	-0.122655371750358	-0.244368489249698	-0.237696539462119	0.0027104710884176	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
